note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[26],"[[163, 609, 269, 632]]",8,[26],"[[163, 838, 476, 862]]",[UUID('d1cc826f-1782-3819-9706-c210058f6205')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba834a96a0>],"['7', '7']"
8,,[26],"[[163, 838, 476, 862]]",9,[27],"[[162, 366, 321, 389]]",[UUID('b76e3f5b-155e-36f9-bf32-3eb3007b1f9a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba834a93a0>],"['8', '8']"
9,,[27],"[[162, 366, 321, 389]]",10,[28],"[[165, 364, 501, 391]]","[UUID('c42be333-4d79-3308-acfa-078bcfe7550c'), UUID('220ff6a8-b5e0-37c5-bf98-b6197a92c171')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fba834ada30>, <UAT_app.database.db_models.TableLogs object at 0x7fba8349abb0>]",['9']
10,,[28],"[[165, 364, 501, 391]]",11,[29],"[[162, 366, 374, 391]]",[UUID('220ff6a8-b5e0-37c5-bf98-b6197a92c171')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba8349abb0>],"['10', '10']"
11,,[29],"[[162, 366, 374, 391]]",12,[29],"[[162, 864, 446, 885]]",[UUID('387e64dc-971a-3fb8-82df-a54c4ff2346c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba83457430>],['11']
13,,[29],"[[160, 1035, 386, 1061]]",14,[30],"[[166, 363, 580, 387]]",[UUID('387e64dc-971a-3fb8-82df-a54c4ff2346c')],"[[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba83457430>],['13']
12,,[29],"[[162, 864, 446, 885]]",13,[29],"[[160, 1035, 386, 1061]]",[UUID('387e64dc-971a-3fb8-82df-a54c4ff2346c')],"[[15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba83457430>],['12']
15,,[30],"[[166, 721, 455, 746]]",16,[30],"[[166, 948, 469, 972]]",[UUID('0026ba29-c053-39c5-9e1e-3038e11e0b99')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba834ad340>],['15']
16,,[30],"[[166, 948, 469, 972]]",17,[30],"[[167, 1185, 311, 1206]]",[UUID('0026ba29-c053-39c5-9e1e-3038e11e0b99')],"[[7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba834ad340>],"['16', '16']"
17,,[30],"[[167, 1185, 311, 1206]]",18,[31],"[[159, 617, 467, 644]]","[UUID('0026ba29-c053-39c5-9e1e-3038e11e0b99'), UUID('51501ab1-2fb9-316c-95b6-020c23fee6f9')]","[[15, 16, 17, 14], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7fba834ad340>, <UAT_app.database.db_models.TableLogs object at 0x7fba82551c70>]",['17']
6,,[25],"[[163, 363, 323, 387]]",7,[26],"[[163, 609, 269, 632]]","[UUID('d22ef0bb-cbf4-357f-8251-02fcfaceb070'), UUID('8bc84382-74b4-38ef-ad7e-f2a4b7feb728'), UUID('d56ffa60-d4d5-358e-90e4-61c61dc3982b'), UUID('5e89bb31-e567-37f4-879a-9c762b173bec')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fba834352e0>, <UAT_app.database.db_models.TableLogs object at 0x7fba834353a0>, <UAT_app.database.db_models.TableLogs object at 0x7fba83435dc0>, <UAT_app.database.db_models.TableLogs object at 0x7fba83450bb0>]","['6', '6']"
18,,[31],"[[159, 617, 467, 644]]",19,[32],"[[166, 366, 524, 389]]","[UUID('dee161b7-5a10-3b12-995d-70864af5fa70'), UUID('51501ab1-2fb9-316c-95b6-020c23fee6f9')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7fba8432f880>, <UAT_app.database.db_models.TableLogs object at 0x7fba82551c70>]","['18', '18', '18']"
4,,[24],"[[163, 363, 587, 387]]",5,[24],"[[163, 821, 398, 844]]",[UUID('af3b6e91-31a6-377f-9ed0-f3d11ac0db4b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba8252fdf0>],['4']
5,,[24],"[[163, 821, 398, 844]]",6,[25],"[[163, 363, 323, 387]]",[UUID('991d73f9-d971-39db-8200-2a439002ef1b')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fba842c9fd0>],['5']
