note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
19,,[38],"[[111, 1159, 395, 1182]]",20,[39],"[[110, 187, 561, 212]]",[UUID('5c249d09-9589-3777-898e-0f9285c681eb')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4b55bb0>],"['19', '19']"
10,,[32],"[[111, 697, 485, 721]]",11,[33],"[[106, 214, 675, 234]]",[UUID('ea82fb4b-693e-31c0-b560-eae9e862b220')],"[[7, 8, 9, 10, 11, 12]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6d9caffa60>],['10']
9,,[32],"[[111, 448, 321, 471]]",10,[32],"[[111, 697, 485, 721]]",[UUID('ea82fb4b-693e-31c0-b560-eae9e862b220')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6d9caffa60>],['9']
11,,[33],"[[106, 214, 675, 234]]",12,[34],"[[106, 198, 297, 220]]",[UUID('6a0bdd0a-603f-3588-b044-8e1506fa8d91')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4b61370>],['11']
12,,[34],"[[106, 198, 297, 220]]",13,[35],"[[111, 210, 989, 235]]","[UUID('ae2a965b-9406-3ba9-912e-7244b43441cc'), UUID('dee7bce6-699e-31d5-990d-258c9edcb62c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4b55250>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4b13100>]",['12']
16,,[36],"[[111, 208, 989, 233]]",17,[36],"[[110, 570, 989, 595]]",[UUID('836f65c6-9fe2-3013-a26b-0a6ba06be7a6')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4be0dc0>],"['16', '16']"
15,,[35],"[[111, 759, 990, 782]]",16,[36],"[[111, 208, 989, 233]]",[UUID('daab6668-8a84-3099-ae22-0d1d25551e48')],"[[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da5b931f0>],"['15', '15', '15', '15']"
14,,[35],"[[110, 518, 989, 542]]",15,[35],"[[154, 672, 1024, 692]]",[UUID('daab6668-8a84-3099-ae22-0d1d25551e48')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da5b931f0>],"['14', '14']"
22,,[40],"[[109, 468, 297, 495]]",23,[40],"[[109, 644, 452, 669]]",[UUID('93990d8a-fc70-36e0-bbc3-6591f938c2c4')],"[[5, 6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6d9cb0ee50>],"['22', '22']"
13,,[35],"[[111, 210, 989, 235]]",14,[35],"[[110, 518, 989, 542]]",[UUID('0d60655b-4ca6-37ef-8e19-5357e61044dd')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4bcdfa0>],['13']
4,,[29],"[[111, 218, 1011, 241]]",5,[29],"[[111, 564, 1011, 588]]",[UUID('0267ea5b-de1c-3d14-a580-129dd4509aad')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4b4fca0>],['4']
5,,[29],"[[111, 564, 1011, 588]]",6,[29],"[[111, 861, 1011, 883]]",[UUID('0267ea5b-de1c-3d14-a580-129dd4509aad')],"[[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4b4fca0>],['5']
6,,[29],"[[111, 861, 1011, 883]]",7,[29],"[[111, 1078, 1011, 1100]]",[UUID('0267ea5b-de1c-3d14-a580-129dd4509aad')],"[[31, 24, 25, 26, 27, 28, 29, 30]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f6da4b4fca0>],['6']
