note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[21],"[[54, 952, 541, 978]]",10,[22],"[[54, 177, 559, 202]]",[UUID('fbf92de3-2401-3d1e-bae0-71f6791a6b40')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f246851f130>],"['9', '9']"
10,,[22],"[[54, 177, 559, 202]]",11,[22],"[[55, 1276, 407, 1299]]","[UUID('8a387d6a-b3a6-34dc-8b58-d660ae673026'), UUID('b14d023d-be11-356b-bb6a-1b57e240de58')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24684fa160>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24684fadf0>]",['10']
11,,[22],"[[55, 1276, 407, 1299]]",12,[23],"[[54, 177, 352, 202]]",[UUID('3e07c3c2-4275-3b44-b1b5-798fdc588afd')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24675ba610>],['11']
12,,[23],"[[54, 177, 352, 202]]",13,[23],"[[54, 483, 601, 508]]",[UUID('56b4bf2c-6b26-3252-b0ad-42f477711e31')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24693e5850>],['12']
13,,[23],"[[54, 483, 601, 508]]",14,[23],"[[55, 744, 630, 771]]",[UUID('8d714c64-ca91-396a-bef7-ac458aa0a453')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2468529af0>],['13']
14,,[23],"[[55, 744, 630, 771]]",15,[24],"[[54, 644, 521, 670]]","[UUID('1927385f-9fa7-3176-9680-5efff4f1d8b7'), UUID('f887887c-8a26-3715-8443-97d2c8962568')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2468529730>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24675e87c0>]","['14', '14']"
15,,[24],"[[54, 644, 521, 670]]",16,[25],"[[54, 177, 447, 203]]","[UUID('20a4abf9-a3ea-3199-9e8c-d17d41ed7b40'), UUID('5a36ca07-18a1-395b-9f7c-4ddbac47a8e1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f246851cd30>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24675e8220>]",['15']
16,,[25],"[[54, 177, 447, 203]]",17,[26],"[[54, 177, 524, 202]]","[UUID('49954294-0147-335e-a1e4-7c1c1bf66882'), UUID('50809d2f-b782-389b-bd90-33ee6f144fe1')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f246851c430>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24675b4250>]","['16', '16']"
17,,[26],"[[54, 177, 524, 202]]",18,[26],"[[54, 789, 559, 815]]",[UUID('597a352c-bd06-3539-9ed1-602214cb77c9')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2469362ee0>],['17']
18,,[26],"[[54, 789, 559, 815]]",19,[26],"[[54, 1096, 464, 1121]]",[UUID('e7971a7c-6cde-36f0-9612-d4517757f222')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f24693e5eb0>],['18']
