note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
21,1,[36],"[[94, 258, 562, 282]]",21.2,[36],"[[94, 555, 894, 580]]",[UUID('cbced93f-25a9-3af7-8551-5dcaeba6f980')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c4b0b1c0>],"['21.1', '21.1']"
21,2,[36],"[[94, 555, 894, 580]]",21.3,[37],"[[583, 1626, 607, 1647]]","[UUID('9952f71f-b26c-3b70-9c93-cbe9f74c9fa9'), UUID('84b1c87f-68b3-3586-aa03-ebe21b32e4a8'), UUID('14293ffc-d87d-3b97-b0b2-f42bbd9d1600')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7407d1af0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7433a8c70>, <UAT_app.database.db_models.TableLogs object at 0x7ef7433a81f0>]",['21.2']
8,,[32],"[[41, 207, 375, 231]]",9,[32],"[[41, 629, 315, 654]]","[UUID('a58b59b4-7a62-3a19-8fae-a5ce83e0d298'), UUID('161e0b8e-d961-3b99-b07f-8d4ca5b544de')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744b3d520>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b3ddc0>]",['822']
22,,[37],"[[40, 208, 301, 235]]",23,[38],"[[40, 208, 412, 235]]","[UUID('84b1c87f-68b3-3586-aa03-ebe21b32e4a8'), UUID('14293ffc-d87d-3b97-b0b2-f42bbd9d1600')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7433a8c70>, <UAT_app.database.db_models.TableLogs object at 0x7ef7433a81f0>]",[]
9,,[32],"[[41, 629, 315, 654]]",10,[32],"[[43, 828, 204, 850]]",[UUID('2e9234bc-d990-34b0-8f36-e293c1258e9f')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6b7c280d0>],['922']
10,,[32],"[[43, 828, 204, 850]]",11,[33],"[[40, 205, 300, 233]]","[UUID('70bd2196-b9b7-33a3-b6d9-299f99896915'), UUID('9d9b462b-7c73-304b-bd8b-6d822e218a62')]","[[0, 1, 2, 3, 4], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7426b1f70>, <UAT_app.database.db_models.TableLogs object at 0x7ef7426b1e50>]",['10']
11,,[33],"[[40, 205, 300, 233]]",12,[33],"[[95, 360, 1070, 379]]",[UUID('9d9b462b-7c73-304b-bd8b-6d822e218a62')],"[[1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7426b1e50>],['11']
7,3,[31],"[[94, 207, 347, 231]]",7.4,[32],"[[583, 1626, 607, 1647]]","[UUID('4214a08b-fa6d-339a-87d6-a16b07ee24da'), UUID('56b9c7fa-6e9c-313f-938a-e46057dcafd6'), UUID('484076d1-e9db-3deb-92cf-5ed4521f9b25'), UUID('b7e68481-2697-35a7-8c39-1c761a6ef905'), UUID('a58b59b4-7a62-3a19-8fae-a5ce83e0d298'), UUID('161e0b8e-d961-3b99-b07f-8d4ca5b544de'), UUID('70bd2196-b9b7-33a3-b6d9-299f99896915'), UUID('2e9234bc-d990-34b0-8f36-e293c1258e9f')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742ddf9a0>, <UAT_app.database.db_models.TableLogs object at 0x7ef742ddffa0>, <UAT_app.database.db_models.TableLogs object at 0x7ef742ddf2e0>, <UAT_app.database.db_models.TableLogs object at 0x7ef742ddfbb0>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b3d520>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b3ddc0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7426b1f70>, <UAT_app.database.db_models.TableLogs object at 0x7ef6b7c280d0>]",['7.3']
7,1,[30],"[[93, 256, 535, 282]]",7.2,[30],"[[91, 1151, 441, 1175]]","[UUID('d7db8831-0325-33b0-a526-dce4c58f1525'), UUID('11c71095-4eb0-3d77-8dc6-993a1fd2220b'), UUID('bb9a3604-ac97-3936-9205-89c9a9fa8938')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef740142040>, <UAT_app.database.db_models.TableLogs object at 0x7ef740142850>, <UAT_app.database.db_models.TableLogs object at 0x7ef740142f40>]",['7.1']
4,,[29],"[[41, 208, 181, 231]]",5,[29],"[[41, 430, 227, 455]]",[UUID('be5af400-e598-33c1-aa5c-427179f56a6f')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743abe730>],['4']
