note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[27],"[[143, 1341, 398, 1368]]",7,[28],"[[145, 304, 279, 325]]","[UUID('41581445-65cd-3225-a6a6-6b86c542a4a7'), UUID('38d74d41-13ed-37f9-b0fd-f6f61091e7fa')]","[[0, 1, 2, 3], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc501bc970>, <UAT_app.database.db_models.TableLogs object at 0x7fda6dc53550>]",['6']
7,,[28],"[[145, 304, 279, 325]]",8,[28],"[[140, 462, 412, 485]]",[UUID('38d74d41-13ed-37f9-b0fd-f6f61091e7fa')],"[[2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6dc53550>],['7']
8,,[28],"[[140, 462, 412, 485]]",9,[28],"[[141, 667, 268, 689]]",[UUID('38d74d41-13ed-37f9-b0fd-f6f61091e7fa')],"[[5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6dc53550>],['8']
9,,[28],"[[141, 667, 268, 689]]",10,[28],"[[141, 975, 281, 999]]",[UUID('38d74d41-13ed-37f9-b0fd-f6f61091e7fa')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6dc53550>],['9']
21,,[35],"[[169, 1195, 422, 1216]]",22,[36],"[[168, 985, 428, 1008]]","[UUID('7a3057b0-fe0c-3132-a1ac-d4c8ad845b81'), UUID('043cdfc5-edf5-324a-9fe9-9c9e7cb98e7f'), UUID('b3ab2b8e-5962-3591-bec8-0dc725e53a4a')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf68446a0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6e78ebb0>, <UAT_app.database.db_models.TableLogs object at 0x7fde7467f310>]","['21', '21', '21']"
10,,[28],"[[141, 975, 281, 999]]",11,[29],"[[144, 279, 441, 307]]","[UUID('4232c3e7-eb80-3072-ad83-e221aae74497'), UUID('ae03dc6a-2fe9-3062-b3e2-ee29dcfd7ce6')]","[[0, 1, 2, 3], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2d862b0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf68a0f40>]",['10']
12,,[31],"[[154, 286, 341, 312]]",13,[31],"[[151, 741, 422, 767]]",[UUID('51871828-7fac-3857-bd97-daba92d30076')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e562b80>],"['12', '12']"
11,,[29],"[[144, 279, 441, 307]]",12,[30],"[[1511, 1125, 1542, 1147]]","[UUID('ae03dc6a-2fe9-3062-b3e2-ee29dcfd7ce6'), UUID('f699b8f2-a2e8-3bc7-8004-5243f57abf0b')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf68a0f40>, <UAT_app.database.db_models.TableLogs object at 0x7fda6e76cf10>]",['11']
15,,[32],"[[150, 269, 546, 296]]",16,[33],"[[148, 292, 305, 317]]","[UUID('213290dc-d467-313a-9997-72d8e713dec5'), UUID('92fb3592-1ee1-3a85-a565-f1914ea18e8d'), UUID('341fba76-5e30-33b8-8b50-80f22d895adb')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5f8ff40>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9ca1580>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf2d868b0>]","['15', '15', '15', '15']"
13,,[31],"[[151, 741, 422, 767]]",14,[31],"[[198, 337, 1032, 360]]",[],[],[],['13']
