note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[141, 315, 458, 342]]",7,[29],"[[140, 503, 467, 527]]",[UUID('76cc5475-4e41-381e-9463-856ad1fe87b2')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20de2fd0>],"['6', '6']"
7,,[29],"[[140, 503, 467, 527]]",8,[29],"[[141, 698, 309, 721]]",[UUID('76cc5475-4e41-381e-9463-856ad1fe87b2')],"[[5, 6, 7, 8, 9, 10, 11]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20de2fd0>],['7']
8,,[29],"[[141, 698, 309, 721]]",9,[29],"[[140, 991, 357, 1014]]",[UUID('76cc5475-4e41-381e-9463-856ad1fe87b2')],"[[11, 12, 13, 14, 15, 16]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20de2fd0>],['8']
9,,[29],"[[140, 991, 357, 1014]]",10,[30],"[[141, 314, 324, 340]]",[UUID('81b28b48-406e-3667-b462-1d73bbedf10a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20df9370>],"['9', '9']"
20,,[35],"[[140, 314, 444, 343]]",21,[35],"[[140, 1003, 334, 1029]]",[UUID('2bb72366-5a77-3810-8c6a-d5b698f33cd4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce28d5c880>],['20']
11,,[30],"[[141, 624, 457, 652]]",12,[31],"[[141, 314, 491, 343]]","[UUID('427faff5-b59d-37ff-9e68-8ffb77ae37eb'), UUID('ddff3549-5df2-32ea-a32f-bbc609e1a321'), UUID('ec22d18c-9ed5-32ef-b308-d94587af83fb')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [10, 11, 12, 13]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d85d60>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d85ac0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d85640>]","['11', '11']"
12,,[31],"[[141, 314, 491, 343]]",13,[31],"[[141, 1060, 269, 1087]]",[UUID('f2fd109c-3a3c-32ab-ac86-1b053f1652c3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20df9670>],"['12', '12']"
5,,[27],"[[141, 999, 309, 1024]]",6,[28],"[[1029, 1522, 1051, 1544]]","[UUID('bfc63600-feeb-3296-b5be-e052500e6e0b'), UUID('44e07a44-7fea-37ff-815c-3f536b65bae6'), UUID('d53a6615-6826-3ede-a8be-68656f5e0b56'), UUID('07736462-11be-379e-b248-8d712a0d3769')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20df6400>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d81160>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d81d60>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d81c10>]","['5', '5', '5']"
16,,[32],"[[141, 1221, 312, 1248]]",17,[33],"[[143, 693, 303, 715]]","[UUID('77dfa14f-4804-3ae5-ab86-56f636a03e22'), UUID('19b3b048-511c-3d75-9163-a6d01b8b7fcd')]","[[26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d855e0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20df69a0>]",['16']
17,,[33],"[[143, 693, 303, 715]]",18,[33],"[[143, 1039, 382, 1068]]",[UUID('f28eadbb-7b64-3539-b93c-ccb5c061ac16')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d975b0>],"['17', '17']"
15,,[32],"[[143, 919, 379, 940]]",16,[32],"[[141, 1221, 312, 1248]]",[UUID('77dfa14f-4804-3ae5-ab86-56f636a03e22')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d855e0>],['15']
18,,[33],"[[143, 1039, 382, 1068]]",19,[34],"[[141, 314, 290, 340]]",[UUID('7f231fa1-2cba-3bd8-a263-5b4edf665978')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce2809aca0>],['18']
19,,[34],"[[141, 314, 290, 340]]",20,[35],"[[140, 314, 444, 343]]",[UUID('ad3b8a08-05b3-3b76-9ce8-66a13f95f846')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d81e20>],['19']
4,1,[26],"[[139, 351, 583, 378]]",4.2,[26],"[[141, 823, 338, 846]]",[UUID('a736cab2-30a8-3a6f-9dda-c2a77dc9d5ff')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d97e80>],['4.1']
4,2,[26],"[[141, 823, 338, 846]]",4.3,[26],"[[141, 963, 331, 988]]",[UUID('a736cab2-30a8-3a6f-9dda-c2a77dc9d5ff')],"[[16, 17, 18, 19, 20]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d97e80>],['4.2']
4,3,[26],"[[141, 963, 331, 988]]",4.4,[27],"[[139, 351, 353, 378]]",[UUID('a736cab2-30a8-3a6f-9dda-c2a77dc9d5ff')],"[[20, 21, 22, 23, 24, 25, 26, 27]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d97e80>],['4.3']
4,4,[27],"[[139, 351, 353, 378]]",4.5,[27],"[[141, 495, 336, 518]]",[UUID('d1b2dda2-629d-3e57-8755-a41b8710018c')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d95820>],['4.4']
4,5,[27],"[[141, 495, 336, 518]]",4.6,[27],"[[141, 692, 421, 718]]",[UUID('d1b2dda2-629d-3e57-8755-a41b8710018c')],"[[3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20d95820>],['4.5']
