note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
19,(c),[31],"[[137, 255, 909, 283]]",(d),[32],"[[1009, 1573, 1031, 1594]]","[UUID('e2ebc0c0-55b9-3f88-8c10-bca9d63357d4'), UUID('a77f9059-a465-37b5-891e-4f2e58e1b41a'), UUID('41500d08-6c0c-35d2-a82c-c50d98a99b78')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1e980c54f0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d479fa070>, <UAT_app.database.db_models.TableLogs object at 0x7f1d479fa5e0>]",['19(c)']
8,,[25],"[[122, 403, 414, 429]]",9,[25],"[[122, 768, 256, 791]]",[UUID('fb72caff-f05d-3b78-b352-2127b9d11e25')],"[[5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46bf80a0>],['8']
9,,[25],"[[122, 768, 256, 791]]",10,[25],"[[123, 1035, 280, 1056]]",[UUID('a539271a-82e1-3073-a87b-eeee80cabf87')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46bf8cd0>],['9']
10,,[25],"[[123, 1035, 280, 1056]]",11,[25],"[[122, 1165, 277, 1191]]",[],[],[],['10']
6,(b),[23],"[[121, 995, 429, 1023]]",(c),[24],"[[128, 311, 280, 338]]",[],[],[],"['6(b)', '6(b)']"
6,(c),[24],"[[128, 311, 280, 338]]",(d),[25],"[[1012, 1578, 1037, 1599]]","[UUID('4f3bb82b-b924-38e8-ba17-dcce802e7424'), UUID('522fd0e8-2058-3c58-9cba-55b2eecc9276'), UUID('fb72caff-f05d-3b78-b352-2127b9d11e25'), UUID('a539271a-82e1-3073-a87b-eeee80cabf87')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d453c5b50>, <UAT_app.database.db_models.TableLogs object at 0x7f1d453c50d0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46bf80a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46bf8cd0>]",['6(c)']
6,(a),"[23, 22]","[[122, 413, 426, 440], [121, 1148, 344, 1176]]",(b),[23],"[[121, 995, 429, 1023]]",[UUID('4048bff4-9831-3c92-bce2-c9f4ec4c597d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d434dbd30>],['6(a)']
11,,[25],"[[122, 1165, 277, 1191]]",12,[26],"[[123, 373, 449, 399]]",[UUID('817ef449-8f1e-3c6c-8433-424d7b2d08cf')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d453c5940>],['11']
12,,[26],"[[123, 373, 449, 399]]",13,[27],"[[126, 269, 348, 296]]","[UUID('ed303f80-28bc-3fb3-8726-8498894fd143'), UUID('817ef449-8f1e-3c6c-8433-424d7b2d08cf')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d453c5100>, <UAT_app.database.db_models.TableLogs object at 0x7f1d453c5940>]",['12']
13,,[27],"[[126, 269, 348, 296]]",14,[27],"[[123, 890, 402, 914]]","[UUID('cadf7ff5-c3f6-3bf7-a08b-a7999327ee41'), UUID('b66d0d0a-47e7-3cc3-b409-1497b44746bc')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46bf8b20>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46bf8370>]",['13']
