note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[20],"[[128, 1095, 459, 1125]]",8,[20],"[[130, 1243, 470, 1271]]",[UUID('9ec26447-c8ab-36e0-b108-f7beabf41250')],"[[23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96757a90>],['7']
8,,[20],"[[130, 1243, 470, 1271]]",9,[21],"[[131, 604, 287, 634]]","[UUID('9ec26447-c8ab-36e0-b108-f7beabf41250'), UUID('22a67a62-44e2-32a9-8738-44d73c7f70ac')]","[[31, 25, 26, 27, 28, 29, 30], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf96757a90>, <UAT_app.database.db_models.TableLogs object at 0x7fde74089e20>]",['8']
9,,[21],"[[131, 604, 287, 634]]",10,[21],"[[132, 763, 317, 790]]",[UUID('22a67a62-44e2-32a9-8738-44d73c7f70ac')],"[[1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fde74089e20>],['9']
10,,[21],"[[132, 763, 317, 790]]",11,[21],"[[132, 870, 386, 896]]",[UUID('22a67a62-44e2-32a9-8738-44d73c7f70ac')],"[[7, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fde74089e20>],['10']
12,,[21],"[[132, 993, 405, 1021]]",13,[22],"[[132, 648, 629, 676]]","[UUID('22a67a62-44e2-32a9-8738-44d73c7f70ac'), UUID('7a9df8fc-8d1f-3051-8e2e-9faa62613703')]","[[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fde74089e20>, <UAT_app.database.db_models.TableLogs object at 0x7fdc500ad8e0>]",['12']
13,,[22],"[[132, 648, 629, 676]]",14,[23],"[[1042, 1573, 1067, 1598]]","[UUID('064c85e0-16e8-396c-a297-4256f05a460a'), UUID('b58a2368-d719-309e-b7ed-f8b06b12ad13'), UUID('50beb702-df2c-30d9-a1dd-3870707703c7'), UUID('5393ee85-4a73-3c64-b032-e1c526b31d68'), UUID('4a2f5666-64e0-3b4b-9d77-5f4e35e5a0f1')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc500ad6a0>, <UAT_app.database.db_models.TableLogs object at 0x7fdc500add00>, <UAT_app.database.db_models.TableLogs object at 0x7fde74089640>, <UAT_app.database.db_models.TableLogs object at 0x7fde74089a30>, <UAT_app.database.db_models.TableLogs object at 0x7fde7467f580>]","['13', '13', '13']"
14,,[24],"[[132, 252, 389, 280]]",15,[24],"[[132, 629, 457, 660]]",[UUID('9f269039-bad3-3a00-a24c-e44439b918e2')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc500ad550>],['14']
15,,[24],"[[132, 629, 457, 660]]",16,[24],"[[132, 811, 398, 837]]",[UUID('9f269039-bad3-3a00-a24c-e44439b918e2')],"[[13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc500ad550>],['15']
16,,[24],"[[132, 811, 398, 837]]",17,[25],"[[132, 254, 405, 280]]","[UUID('9f269039-bad3-3a00-a24c-e44439b918e2'), UUID('ed8516bb-33e8-34cb-af67-48beed1f4a2e'), UUID('8d1d653f-c3ac-31d1-ab9e-3198f1cd2d36')]","[[18, 19, 20, 21, 22], [0, 1, 2, 3, 4], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc500ad550>, <UAT_app.database.db_models.TableLogs object at 0x7fdf9638dfd0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6618760>]",['16']
17,,[25],"[[132, 254, 405, 280]]",18,[25],"[[135, 395, 443, 422]]",[UUID('8d1d653f-c3ac-31d1-ab9e-3198f1cd2d36')],"[[1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6618760>],['17']
18,,[25],"[[135, 395, 443, 422]]",19,[25],"[[131, 542, 381, 573]]",[UUID('8d1d653f-c3ac-31d1-ab9e-3198f1cd2d36')],"[[3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6618760>],['18']
19,,[25],"[[131, 542, 381, 573]]",20,[25],"[[130, 706, 352, 737]]",[UUID('8d1d653f-c3ac-31d1-ab9e-3198f1cd2d36')],"[[7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6618760>],['19']
20,,[25],"[[130, 706, 352, 737]]",21,[25],"[[130, 916, 403, 947]]",[UUID('8d1d653f-c3ac-31d1-ab9e-3198f1cd2d36')],"[[10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6618760>],['20']
4,,[19],"[[141, 1116, 324, 1144]]",5,[20],"[[130, 280, 269, 308]]","[UUID('340b4eec-f9ac-3f9e-8d1a-2a93b8aa49de'), UUID('9ec26447-c8ab-36e0-b108-f7beabf41250')]","[[0, 1, 2, 3, 4], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf9632a0d0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf96757a90>]",['4']
6,,[20],"[[130, 601, 285, 629]]",7,[20],"[[128, 1095, 459, 1125]]",[UUID('9ec26447-c8ab-36e0-b108-f7beabf41250')],"[[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96757a90>],['6']
