note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
18,(a),[28],"[[135, 608, 539, 634]]",(b),[28],"[[135, 851, 833, 879]]",[UUID('31474e2b-e3b0-3ea8-9c3c-335b76ec1ea5')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9a4fc70>],['18(a)']
7,,[23],"[[152, 281, 420, 307]]",8,[23],"[[148, 549, 275, 570]]",[UUID('ff283e02-72f2-31ee-ae83-512181b5458f')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa172940>],['7']
8,,[23],"[[148, 549, 275, 570]]",9,[23],"[[148, 804, 309, 827]]",[UUID('0d6c3f23-8936-3102-8c0f-6674501db77f')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f0a0550>],['8']
9,,[23],"[[148, 804, 309, 827]]",10,[24],"[[139, 271, 432, 297]]","[UUID('0f2dd319-4efd-31c6-937d-d8b739d14734'), UUID('74f461db-a363-3d5d-be0f-8654c5e920e5')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf25b12e0>, <UAT_app.database.db_models.TableLogs object at 0x7fdcf0748550>]",['9']
12,,[26],"[[155, 812, 298, 838]]",13,[26],"[[153, 999, 407, 1021]]",[],[],[],['12']
10,,[24],"[[139, 271, 432, 297]]",11,[25],"[[443, 935, 456, 952]]","[UUID('74f461db-a363-3d5d-be0f-8654c5e920e5'), UUID('4d0cd2a6-6d72-3546-aaf5-a41e017e7f12')]","[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcf0748550>, <UAT_app.database.db_models.TableLogs object at 0x7fdba82076d0>]",['10']
11,,[26],"[[151, 258, 346, 284]]",12,[26],"[[155, 812, 298, 838]]","[UUID('d0376c14-5940-32e7-8fc1-3145a22b4ce6'), UUID('8b4dda35-8f7a-3283-8da0-ffe523b953fb')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8c4fd60>, <UAT_app.database.db_models.TableLogs object at 0x7fdc501c7e50>]",['11']
13,,[26],"[[153, 999, 407, 1021]]",14,[27],"[[149, 291, 290, 317]]",[UUID('dbe9bee3-6295-32da-9d8d-fbdb5bde5b2f')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba88df520>],['13']
14,,[27],"[[149, 291, 290, 317]]",15,[27],"[[148, 675, 317, 697]]",[UUID('8d1ac516-f6f0-393f-90a0-5501aed66a4e')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5effd60>],['14']
15,,[27],"[[148, 675, 317, 697]]",16,[27],"[[149, 1297, 284, 1323]]","[UUID('640f58c4-400e-3cff-9333-4a8deee0bed5'), UUID('7f5c00d1-935a-36f4-973d-f9c24bf6d68a')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba881a910>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8d21220>]","['15', '15']"
16,,[27],"[[149, 1297, 284, 1323]]",17,[28],"[[134, 287, 290, 314]]",[UUID('12b2c309-71f0-3313-a547-a50ff55a7eb5')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf9633f760>],"['16', '16']"
17,,[28],"[[134, 287, 290, 314]]",18,[28],"[[135, 572, 399, 598]]",[],[],[],['17']
4,(a),[22],"[[133, 325, 246, 351]]",(b),[22],"[[133, 435, 290, 462]]",[],[],[],['4(a)']
4,(b),[22],"[[133, 435, 290, 462]]",(c),[23],"[[1005, 1619, 1033, 1646]]","[UUID('2702f2c6-2ca9-3eaa-9da3-f2fd400a5e25'), UUID('9390a61b-ad27-35f5-9cc1-afe570906ee8'), UUID('0d6c3f23-8936-3102-8c0f-6674501db77f'), UUID('ff283e02-72f2-31ee-ae83-512181b5458f'), UUID('0f2dd319-4efd-31c6-937d-d8b739d14734')]","[[1, 2, 3], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf61587f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf2b44af0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f0a0550>, <UAT_app.database.db_models.TableLogs object at 0x7fdbaa172940>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf25b12e0>]",['4(b)']
6,,[22],"[[128, 1059, 249, 1080]]",7,[23],"[[152, 281, 420, 307]]",[UUID('9390a61b-ad27-35f5-9cc1-afe570906ee8')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2b44af0>],['6']
20,(b),[28],"[[135, 851, 833, 879]]",(c),[29],"[[148, 672, 403, 700]]","[UUID('31474e2b-e3b0-3ea8-9c3c-335b76ec1ea5'), UUID('7f903634-d18f-3761-932b-b25bec633760')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9a4fc70>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6158370>]",['20(b)']
