note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[25],"[[104, 624, 337, 649]]",11,[26],"[[58, 317, 328, 338]]","[UUID('18205f8e-5ef3-3c89-b043-872f78e54c68'), UUID('ea769dfe-9e00-33cf-8bde-092a69a02ced')]","[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f05691faac0>, <UAT_app.database.db_models.TableLogs object at 0x7f056968a6d0>]",['10']
11,,[26],"[[58, 317, 328, 338]]",12,[26],"[[59, 573, 185, 595]]",[UUID('ea769dfe-9e00-33cf-8bde-092a69a02ced')],"[[3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f056968a6d0>],['11']
12,,[26],"[[59, 573, 185, 595]]",13,[26],"[[59, 711, 270, 734]]",[UUID('c498fdb3-a4c3-3c5f-b8e6-530a5c4297ac')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0689ec9520>],['12']
13,,[26],"[[59, 711, 270, 734]]",14,[26],"[[59, 804, 276, 824]]",[UUID('c498fdb3-a4c3-3c5f-b8e6-530a5c4297ac')],"[[7, 8, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0689ec9520>],['13']
14,,[26],"[[59, 804, 276, 824]]",15,[26],"[[59, 1102, 317, 1127]]",[UUID('c498fdb3-a4c3-3c5f-b8e6-530a5c4297ac')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0689ec9520>],"['14', '14']"
15,,[26],"[[59, 1102, 317, 1127]]",16,[26],"[[59, 1319, 297, 1344]]",[UUID('29ba9b03-090a-33c8-8bf5-7b07caa9b529')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f056828f2b0>],['15']
16,,[26],"[[59, 1319, 297, 1344]]",17,[27],"[[828, 1121, 860, 1143]]","[UUID('29ba9b03-090a-33c8-8bf5-7b07caa9b529'), UUID('41f336d1-d682-39a5-9e7b-fca56c578bf5')]","[[7, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]]","[<UAT_app.database.db_models.TableLogs object at 0x7f056828f2b0>, <UAT_app.database.db_models.TableLogs object at 0x7f055bdef8e0>]",['16']
18,,[29],"[[103, 210, 212, 230]]",19,[30],"[[585, 1614, 609, 1636]]","[UUID('5d0e7470-b503-3697-8f36-2a7e8fa2c909'), UUID('30fb0e82-ee50-32bd-a3ad-64266b35938e')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0569698ac0>, <UAT_app.database.db_models.TableLogs object at 0x7f05d2961bb0>]",['18']
19,,[31],"[[70, 225, 314, 249]]",20,[31],"[[69, 429, 258, 452]]",[UUID('4b822d8c-bd2b-3378-a0e6-6d2a984d0601')],"[[3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f055b8938e0>],['19']
20,,[31],"[[69, 429, 258, 452]]",21,[31],"[[69, 638, 294, 664]]",[UUID('4b822d8c-bd2b-3378-a0e6-6d2a984d0601')],"[[11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f055b8938e0>],['20']
