note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[22],"[[107, 195, 390, 220]]",11,[22],"[[105, 355, 350, 376]]",[UUID('4ac31c14-aaa0-3367-afc6-50b45ac3c1fa')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744447940>],"['10', '10']"
11,,[22],"[[105, 355, 350, 376]]",12,[22],"[[105, 1231, 251, 1252]]",[UUID('4ac31c14-aaa0-3367-afc6-50b45ac3c1fa')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744447940>],"['11', '11', '11']"
12,,[22],"[[105, 1231, 251, 1252]]",13,[23],"[[105, 195, 410, 218]]",[UUID('f01a1de8-72e9-3542-8049-ae07cb9b63a8')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6b7c11370>],['12']
13,,[23],"[[105, 195, 410, 218]]",14,[23],"[[105, 644, 437, 670]]",[UUID('64bf44fa-000c-3ca6-bdf8-84763a7c4a6c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c52041f0>],['13']
14,,[23],"[[105, 644, 437, 670]]",15,[24],"[[107, 197, 324, 218]]","[UUID('51e3d725-626c-3b52-a41f-a022630db9cb'), UUID('0d547bee-4eaa-38b6-b11e-4bae193f1e46')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7431c2190>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b3c730>]",['14']
15,,[24],"[[107, 197, 324, 218]]",16,[24],"[[105, 502, 267, 527]]",[UUID('6aad4a67-913d-3a17-a418-d0e3d689234b')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744b3c0d0>],['15']
16,,[24],"[[105, 502, 267, 527]]",17,[24],"[[103, 1111, 397, 1135]]",[UUID('5ae468d9-6b9f-373b-928b-9e6f0270ad04')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7437d4850>],['16']
17,,[24],"[[103, 1111, 397, 1135]]",18,[24],"[[130, 938, 1085, 959]]",[],[],[],['17']
18,,[25],"[[104, 192, 353, 216]]",19,[25],"[[104, 647, 376, 668]]",[UUID('472b395e-7319-353f-8a2e-6dc68e59993e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7407762b0>],"['18', '18', '18', '18']"
19,,[25],"[[104, 647, 376, 668]]",20,[25],"[[104, 864, 239, 885]]",[UUID('dc045ac2-b9d2-369b-a83a-f9f3ba0e1ff5')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740776460>],['19']
