note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
14,,[25],"[[118, 207, 398, 233]]",15,[25],"[[118, 410, 412, 437]]",[UUID('d6cc2a60-fc0f-3cf2-ae2d-c0e7232c496e')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9eb6d0>],"['14', '14', '14']"
15,,[11],"[[208, 1106, 559, 1127]]",16,[12],"[[118, 563, 167, 581]]",[UUID('9b7f8f6f-755e-3742-bc60-7f03598ea86a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96345b50>],['15']
16,,[25],"[[117, 843, 272, 864]]",17,[25],"[[116, 1092, 346, 1119]]",[UUID('d6cc2a60-fc0f-3cf2-ae2d-c0e7232c496e')],"[[16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9eb6d0>],['16']
18,,[26],"[[95, 218, 434, 243]]",19,[27],"[[109, 216, 445, 243]]",[UUID('08fedb34-f0d3-3490-a0b1-fbb4d15ca231')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba765f190>],['18']
20,,[11],"[[208, 1130, 521, 1150]]",21,[12],"[[118, 563, 167, 581]]",[UUID('9b7f8f6f-755e-3742-bc60-7f03598ea86a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96345b50>],['20']
19,,[27],"[[109, 216, 445, 243]]",20,[28],"[[108, 239, 441, 261]]",[UUID('5bdd8bee-bbb3-3989-bf10-745cb7f94a88')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7b70820>],"['19', '19']"
21,,[28],"[[108, 466, 386, 493]]",22,[28],"[[109, 739, 266, 762]]",[UUID('3f564c9b-5e47-3e4c-a687-e87180f7f140')],"[[6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa21ff70>],['21']
22,,[28],"[[109, 739, 266, 762]]",23,[29],"[[119, 488, 350, 511]]","[UUID('934add5c-47f6-3b84-bdf3-fcd476b97b2d'), UUID('b68b18b1-3e51-3f08-8eeb-49859415d95d'), UUID('210c082a-148a-3926-a0d9-c16954243c57')]","[[0, 1, 2, 3, 4, 5], [0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6f13d0a0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f13ddf0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f13dd00>]",['22']
23,,[29],"[[119, 488, 350, 511]]",24,[30],"[[108, 152, 269, 174]]",[UUID('210c082a-148a-3926-a0d9-c16954243c57')],"[[9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f13dd00>],['23']
17,,[25],"[[116, 1092, 346, 1119]]",18,[26],"[[95, 218, 434, 243]]",[],[],[],['17']
