note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
5,,[14],"[[55, 1126, 414, 1149]]",6,[14],"[[58, 386, 1143, 411]]",[],[],[],"['5', '5']"
6,,[15],"[[55, 177, 547, 202]]",7,[15],"[[55, 485, 395, 508]]",[UUID('2a3df512-036e-3149-aad6-1dab575418b6')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46942670>],['6']
7,,[15],"[[55, 485, 395, 508]]",8,[15],"[[55, 652, 619, 680]]",[UUID('2a3df512-036e-3149-aad6-1dab575418b6')],"[[7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46942670>],['7']
8,,[15],"[[55, 652, 619, 680]]",9,[15],"[[54, 1312, 509, 1338]]","[UUID('2a3df512-036e-3149-aad6-1dab575418b6'), UUID('8489eb02-1712-35d0-acc2-8210519df21d')]","[[11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46942670>, <UAT_app.database.db_models.TableLogs object at 0x7f22033d0730>]",['8']
9,,[15],"[[54, 1312, 509, 1338]]",10,[16],"[[54, 529, 458, 554]]",[UUID('af37f7a2-a500-38bc-9231-e47d0933bc97')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4832d070>],['9']
10,,[16],"[[54, 529, 458, 554]]",11,[16],"[[55, 842, 558, 868]]",[],[],[],['10']
11,,[16],"[[55, 842, 558, 868]]",12,[16],"[[55, 1082, 464, 1103]]",[],[],[],['11']
12,,[16],"[[55, 1082, 464, 1103]]",13,[16],"[[54, 1248, 429, 1272]]",[],[],[],['12']
13,,[16],"[[54, 1248, 429, 1272]]",14,[17],"[[55, 179, 424, 203]]",[UUID('31d1d2ff-ff8f-3236-a1ae-705986399ed0')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a148cd0>],['13']
14,,[17],"[[55, 179, 424, 203]]",15,[17],"[[54, 414, 505, 439]]",[UUID('8b8b57f7-21ff-3339-87e1-a6796a0b4197')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a148d90>],['14']
15,,[17],"[[54, 414, 505, 439]]",16,[17],"[[55, 585, 466, 610]]",[UUID('8b8b57f7-21ff-3339-87e1-a6796a0b4197')],"[[7, 8, 9, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a148d90>],['15']
16,,[17],"[[55, 585, 466, 610]]",17,[17],"[[54, 751, 353, 777]]",[UUID('8b8b57f7-21ff-3339-87e1-a6796a0b4197')],"[[9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a148d90>],['16']
17,,[17],"[[54, 751, 353, 777]]",18,[17],"[[55, 1082, 303, 1106]]",[UUID('8b8b57f7-21ff-3339-87e1-a6796a0b4197')],"[[15, 16, 17, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a148d90>],['17']
18,,[17],"[[55, 1082, 303, 1106]]",19,[18],"[[55, 179, 312, 203]]",[UUID('0feae7a9-e033-3aca-a8c7-ff87521a8184')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d30880>],['18']
3,,[13],"[[55, 1169, 214, 1192]]",4,[14],"[[55, 513, 321, 537]]","[UUID('266e3baf-fc61-34fc-aa9d-f02945f7a8f1'), UUID('62e5578f-17b7-3fef-ae38-12a28f0e0296')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d49528820>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45d30190>]",['3']
4,,[14],"[[55, 513, 321, 537]]",5,[14],"[[55, 1126, 414, 1149]]",[UUID('62e5578f-17b7-3fef-ae38-12a28f0e0296')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d30190>],['4']
