note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[16],"[[126, 990, 274, 1013]]",8,[16],"[[126, 1110, 429, 1138]]",[UUID('228b38f5-abc6-3241-a5f7-ada3aa8360fd')],"[[27, 28, 29, 30]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294212ca0>],['7']
17,,[21],"[[122, 803, 307, 824]]",18,[21],"[[123, 1165, 329, 1186]]",[UUID('5b1fa97a-a26d-3695-a92a-5ba35d70a243')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294245fa0>],['17']
8,,[16],"[[126, 1110, 429, 1138]]",9,[17],"[[180, 1311, 1038, 1337]]","[UUID('228b38f5-abc6-3241-a5f7-ada3aa8360fd'), UUID('e2b121fc-cbaf-3cf1-81ab-4dce5a74bd12'), UUID('aacd0731-ce89-3abe-b1bf-842e8886aab1'), UUID('44c06d99-d99d-324a-83dc-dc8c1e47d361')]","[[31, 32, 33, 34, 35, 36, 37, 38, 30], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294212ca0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8293362f70>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8293362730>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294226f40>]",['8']
15,,[20],"[[126, 1046, 355, 1074]]",16,[21],"[[122, 294, 331, 319]]","[UUID('6179dbd7-5cac-33ab-942e-e7d53ce03861'), UUID('29c71f19-706c-3b96-9ad5-3ac3c6983643')]","[[0, 1, 2, 3, 4], [6, 7, 8, 9, 10]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f829427b400>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f829427b5b0>]",['15']
9,,[18],"[[126, 222, 391, 248]]",10,[18],"[[126, 389, 280, 414]]",[UUID('1c24c1ad-8ed2-3d96-8792-a00fb2604ee4')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f82942291f0>],['9']
10,,[18],"[[126, 389, 280, 414]]",11,[18],"[[128, 926, 270, 946]]",[UUID('1c24c1ad-8ed2-3d96-8792-a00fb2604ee4')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f82942291f0>],['10']
18,,[21],"[[123, 1165, 329, 1186]]",19,[22],"[[135, 343, 374, 370]]",[UUID('5b1fa97a-a26d-3695-a92a-5ba35d70a243')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294245fa0>],['18']
11,,[18],"[[128, 926, 270, 946]]",12,[18],"[[181, 1189, 296, 1211]]",[UUID('1aa9caad-49d7-3aa1-aa1f-3d209574c7d3')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f829334a3d0>],['11']
12,,[19],"[[117, 296, 977, 320]]",13,[19],"[[117, 931, 303, 952]]","[UUID('15fa5e32-2817-3795-a5b3-fafc52846d98'), UUID('ad82a938-84a8-34e3-9ca0-e827ace6b7d7')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294229700>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294229c10>]",['12']
2,,[14],"[[126, 284, 253, 307]]",3,[14],"[[126, 640, 302, 664]]",[UUID('715a3103-a4b5-3650-83aa-28d8addf9f55')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f829422e220>],['2']
3,,[14],"[[126, 640, 302, 664]]",4,[14],"[[126, 850, 274, 873]]",[],[],[],['3']
5,,[16],"[[126, 250, 391, 274]]",6,[16],"[[126, 366, 405, 391]]",[UUID('228b38f5-abc6-3241-a5f7-ada3aa8360fd')],"[[2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f8294212ca0>],['5']
