note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[25],"[[88, 259, 1055, 296]]",9,[25],"[[87, 1134, 1131, 1177]]","[UUID('f0b88353-ae0a-3029-97de-35c0eed4c901'), UUID('caec03c6-6f77-346f-a96f-470e01223204')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fc049ffd5e0>, <UAT_app.database.db_models.TableLogs object at 0x7fc049ffd910>]",['8']
9,,[25],"[[87, 1134, 1131, 1177]]",10,[26],"[[91, 240, 482, 276]]",[UUID('caec03c6-6f77-346f-a96f-470e01223204')],"[[1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc049ffd910>],['9']
10,,[26],"[[91, 240, 482, 276]]",11,[27],"[[90, 314, 483, 348]]",[UUID('7c13f2a0-7ef2-3214-a86d-8067d4c34c7a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc048ba9790>],['10']
11,,[27],"[[90, 314, 483, 348]]",12,[28],"[[90, 243, 276, 276]]",[UUID('673981f9-4c8a-3245-8637-8f43657d0c63')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fbfe3513670>],['11']
13,,[30],"[[90, 226, 419, 263]]",14,[31],"[[91, 291, 564, 327]]",[UUID('5756f6b1-5657-3e87-87ee-af66200138c0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc04fc23190>],['13']
5,,[23],"[[87, 269, 332, 304]]",6,[24],"[[87, 276, 431, 314]]","[UUID('31eeda34-07f1-3b19-a21f-4e0efa7687a8'), UUID('956ab771-2d77-3c91-a6a9-f7a23dc689e7')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[<UAT_app.database.db_models.TableLogs object at 0x7fc049d09820>, <UAT_app.database.db_models.TableLogs object at 0x7fc4cb3a8190>]","['5', '5']"
14,,[31],"[[91, 291, 564, 327]]",15,[31],"[[90, 842, 339, 873]]",[UUID('0623a45b-bd85-3d5b-a71b-9abd567e3f93')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc049941ac0>],['14']
15,,[31],"[[90, 842, 339, 873]]",16,[32],"[[91, 264, 389, 299]]",[UUID('82124c71-a6ec-3445-a427-af1a508ad8a5')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc049941b80>],"['15', '15']"
16,,[32],"[[91, 264, 389, 299]]",17,[32],"[[90, 835, 448, 871]]",[UUID('772db196-8b30-39a6-a4c1-d86ebeeab2a8')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc04e4b4eb0>],['16']
17,,[32],"[[90, 835, 448, 871]]",18,[32],"[[89, 1152, 323, 1184]]",[UUID('a1295320-4a3c-399b-ace5-0b9646daf07e')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fbfe360d700>],['17']
