note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[141, 315, 459, 342]]",7,[24],"[[140, 468, 426, 491]]",[UUID('c628a900-6efe-3b48-9485-678390a6e160')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae7209d0>],"['6', '6']"
7,,[24],"[[140, 468, 426, 491]]",8,[24],"[[140, 619, 466, 644]]",[UUID('c628a900-6efe-3b48-9485-678390a6e160')],"[[4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae7209d0>],['7']
8,,[24],"[[140, 619, 466, 644]]",9,[24],"[[140, 914, 309, 937]]",[UUID('c628a900-6efe-3b48-9485-678390a6e160')],"[[8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae7209d0>],['8']
9,,[24],"[[140, 914, 309, 937]]",10,[25],"[[140, 314, 323, 340]]",[UUID('74c6f713-fce0-3d48-a705-12d487204087')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9afa723a0>],['9']
10,,[25],"[[140, 314, 323, 340]]",11,[25],"[[140, 689, 491, 717]]",[UUID('9cd410c0-5f4b-3d77-a268-8c947fc84468')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9afa725e0>],"['10', '10']"
11,,[25],"[[140, 689, 491, 717]]",12,[26],"[[141, 317, 364, 342]]",[UUID('53ff31b0-b181-31d7-8264-f687c12ddee3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af537f70>],['11']
12,,[26],"[[141, 317, 364, 342]]",13,[26],"[[143, 786, 269, 807]]",[UUID('41a415c7-173a-3432-8a17-d2127511a57d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af5077c0>],['12']
14,,[27],"[[140, 680, 443, 707]]",15,[27],"[[140, 939, 374, 965]]",[UUID('32bc6a39-0bf3-3e39-861d-0522cced078a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af5c2b50>],['14']
15,,[27],"[[140, 939, 374, 965]]",16,[28],"[[140, 314, 304, 340]]",[UUID('3e42cb6e-481e-3633-8350-48a58190b9dc')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9afa727f0>],['15']
16,,[28],"[[140, 314, 304, 340]]",17,[28],"[[140, 966, 523, 993]]","[UUID('c717a804-15d6-3c5c-93a9-c707bcf154d4'), UUID('6e5218c4-b9c1-3ae4-9b85-8dffc6f68565')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae72b490>, <UAT_app.database.db_models.TableLogs object at 0x7fd9ae72ba90>]","['16', '16']"
17,,[28],"[[140, 966, 523, 993]]",18,[29],"[[140, 314, 314, 340]]",[UUID('57c99576-63e5-3c53-986a-aa91b184be54')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae725460>],"['17', '17']"
18,,[29],"[[140, 314, 314, 340]]",19,[29],"[[140, 486, 469, 514]]",[UUID('ac5c2186-b52d-399d-a4f2-e3be118d6f0d')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af5495e0>],['18']
19,,[29],"[[140, 486, 469, 514]]",20,[29],"[[141, 869, 445, 897]]",[UUID('ac5c2186-b52d-399d-a4f2-e3be118d6f0d')],"[[3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af5495e0>],['19']
