note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
26,,[40],"[[108, 559, 463, 584]]",27,[40],"[[109, 773, 409, 798]]",[],[],[],"['26', '26', '26']"
4,,[31],"[[162, 292, 509, 317]]",5,[31],"[[164, 529, 527, 554]]",[UUID('15e1dc59-291d-371f-b73b-6b40e8122b45')],"[[2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5959940>],['4']
5,,[31],"[[164, 529, 527, 554]]",6,[31],"[[165, 845, 417, 870]]",[UUID('15e1dc59-291d-371f-b73b-6b40e8122b45')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5959940>],['5']
6,,[31],"[[165, 845, 417, 870]]",7,[31],"[[165, 1030, 350, 1056]]",[UUID('15e1dc59-291d-371f-b73b-6b40e8122b45')],"[[16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5959940>],['6']
7,,[31],"[[165, 1030, 350, 1056]]",8,[32],"[[124, 278, 580, 307]]",[],[],[],['7']
9,,[33],"[[117, 324, 545, 352]]",10,[33],"[[117, 580, 511, 608]]",[UUID('ffb22fda-2ffc-3e21-89fa-39b42e7851af')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744b53880>],['9']
10,,[33],"[[117, 580, 511, 608]]",11,[34],"[[114, 296, 551, 322]]","[UUID('32b67931-f7c1-37a2-bbec-2b92ddd958d7'), UUID('54dbcd18-17ed-397f-8545-bca173d97357'), UUID('ba7ca6b2-7b77-3724-bccf-d78b2a1d159b'), UUID('3aa75a3b-2934-36e8-bb14-ee0357e36c9a')]","[[0, 1], [0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74061b370>, <UAT_app.database.db_models.TableLogs object at 0x7ef74061bca0>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b537f0>, <UAT_app.database.db_models.TableLogs object at 0x7ef74061b7c0>]",['10']
3,(d),[30],"[[151, 444, 428, 470]]",(e),[31],"[[619, 1545, 641, 1566]]","[UUID('9c41e359-6478-3a48-9072-184ba0987815'), UUID('15e1dc59-291d-371f-b73b-6b40e8122b45')]","[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74063b250>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c5959940>]","['3(d)', '3(d)']"
3,(c),[30],"[[150, 347, 407, 375]]",(d),[30],"[[151, 444, 428, 470]]",[UUID('9c41e359-6478-3a48-9072-184ba0987815')],"[[3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74063b250>],['3(c)']
3,,[29],"[[109, 296, 317, 324]]",4,[30],"[[159, 1326, 676, 1354]]","[UUID('e92f36d2-271a-3aa9-b263-5f780d889d25'), UUID('a3f4b681-5215-352b-a818-dba834422064'), UUID('a1f981bb-4578-37f2-a30f-f841e480bf7d'), UUID('9c41e359-6478-3a48-9072-184ba0987815')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2], [0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7434aea30>, <UAT_app.database.db_models.TableLogs object at 0x7ef7434ae730>, <UAT_app.database.db_models.TableLogs object at 0x7ef7434aee80>, <UAT_app.database.db_models.TableLogs object at 0x7ef74063b250>]",['3']
