note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
19,,[38],"[[111, 1159, 395, 1182]]",20,[39],"[[110, 187, 561, 212]]",[UUID('98ca3658-5760-3279-a64b-00967216eabc')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38625af3a0>],"['19', '19']"
10,,[32],"[[111, 697, 485, 721]]",11,[33],"[[106, 214, 675, 234]]",[UUID('1a154bde-b3a5-32a4-a72f-dca82ca83ca1')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38abae9b20>],['10']
9,,[32],"[[111, 448, 321, 471]]",10,[32],"[[111, 697, 485, 721]]",[UUID('c7af6b65-3982-3338-8f61-0ff64e1a1003')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f395b7752b0>],['9']
11,,[33],"[[106, 214, 675, 234]]",12,[34],"[[106, 198, 297, 220]]",[UUID('e440965f-2002-3da7-8f8c-6cf3b08defcd')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38cee3caf0>],['11']
12,,[34],"[[106, 198, 297, 220]]",13,[35],"[[111, 210, 989, 235]]",[UUID('7a29653f-da91-3094-9fa2-c914a370c05e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f3958bb4ac0>],['12']
16,,[36],"[[111, 208, 989, 233]]",17,[36],"[[110, 570, 989, 595]]",[UUID('5884641f-e680-3aec-9a16-69977f2fdbcf')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38a87d4e50>],"['16', '16']"
15,,[35],"[[111, 759, 990, 782]]",16,[36],"[[111, 208, 989, 233]]",[UUID('a13f29a8-ca84-3b1f-a2db-a659c49390ea')],"[[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38a818f8b0>],"['15', '15', '15', '15']"
14,,[35],"[[110, 518, 989, 542]]",15,[35],"[[154, 672, 1024, 692]]",[UUID('a13f29a8-ca84-3b1f-a2db-a659c49390ea')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38a818f8b0>],"['14', '14']"
22,,[40],"[[109, 468, 297, 495]]",23,[40],"[[109, 644, 452, 669]]",[UUID('8ab40a44-1a0e-3881-9239-46f4369cb892')],"[[5, 6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38cf04edf0>],"['22', '22']"
13,,[35],"[[111, 210, 989, 235]]",14,[35],"[[110, 518, 989, 542]]",[UUID('7a8c1511-55fd-3cb5-8214-b0e0f43ecd78')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f38cee3cc40>],['13']
4,,[29],"[[111, 218, 1011, 241]]",5,[29],"[[111, 564, 1011, 588]]",[UUID('794049ff-914c-3822-9987-12807a8ece33')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f39266154c0>],['4']
5,,[29],"[[111, 564, 1011, 588]]",6,[29],"[[111, 861, 1011, 883]]",[UUID('794049ff-914c-3822-9987-12807a8ece33')],"[[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f39266154c0>],['5']
6,,[29],"[[111, 861, 1011, 883]]",7,[29],"[[111, 1078, 1011, 1100]]",[UUID('794049ff-914c-3822-9987-12807a8ece33')],"[[31, 24, 25, 26, 27, 28, 29, 30]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f39266154c0>],['6']
