note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
,,[13],"[[111, 360, 216, 383]]",,[13],"[[113, 103, 858, 136]]",[],[],[],"['D2.1', 'B1', 'B2', 'B1', 'B3', 'B4', 'B5.1', 'C2', 'B6', 'B5.2', 'D2.2', 'D2.3', 'B7', 'B6', 'B5.2', 'B7', 'C2', 'A1', 'A3', 'A4', 'C1', 'F1', 'B4', 'D2.1']"
,,[16],"[[122, 348, 1067, 368]]",,[16],"[[113, 103, 858, 136]]",[],[],[],[]
,,[17],"[[120, 486, 1067, 511]]",,[17],"[[113, 103, 858, 136]]",[],[],[],[]
,,[14],"[[111, 628, 1081, 651]]",,[14],"[[113, 103, 858, 136]]",[],[],[],[]
,,[14],"[[109, 998, 1077, 1022]]",,[14],"[[113, 103, 858, 136]]",[],[],[],[]
,,[14],"[[111, 495, 1077, 521]]",,[14],"[[113, 103, 858, 136]]",[],[],[],[]
,,[19],"[[182, 1485, 1054, 1511]]",,[19],"[[113, 103, 858, 136]]",[],[],[],[]
,,[15],"[[122, 802, 266, 823]]",,[15],"[[113, 103, 858, 136]]",[],[],[],[]
,,[15],"[[112, 1496, 1078, 1524]]",,[15],"[[113, 103, 858, 136]]",[],[],[],[]
,,[13],"[[113, 103, 858, 136]]",,[13],"[[113, 103, 858, 136]]",[],[],[],[]
,,[14],"[[110, 889, 1080, 916]]",,[14],"[[113, 103, 858, 136]]",[],[],[],[]
,,[15],"[[122, 651, 1067, 675]]",,[15],"[[113, 103, 858, 136]]",[],[],[],[]
,,[13],"[[112, 1105, 323, 1128]]",,[13],"[[113, 103, 858, 136]]",[],[],[],[]
,,[13],"[[112, 335, 1081, 361]]",,[13],"[[113, 103, 858, 136]]",[],[],[],[]
,,[27],"[[111, 314, 796, 340]]",,[27],"[[113, 103, 858, 136]]",[],[],[],[]
,,[13],"[[110, 838, 1080, 888]]",,[13],"[[113, 103, 858, 136]]",[],[],[],[]
