note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[26],"[[163, 838, 478, 862]]",9,[27],"[[162, 366, 321, 389]]",[UUID('f15cd1ce-bb37-355b-9764-df11022693de')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd3432c2fa0>],"['8', '8']"
9,,[27],"[[162, 366, 321, 389]]",10,[28],"[[165, 363, 502, 391]]","[UUID('d464e2ae-8bce-3c20-bccf-58ad8276322a'), UUID('dd5e2573-5014-33df-befa-4aca55a5ea3a')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd318ea5730>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd31a8edca0>]",['9']
10,,[28],"[[165, 363, 502, 391]]",11,[29],"[[162, 366, 374, 391]]",[UUID('dd5e2573-5014-33df-befa-4aca55a5ea3a')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd31a8edca0>],"['10', '10']"
11,,[29],"[[162, 366, 374, 391]]",12,[29],"[[162, 864, 446, 885]]",[UUID('b831af55-7fdb-337d-b51d-52804e4679e3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd342a45f70>],['11']
13,,[29],"[[160, 1035, 386, 1061]]",14,[30],"[[166, 363, 581, 387]]",[UUID('b831af55-7fdb-337d-b51d-52804e4679e3')],"[[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd342a45f70>],['13']
12,,[29],"[[162, 864, 446, 885]]",13,[29],"[[160, 1035, 386, 1061]]",[UUID('b831af55-7fdb-337d-b51d-52804e4679e3')],"[[15, 16, 17, 18, 19]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd342a45f70>],['12']
15,,[30],"[[166, 719, 455, 746]]",16,[30],"[[166, 948, 469, 972]]",[UUID('adb4abb0-ebfb-3b0a-b90b-a9fdf4dc5e1a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd318ea5790>],['15']
16,,[30],"[[166, 948, 469, 972]]",17,[30],"[[166, 1183, 311, 1209]]",[UUID('adb4abb0-ebfb-3b0a-b90b-a9fdf4dc5e1a')],"[[8, 9, 10, 11, 12, 13, 14, 15]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd318ea5790>],"['16', '16']"
17,,[30],"[[166, 1183, 311, 1209]]",18,[31],"[[160, 617, 467, 644]]","[UUID('adb4abb0-ebfb-3b0a-b90b-a9fdf4dc5e1a'), UUID('503b4af5-734d-3041-9ad5-e47572daeec8')]","[[15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd318ea5790>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd31a8eddf0>]",['17']
18,,[31],"[[160, 617, 467, 644]]",19,[32],"[[165, 363, 524, 389]]","[UUID('7fcab206-2e56-376b-bfd4-d5a5e1ed0fee'), UUID('503b4af5-734d-3041-9ad5-e47572daeec8')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [7, 8, 9]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd3432956a0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd31a8eddf0>]","['18', '18', '18']"
4,,[24],"[[163, 363, 588, 387]]",5,[24],"[[163, 820, 400, 844]]",[UUID('0803778b-d915-30f0-9df0-03628c7a1b4f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd318eb4dc0>],['4']
5,,[24],"[[163, 820, 400, 844]]",6,[25],"[[162, 363, 323, 387]]",[UUID('3ee2ed9a-43ff-3283-a68a-7f16c25d63ee')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd318eb4c10>],['5']
7,,[26],"[[163, 609, 269, 632]]",8,[26],"[[163, 838, 478, 862]]",[UUID('5b101a88-7fc5-3d52-8570-5b3dbe545395')],"[[0, 1]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fd318eb0730>],['7']
