note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[17],"[[118, 1062, 917, 1087]]",9,[18],"[[120, 269, 917, 289]]",[UUID('e72139da-bd48-30f0-814d-a44caf220b28')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2dac30a2b0>],['8']
9,,[18],"[[120, 269, 917, 289]]",10,[18],"[[115, 480, 917, 506]]",[UUID('7db3a5ad-aa0c-3a02-aa3e-0dd1911ef617')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2dac30aa90>],['9']
7,(b),[17],"[[111, 315, 918, 337]]",(c),[17],"[[111, 792, 917, 818]]",[UUID('b5ad48ed-22c1-3f01-9b30-ca6c3a7417bd')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2cccc100>],['7(b)']
7,(c),[17],"[[111, 792, 917, 818]]",(d),[17],"[[110, 929, 407, 955]]",[UUID('3e62d093-0f84-3093-a6e2-30cb7a2b1c0d')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2cccc130>],['7(c)']
10,,[18],"[[115, 480, 917, 506]]",11,[18],"[[116, 983, 205, 1004]]",[UUID('de57ae18-746e-3573-a187-db7af9f379a4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d1f5adbb0>],['10']
11,(a),[18],"[[112, 1026, 302, 1052]]",(b),[18],"[[112, 1221, 276, 1248]]",[UUID('6d726af8-5adc-3afe-83c9-42de7edac704')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2dae230ac0>],['11(a)']
11,(b),[18],"[[112, 1221, 276, 1248]]",(c),[19],"[[586, 1583, 607, 1605]]","[UUID('6d726af8-5adc-3afe-83c9-42de7edac704'), UUID('43cd1507-96d2-3184-a46d-8b241d6ad8d3'), UUID('470b0a4e-196c-31fc-9607-278eff2af963'), UUID('0463d295-6c5e-397b-b705-1daa691952c5'), UUID('13a9af1b-63de-3450-ae80-39fc1def77e2')]","[[7, 8, 9, 6], [0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f2dae230ac0>, <UAT_app.database.db_models.TableLogs object at 0x7f2d2dcbb760>, <UAT_app.database.db_models.TableLogs object at 0x7f2da9f6c430>, <UAT_app.database.db_models.TableLogs object at 0x7f2da9f6c400>, <UAT_app.database.db_models.TableLogs object at 0x7f2d6e32d1f0>]","['11(b)', '11(b)']"
12,,[19],"[[116, 266, 917, 287]]",13,[19],"[[116, 439, 917, 460]]",[UUID('0463d295-6c5e-397b-b705-1daa691952c5')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2da9f6c400>],['12']
13,,[19],"[[116, 439, 917, 460]]",14,[19],"[[115, 1042, 913, 1067]]","[UUID('0463d295-6c5e-397b-b705-1daa691952c5'), UUID('13a9af1b-63de-3450-ae80-39fc1def77e2')]","[[7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f2da9f6c400>, <UAT_app.database.db_models.TableLogs object at 0x7f2d6e32d1f0>]","['13', '13']"
14,,[19],"[[115, 1042, 913, 1067]]",15,[20],"[[115, 268, 917, 289]]",[UUID('470b0a4e-196c-31fc-9607-278eff2af963')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2da9f6c430>],"['14', '14']"
15,,[20],"[[115, 268, 917, 289]]",16,[21],"[[115, 573, 267, 598]]","[UUID('fa0b5448-b8e0-3637-9aed-3d67e085515a'), UUID('be2885a5-8875-321b-a247-9a0d3f72b5df'), UUID('7022e790-09ed-3b26-8c8f-987f0ff2193d'), UUID('e0cb29f5-a7ae-3926-b1c6-eba9276b3db6')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f2e66d9c730>, <UAT_app.database.db_models.TableLogs object at 0x7f2d2cf678b0>, <UAT_app.database.db_models.TableLogs object at 0x7f2e66d9cc40>, <UAT_app.database.db_models.TableLogs object at 0x7f2d2dca5130>]","['15', '15']"
16,,[21],"[[115, 573, 267, 598]]",17,[21],"[[115, 1118, 236, 1141]]",[UUID('1eb7480d-e519-3679-a571-da109606b6de')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2c5419d0>],"['16', '16']"
2,,[15],"[[120, 284, 973, 309]]",3,[15],"[[120, 508, 286, 532]]",[UUID('4540b7e1-360f-3261-a375-7cda031f06c6')],"[[1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2dad2e0520>],['2']
3,,[15],"[[120, 508, 286, 532]]",4,[15],"[[120, 684, 307, 710]]",[UUID('e2f51a0a-7142-3baa-bb94-ae613c2e10a3')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2da9f6c2b0>],['3']
4,,[15],"[[120, 684, 307, 710]]",5,[15],"[[120, 833, 350, 860]]",[UUID('97026cf2-c424-3d01-b713-8a168fd02757')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d1ed639d0>],['4']
