note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[14],"[[111, 1016, 421, 1039]]",11,[14],"[[111, 1238, 429, 1259]]",[UUID('d7d6eaa5-b3d2-3454-9929-c37f57e5b5b6')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3ae0361850>],"['10', '10']"
11,,[14],"[[111, 1238, 429, 1259]]",12,[15],"[[111, 215, 286, 235]]",[UUID('e939739a-a756-3a94-8e8e-2385b2ab194a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3ae0361070>],['11']
12,,[15],"[[111, 215, 286, 235]]",13,[15],"[[111, 519, 451, 542]]",[UUID('3aa8e8f3-dbcd-324b-b224-fe9a7d195928')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3e2c2b9400>],['12']
13,,[15],"[[111, 519, 451, 542]]",14,[16],"[[111, 215, 251, 235]]",[UUID('3bdb17ad-8ca2-3a04-bdab-4c9ce9d9b0db')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3ae3a442e0>],['13']
15,,[17],"[[111, 215, 336, 236]]",16,[17],"[[111, 1029, 476, 1054]]",[UUID('b3f41cfe-1338-3732-9706-8c8aa8ed8f30')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3ae11e3340>],['15']
17,,[18],"[[111, 351, 376, 373]]",18,[18],"[[111, 1034, 407, 1055]]",[UUID('59d34868-3c36-317c-aeef-8c3082405bf1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3e14423700>],['17']
18,,[18],"[[111, 1034, 407, 1055]]",19,[19],"[[111, 215, 383, 238]]",[UUID('b5e48f1b-7936-39f5-9480-db3087eb8af0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3e14423100>],['18']
19,,[19],"[[111, 215, 383, 238]]",20,[19],"[[111, 1019, 348, 1040]]","[UUID('2d44e159-c2b1-37cc-a048-40b679ed8b75'), UUID('47d7277a-5fbc-32d6-aea4-914cff65a44a'), UUID('8a9565f3-7bf1-3751-9f90-4640d3e841bd')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f3e2c2c9a60>, <UAT_app.database.db_models.TableLogs object at 0x7f3e2c2c9580>, <UAT_app.database.db_models.TableLogs object at 0x7f3b5dcb5190>]","['19', '19']"
20,,[19],"[[111, 1019, 348, 1040]]",21,[20],"[[111, 215, 281, 235]]",[UUID('69903c69-5e34-3a7c-834a-383832267253')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3e2c2c9af0>],"['20', '20']"
21,,[20],"[[111, 215, 281, 235]]",22,[20],"[[111, 567, 303, 592]]",[UUID('9ae4cb16-aab2-3480-a3af-41a05b343f15')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3e2c2b9a90>],['21']
22,,[20],"[[111, 567, 303, 592]]",23,[20],"[[111, 809, 269, 828]]",[UUID('c5ee6a65-f775-351f-873d-d8d07fdab867')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3b5a3118b0>],['22']
23,,[20],"[[111, 809, 269, 828]]",24,[20],"[[111, 983, 739, 1004]]",[],[],[],"['23', '23']"
7,,[14],"[[111, 213, 329, 235]]",8,[14],"[[111, 435, 351, 458]]",[UUID('0f90b330-5a7f-36ba-8e1e-487b8b6bdb4d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3ae3a44fd0>],['7']
