note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[20],"[[170, 833, 507, 856]]",7,[20],"[[170, 1174, 523, 1195]]",[UUID('8eb1b514-240d-3979-8cda-5b130c917fd5')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7411b3b80>],"['6', '6']"
7,,[20],"[[170, 1174, 523, 1195]]",8,[21],"[[172, 416, 362, 439]]","[UUID('cb0b044f-0c73-3fd9-9133-58c28e20befd'), UUID('8de0510f-45e3-3991-8e78-a3789fb1ca72')]","[[0, 1, 2, 3, 4], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742e56280>, <UAT_app.database.db_models.TableLogs object at 0x7ef747251400>]",['7']
12,,[23],"[[172, 416, 495, 437]]",13,[23],"[[172, 679, 508, 698]]",[UUID('253520c2-d2b3-3271-9c86-cd98f81b43f8')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740070fa0>],"['12', '12']"
8,,[21],"[[172, 416, 362, 439]]",9,[21],"[[170, 600, 371, 621]]",[UUID('8de0510f-45e3-3991-8e78-a3789fb1ca72')],"[[1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef747251400>],['8']
9,,[21],"[[170, 600, 371, 621]]",10,[21],"[[169, 837, 640, 856]]",[UUID('aa17bca1-c1e9-32d0-9c45-20b24d8c63dd')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe1c47a60>],"['9', '9']"
10,,[21],"[[169, 837, 640, 856]]",11,[21],"[[169, 993, 560, 1016]]",[],[],[],['10']
11,,[21],"[[169, 993, 560, 1016]]",12,[22],"[[594, 1506, 618, 1527]]","[UUID('3532629e-e65c-34ec-b464-20306e567c45'), UUID('577ea11b-543b-3463-974f-0323c12acbdc'), UUID('1aae994e-7f36-3a4c-9f9d-5db38a15727f')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]]","[<UAT_app.database.db_models.TableLogs object at 0x7efbe1c47d90>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1c47b50>, <UAT_app.database.db_models.TableLogs object at 0x7ef743399c10>]",['11']
13,,[23],"[[172, 679, 508, 698]]",14,[23],"[[170, 1070, 444, 1093]]",[UUID('239010c6-556a-3366-ade6-f61f68b35c66')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742407160>],"['13', '13']"
14,,[23],"[[170, 1070, 444, 1093]]",15,[23],"[[169, 1333, 360, 1353]]",[UUID('79c5cea2-e6d7-30a3-b2d0-3131927f1436')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7423e7d00>],['14']
15,,[23],"[[169, 1333, 360, 1353]]",16,[24],"[[172, 835, 394, 855]]","[UUID('79c5cea2-e6d7-30a3-b2d0-3131927f1436'), UUID('527a5a23-7ee0-3cd2-9f6b-427a56734ca1'), UUID('2d112b62-9053-3e8e-b8b5-47115992cc81')]","[[1, 2, 3, 4, 5], [0, 1], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7423e7d00>, <UAT_app.database.db_models.TableLogs object at 0x7ef7444a1910>, <UAT_app.database.db_models.TableLogs object at 0x7ef7444a10d0>]","['15', '15']"
16,,[24],"[[172, 835, 394, 855]]",17,[24],"[[172, 1175, 359, 1195]]","[UUID('527a5a23-7ee0-3cd2-9f6b-427a56734ca1'), UUID('a63e9ac3-3eb0-339c-9438-88970f60ae32')]","[[1, 2], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7444a1910>, <UAT_app.database.db_models.TableLogs object at 0x7ef7433a86a0>]",['16']
3,(a),[19],"[[170, 462, 547, 490]]",(b),[19],"[[170, 593, 329, 619]]",[],[],[],['3(a)']
3,(b),"[20, 19]","[[170, 465, 774, 491], [170, 593, 329, 619]]",(c),[21],"[[590, 1509, 618, 1535]]","[UUID('8eb1b514-240d-3979-8cda-5b130c917fd5'), UUID('cb0b044f-0c73-3fd9-9133-58c28e20befd'), UUID('1ce38b71-056a-30d8-9347-3388162b8bb7'), UUID('aa17bca1-c1e9-32d0-9c45-20b24d8c63dd'), UUID('8de0510f-45e3-3991-8e78-a3789fb1ca72'), UUID('3532629e-e65c-34ec-b464-20306e567c45'), UUID('577ea11b-543b-3463-974f-0323c12acbdc')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7411b3b80>, <UAT_app.database.db_models.TableLogs object at 0x7ef742e56280>, <UAT_app.database.db_models.TableLogs object at 0x7ef743ac9880>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1c47a60>, <UAT_app.database.db_models.TableLogs object at 0x7ef747251400>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1c47d90>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1c47b50>]",['3(b)']
4,(a),[19],"[[170, 802, 539, 830]]",(b),[19],"[[170, 593, 329, 619]]",[],[],[],['4(a)']
4,(b),[19],"[[170, 883, 316, 909]]",(c),[20],"[[595, 1509, 619, 1529]]","[UUID('ceaaf856-7bf4-3a51-ac83-19639710268a'), UUID('999af457-0170-3f3c-9bb6-1d88e8bbeba0'), UUID('8eb1b514-240d-3979-8cda-5b130c917fd5'), UUID('cb0b044f-0c73-3fd9-9133-58c28e20befd'), UUID('1ce38b71-056a-30d8-9347-3388162b8bb7')]","[[1, 2, 3, 4], [0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742e56220>, <UAT_app.database.db_models.TableLogs object at 0x7ef742e56190>, <UAT_app.database.db_models.TableLogs object at 0x7ef7411b3b80>, <UAT_app.database.db_models.TableLogs object at 0x7ef742e56280>, <UAT_app.database.db_models.TableLogs object at 0x7ef743ac9880>]",['4(b)']
5,,[19],"[[170, 1039, 524, 1064]]",6,[20],"[[170, 833, 507, 856]]","[UUID('999af457-0170-3f3c-9bb6-1d88e8bbeba0'), UUID('1ce38b71-056a-30d8-9347-3388162b8bb7')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742e56190>, <UAT_app.database.db_models.TableLogs object at 0x7ef743ac9880>]",['5']
