note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[22],"[[141, 307, 459, 333]]",8,[22],"[[140, 600, 467, 628]]",[UUID('dbac205d-cdf6-3e21-8735-7672f66f4b58')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d497bba90>],"['7', '7']"
8,,[22],"[[140, 600, 467, 628]]",9,[22],"[[141, 1129, 310, 1152]]",[UUID('65319922-7924-3cc1-be59-988bae829334')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d497fb8e0>],"['8', '8']"
9,,[22],"[[141, 1129, 310, 1152]]",10,[23],"[[143, 307, 575, 332]]",[UUID('022e2c24-19a4-3d78-8298-a11d77fcf5b8')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd6682760>],['9']
10,1,[23],"[[143, 346, 357, 366]]",10.2,[23],"[[144, 784, 380, 804]]",[UUID('fba5a3d0-12ff-3f2b-b3fa-131fc6930301')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd69d68e0>],['10.1']
11,,[24],"[[143, 937, 400, 963]]",12,[25],"[[143, 309, 269, 330]]",[UUID('db21bf82-fc67-37b1-bdb9-c7506c1a993b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4621e760>],['11']
13,,[25],"[[143, 955, 444, 980]]",14,[26],"[[143, 307, 567, 333]]",[UUID('0afdea97-b459-35b0-8eef-75cbfd34c8ea')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4352bee0>],['13']
15,,[26],"[[143, 797, 303, 818]]",16,[27],"[[143, 307, 464, 333]]","[UUID('141e8158-799a-3ff8-af14-3c16db88564b'), UUID('8bac9e44-d4d5-3ff4-8ec0-f73d59e5b5e8')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4807c940>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4807c760>]",['15']
6,,[20],"[[141, 1096, 308, 1119]]",7,[21],"[[1029, 1524, 1051, 1544]]","[UUID('3b70fbbd-7df5-3a4a-b24b-0edb6d5a49bf'), UUID('431ba75e-291e-3595-adfa-8d83bee672cb'), UUID('dd56338a-1054-3a5a-8678-37e675cb8d0e'), UUID('860fcea2-d489-3fa9-8252-f86206ead2ae')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d487cce80>, <UAT_app.database.db_models.TableLogs object at 0x7f1d480b0dc0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d480b04c0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d480b06d0>]","['6', '6']"
16,,[27],"[[143, 307, 464, 333]]",17,[27],"[[143, 1111, 683, 1138]]","[UUID('c9b4a436-311f-3241-81d9-5386e8e7dd2f'), UUID('7e24cabb-43fa-3aa0-a1dd-a95d15a65b1a'), UUID('2ef34b3b-48ba-3b0a-af51-fc8a3736de34')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1cd7eb3370>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7eb35e0>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7eb3100>]","['16', '16', '16']"
4,,[19],"[[140, 309, 583, 330]]",5,[19],"[[141, 912, 295, 937]]",[UUID('45d1c599-a7b2-3c04-8274-8473d449ea18')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d454cf9d0>],['4']
5,1,[19],"[[141, 947, 464, 975]]",5.2,[19],"[[143, 1175, 409, 1200]]",[UUID('bc7fa78c-8334-391e-93c0-d198d1882d8f')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d480b0f10>],['5.1']
5,2,[19],"[[143, 1175, 409, 1200]]",5.3,[20],"[[141, 343, 352, 370]]","[UUID('b822520b-d649-315f-9ea6-b0c903736fc2'), UUID('20a62a81-4ded-3345-944c-eca17474ac59')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a068760>, <UAT_app.database.db_models.TableLogs object at 0x7f1d487ccac0>]",['5.2']
