note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[21],"[[87, 881, 352, 906]]",10,[21],"[[89, 1009, 362, 1031]]",[UUID('2dcd1d22-e746-3e69-8727-29b187693603')],"[[18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46aa3b20>],"['9', '9']"
10,,[21],"[[89, 1009, 362, 1031]]",11,[21],"[[89, 1182, 219, 1203]]",[UUID('2dcd1d22-e746-3e69-8727-29b187693603')],"[[22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46aa3b20>],['10']
11,,[21],"[[89, 1182, 219, 1203]]",12,[22],"[[97, 308, 399, 332]]",[UUID('2dcd1d22-e746-3e69-8727-29b187693603')],"[[31, 32, 33, 34, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46aa3b20>],['11']
7,(c),[20],"[[119, 356, 410, 378]]",(d),[21],"[[1058, 1603, 1081, 1624]]","[UUID('1f7fc3e8-4e6b-3300-bd03-7420b8c15f0c'), UUID('2dcd1d22-e746-3e69-8727-29b187693603')]","[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d08477580>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46aa3b20>]",['7(c)']
12,,[22],"[[97, 308, 399, 332]]",13,[23],"[[89, 332, 1101, 355]]","[UUID('1b02a9ac-6afa-34ef-9937-5444165e26b5'), UUID('d86eaf86-e2f1-3885-b373-7e74312b39f9'), UUID('c915159c-f05d-3cea-b909-0db57357b3eb')]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46b2d070>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46b2d340>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45310850>]",['12']
13,,[23],"[[89, 332, 1101, 355]]",14,[23],"[[89, 485, 255, 506]]",[UUID('c915159c-f05d-3cea-b909-0db57357b3eb')],"[[2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45310850>],['13']
14,,[23],"[[89, 485, 255, 506]]",15,[23],"[[89, 907, 283, 930]]",[UUID('c915159c-f05d-3cea-b909-0db57357b3eb')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45310850>],"['14', '14', '14']"
15,,[23],"[[89, 907, 283, 930]]",16,[23],"[[89, 1156, 298, 1179]]",[UUID('c915159c-f05d-3cea-b909-0db57357b3eb')],"[[21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45310850>],"['15', '15']"
16,,[23],"[[89, 1156, 298, 1179]]",17,[24],"[[89, 1289, 354, 1310]]","[UUID('7ed811ff-4b92-3d39-adf5-2270f2cbca63'), UUID('840e1deb-8747-30a8-a5cc-328d5301d445'), UUID('fde3bcca-8aab-3efb-be49-e84f95b16630'), UUID('2e939a8f-f45c-3c13-a4cc-3e0d4194a398')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d0887f9a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d0887ff40>, <UAT_app.database.db_models.TableLogs object at 0x7f1d084777c0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d08477d30>]","['16', '16']"
6,,[19],"[[88, 621, 412, 641]]",7,[19],"[[88, 897, 219, 917]]",[UUID('a13ece56-6bf7-3b15-abdb-34ee5b9cec10')],"[[11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d0887f5e0>],"['6', '6', '6']"
