note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[19],"[[142, 468, 365, 491]]",9,[19],"[[141, 649, 297, 671]]",[],[],[],"['8', '8']"
9,,[19],"[[141, 649, 297, 671]]",10,[19],"[[141, 972, 394, 999]]",[UUID('8105db38-0c9d-3a79-b1f1-f6d03e6317a2')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda89037760>],"['9', '9']"
10,,[19],"[[141, 972, 394, 999]]",11,[20],"[[141, 266, 497, 292]]",[UUID('b289cc72-54e4-3e1e-b41b-ba810cc12301')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3f95b0>],"['10', '10']"
11,,[20],"[[141, 266, 497, 292]]",12,[20],"[[142, 776, 253, 802]]",[UUID('3d7aa904-7abf-3426-b1ae-c410dbb26337')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3d4d30>],"['11', '11']"
13,,[21],"[[142, 860, 382, 886]]",14,[22],"[[142, 694, 444, 720]]","[UUID('72335360-0cc6-3cd9-96a4-f70077bc654b'), UUID('d7988c4f-d09c-3ba8-ac2c-d7b7cb148d86')]","[[5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda8900b8b0>, <UAT_app.database.db_models.TableLogs object at 0x7fda8900b190>]","['13', '13']"
14,,[22],"[[142, 694, 444, 720]]",15,[22],"[[141, 1140, 484, 1166]]","[UUID('a6ee8afd-b658-3916-91ee-afd8629d15ed'), UUID('656e2f63-0153-3625-9593-72ccd7140d3c')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3c1fa0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9ae3c1520>]","['14', '14']"
15,,[22],"[[141, 1140, 484, 1166]]",16,[23],"[[141, 416, 407, 442]]",[UUID('a6ee8afd-b658-3916-91ee-afd8629d15ed')],"[[4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3c1fa0>],"['15', '15']"
17,,[23],"[[139, 1109, 377, 1140]]",18,[24],"[[141, 430, 570, 456]]",[UUID('b4a9a065-b563-3c1c-bfe9-d261e315f449')],"[[18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3e2f40>],"['17', '17']"
18,(a),"[24, 17]","[[141, 470, 307, 495], [141, 1127, 346, 1153]]",(b),[18],"[[141, 304, 300, 329]]",[],[],[],"['18(a)', '18(a)', '18(a)', '18(a)']"
18,(b),[24],"[[139, 785, 334, 810]]",(c),[25],"[[583, 1519, 608, 1539]]","[UUID('9e18a0bb-55d8-3118-801f-30ceee054993'), UUID('f4ef0d64-df7d-38ce-b8c7-a518d177e445'), UUID('a82f3cbc-2a70-3bac-8f55-1aef8109b572')]","[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9af2188e0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9ae3d1580>, <UAT_app.database.db_models.TableLogs object at 0x7fd9ae3d1e50>]","['18(b)', '18(b)']"
,,[12],"[[142, 382, 641, 405]]",,[12],"[[141, 304, 274, 329]]",[],[],[],"['Notes', 'Notes']"
4,,[17],"[[141, 867, 321, 891]]",5,[17],"[[141, 1090, 594, 1116]]",[UUID('6a10f31e-b6a9-313e-85c3-f1f89522104e')],"[[9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3f6400>],"['4', '4']"
5,(a),[17],"[[141, 1127, 346, 1153]]",(b),[18],"[[141, 304, 300, 329]]",[UUID('6a10f31e-b6a9-313e-85c3-f1f89522104e')],"[[17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3f6400>],"['5(a)', '5(a)']"
5,(b),"[23, 18]","[[141, 304, 852, 329], [141, 304, 300, 329]]",(c),[24],"[[583, 1519, 608, 1539]]","[UUID('b4a9a065-b563-3c1c-bfe9-d261e315f449'), UUID('9e18a0bb-55d8-3118-801f-30ceee054993')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3e2f40>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af2188e0>]","['5(b)', '5(b)']"
6,,[18],"[[142, 567, 388, 594]]",7,[19],"[[141, 266, 461, 290]]",[UUID('2d930aad-9df8-3721-8c0d-89bdca787510')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3eca60>],"['6', '6']"
7,,[19],"[[141, 266, 461, 290]]",8,[19],"[[142, 468, 365, 491]]",[UUID('c0904331-c00d-39b7-94e9-1d35760782db')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae3d45e0>],['7']
