note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[19],"[[140, 769, 622, 797]]",8,[19],"[[140, 990, 250, 1019]]",[UUID('4368607c-d517-3ca5-bdc7-84f6e285ca12')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f75306a9dc0>],['7']
13,,[23],"[[140, 302, 340, 332]]",14,[23],"[[141, 869, 417, 897]]",[UUID('a6a217d6-8197-32cc-aaee-584f35035fd1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f753233edf0>],"['13', '13']"
9,,[20],"[[140, 302, 500, 330]]",10,[21],"[[140, 302, 590, 332]]",[UUID('3d37d250-6143-3102-ab79-3193ed24dd7d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7f75306b8d90>],"['9', '9']"
10,,[21],"[[140, 302, 590, 332]]",11,[22],"[[140, 300, 303, 330]]","[UUID('36959ed5-bf2f-3a64-b149-a73f6463a44b'), UUID('adc0de23-fb6a-3d20-aeb0-b083af3af757')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f75306a9fd0>, <UAT_app.database.db_models.TableLogs object at 0x7f75306a9220>]","['10', '10', '10']"
11,,[22],"[[140, 300, 303, 330]]",12,[22],"[[141, 1282, 483, 1312]]",[UUID('3334560b-b7e6-3710-a381-77b05f8bbde7')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7532320610>],"['11', '11', '11']"
8,,[19],"[[140, 990, 250, 1019]]",9,[20],"[[140, 302, 500, 330]]",[UUID('3b02f33d-1cde-3fb6-9006-642ea83e4358')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f75306a93d0>],['8']
12,,[22],"[[141, 1282, 483, 1312]]",13,[23],"[[140, 302, 340, 332]]",[UUID('9350844c-3b45-348f-bcac-c58ab3a3f070')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f753233e940>],['12']
14,,[23],"[[141, 869, 417, 897]]",15,[24],"[[140, 302, 460, 332]]",[UUID('b27fa732-a613-34a6-9150-1f64930f8838')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7532333c40>],"['14', '14', '14', '14']"
5,,[19],"[[141, 325, 393, 355]]",6,[19],"[[141, 518, 323, 541]]",[UUID('3f693272-1c82-3791-81a4-b7947616c70d')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f753231c430>],['5']
1,,[18],"[[141, 279, 273, 304]]",2,[18],"[[140, 570, 444, 596]]",[UUID('1f7793cf-f027-34fa-aab2-130a688e39bb')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f75323352e0>],['1']
2,,[18],"[[140, 570, 444, 596]]",3,[18],"[[140, 736, 384, 763]]",[UUID('215e8316-69ad-3bdc-b951-c380ecac99d6')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7532335c70>],['2']
6,,[19],"[[141, 518, 323, 541]]",7,[19],"[[140, 769, 622, 797]]",[UUID('2ce32ad0-8282-37de-a2e3-21026e306898')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f75323207f0>],['6']
3,,[18],"[[140, 736, 384, 763]]",4,[18],"[[141, 1031, 418, 1059]]",[UUID('215e8316-69ad-3bdc-b951-c380ecac99d6')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7532335c70>],"['3', '3', '3', '3', '3']"
4,,[18],"[[141, 1031, 418, 1059]]",5,[19],"[[141, 325, 393, 355]]",[UUID('215e8316-69ad-3bdc-b951-c380ecac99d6')],"[[31, 32, 33, 34, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7532335c70>],['4']
