note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[18],"[[146, 943, 422, 966]]",11,[18],"[[147, 1216, 431, 1237]]",[UUID('cb1a44c0-9de8-38a9-9e0a-75e8ea5cb1b9')],"[[20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae8a09a0>],"['10', '10']"
11,,[18],"[[147, 1216, 431, 1237]]",12,[19],"[[148, 312, 298, 336]]",[UUID('1eb402a8-f9d6-3206-aa44-73a02dce7e46')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae8a0b20>],['11']
12,,[19],"[[148, 312, 298, 336]]",13,[19],"[[148, 532, 462, 557]]",[UUID('bfae248f-f359-303a-82a1-8790fc00d3ed')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda89081610>],['12']
13,,[19],"[[148, 532, 462, 557]]",14,[20],"[[176, 320, 279, 341]]",[UUID('5cfe6492-d5cf-3be5-a5fa-7590dc3b9ebb')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9afa6b8e0>],"['13', '13']"
15,,[21],"[[140, 583, 416, 604]]",16,[21],"[[141, 821, 351, 844]]",[UUID('624dd0ec-a29c-32ac-9518-10f0b544e1a8')],"[[5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9a036a3a0>],['15']
16,,[21],"[[141, 821, 351, 844]]",17,[21],"[[140, 1224, 379, 1249]]",[UUID('28517e5e-4492-3827-89f8-7cc5d3c9ed4b')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9a036a0a0>],"['16', '16']"
18,,[22],"[[139, 336, 279, 361]]",19,[22],"[[141, 894, 315, 915]]",[UUID('839e5349-aee7-3199-9748-49031a604937')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda89081eb0>],"['18', '18', '18']"
4,,[17],"[[154, 312, 262, 333]]",5,[17],"[[154, 507, 307, 534]]",[UUID('f11b8151-afe0-3897-8819-d3642056b12a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae6432b0>],['4']
5,,[17],"[[154, 507, 307, 534]]",6,[17],"[[154, 677, 489, 703]]",[UUID('f11b8151-afe0-3897-8819-d3642056b12a')],"[[6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae6432b0>],['5']
6,,[17],"[[154, 677, 489, 703]]",7,[17],"[[154, 923, 411, 953]]",[UUID('f11b8151-afe0-3897-8819-d3642056b12a')],"[[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae6432b0>],['6']
7,,[17],"[[154, 923, 411, 953]]",8,[18],"[[154, 310, 386, 331]]",[UUID('f11b8151-afe0-3897-8819-d3642056b12a')],"[[20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae6432b0>],['7']
9,,[18],"[[154, 608, 507, 634]]",10,[18],"[[146, 943, 422, 966]]",[UUID('cb1a44c0-9de8-38a9-9e0a-75e8ea5cb1b9')],"[[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae8a09a0>],"['9', '9']"
24,,[25],"[[139, 409, 685, 435]]",25,[25],"[[140, 1079, 365, 1106]]",[UUID('ea23fa34-235d-3bf4-9567-2c165e0898a0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af939580>],['24']
