note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[24],"[[98, 194, 412, 218]]",9,[24],"[[98, 444, 425, 467]]",[UUID('2c720bf8-adad-3e90-917d-a6af4f39dc0d')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7432ab8e0>],"['8', '8', '8']"
9,,[24],"[[98, 444, 425, 467]]",10,[24],"[[98, 715, 266, 742]]",[UUID('c8bbda48-9379-3969-9b84-941457c095ff')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7432ab4c0>],['9']
17,,[28],"[[98, 192, 391, 218]]",18,[29],"[[98, 192, 687, 220]]","[UUID('85567890-f0b0-3cfd-b145-de65b036335f'), UUID('578f1c7b-33e6-3178-a310-236f935bf895')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<UAT_app.database.db_models.TableLogs object at 0x7efbe1d08880>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1d08340>]","['17', '17', '17']"
10,,[24],"[[98, 715, 266, 742]]",11,[25],"[[97, 193, 452, 219]]",[UUID('4d2f6a7a-047b-3170-9545-6103c6e70df3')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef745adb100>],['10']
11,,[25],"[[97, 193, 452, 219]]",12,[26],"[[98, 192, 320, 220]]",[UUID('2b21e116-7bb9-34b7-af77-7801098df2f4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fa6d36d0>],"['11', '11']"
12,,[26],"[[98, 192, 320, 220]]",13,[26],"[[99, 661, 279, 682]]",[UUID('8919bcb6-dc1b-341e-a985-d9b43eeaa6d1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744aa9040>],"['12', '12']"
13,,[26],"[[99, 661, 279, 682]]",14,[26],"[[99, 809, 401, 835]]",[UUID('8919bcb6-dc1b-341e-a985-d9b43eeaa6d1')],"[[16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744aa9040>],['13']
14,,[26],"[[99, 809, 401, 835]]",15,[27],"[[98, 192, 372, 218]]",[UUID('8919bcb6-dc1b-341e-a985-d9b43eeaa6d1')],"[[21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744aa9040>],['14']
15,,[27],"[[98, 192, 372, 218]]",16,[27],"[[99, 878, 335, 903]]","[UUID('63d17dcd-8c72-326d-952b-8dc97519bdae'), UUID('68c5b277-bea9-3bab-8e47-1339ed315b3e')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef740caa730>, <UAT_app.database.db_models.TableLogs object at 0x7ef740caa7f0>]","['15', '15']"
16,,[27],"[[99, 878, 335, 903]]",17,[28],"[[98, 192, 391, 218]]",[UUID('68c5b277-bea9-3bab-8e47-1339ed315b3e')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740caa7f0>],"['16', '16']"
4,,[22],"[[96, 194, 240, 217]]",5,[23],"[[98, 194, 413, 218]]","[UUID('8a98096a-7d57-354c-bb5c-dda6d2b322c4'), UUID('704e1e0f-0ea8-3603-a15e-6e2e392febc3'), UUID('0d2c2729-366c-36c6-a984-27d509d21521')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744e8f760>, <UAT_app.database.db_models.TableLogs object at 0x7ef7f9e89b50>, <UAT_app.database.db_models.TableLogs object at 0x7ef7f9e89df0>]",['4']
5,,[23],"[[98, 194, 413, 218]]",6,[23],"[[98, 403, 480, 427]]",[UUID('61d02f30-1f3b-3434-be81-bb54c5de2088')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe1d08d00>],['5']
6,,[23],"[[98, 403, 480, 427]]",7,[23],"[[98, 799, 349, 824]]",[UUID('61d02f30-1f3b-3434-be81-bb54c5de2088')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe1d08d00>],"['6', '6', '6', '6']"
7,,[23],"[[98, 799, 349, 824]]",8,[24],"[[98, 194, 412, 218]]",[UUID('61d02f30-1f3b-3434-be81-bb54c5de2088')],"[[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe1d08d00>],['7']
