note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[15],"[[77, 914, 406, 939]]",8,[16],"[[76, 197, 253, 220]]",[UUID('b96baad8-b306-3c74-a1d3-3d25cb3ad975')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d084efbe0>],['7']
10,,[17],"[[73, 195, 435, 222]]",11,[18],"[[76, 622, 338, 645]]","[UUID('56048e0b-a043-3671-acba-f59e692bf1cf'), UUID('102a20c6-d50a-304f-b44f-d33252056124'), UUID('d0eb948f-b05d-3133-bff8-2027646ed2af')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d49f413a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45d4af40>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45d4a820>]","['10', '10', '10']"
11,,[18],"[[76, 622, 338, 645]]",12,[19],"[[74, 195, 314, 222]]",[UUID('810b3ba3-86b5-341d-8fbf-8eaa7865d15d')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d4a850>],['11']
5,,[14],"[[76, 200, 182, 223]]",6,[15],"[[75, 554, 396, 579]]",[UUID('801d44a0-46eb-3834-9408-59d8cc46f560')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d476f5910>],"['5', '5']"
14,,[20],"[[75, 199, 329, 223]]",15,[20],"[[76, 854, 259, 877]]",[UUID('6f885a30-4531-312d-be3f-fead4cd7fea4')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47727580>],['14']
16,,[21],"[[75, 199, 325, 220]]",17,[21],"[[76, 495, 266, 518]]",[UUID('720f6509-1196-302f-897f-9cadfdbe57de')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d084ff370>],['16']
18,,[21],"[[77, 988, 302, 1010]]",19,[22],"[[76, 577, 286, 598]]",[UUID('f214b5f6-8304-3ae9-9749-e983c0953c19')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d473d3970>],"['18', '18']"
19,,[22],"[[76, 577, 286, 598]]",20,[22],"[[80, 1028, 254, 1048]]",[UUID('6441cb55-d229-360d-a841-de0ee4e5cf6a')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46119c70>],"['19', '19']"
4,,[13],"[[76, 645, 239, 669]]",5,[14],"[[76, 200, 182, 223]]",[UUID('6da27dd1-58cd-3507-98b8-255995e48d15')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d42e722e0>],"['4', '4']"
6,,[15],"[[75, 554, 396, 579]]",7,[15],"[[77, 914, 406, 939]]",[UUID('6d5c4b6c-fceb-36a4-a1e4-91a12ee52662')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46119fd0>],['6']
