note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[23],"[[177, 743, 528, 771]]",8,[24],"[[177, 1113, 336, 1138]]","[UUID('6002ebd3-425c-3f4d-9516-6bcbec177d8b'), UUID('9e365ea1-3342-3d67-b1e9-9f21344c1cf4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb332d3cd30>, <UAT_app.database.db_models.TableLogs object at 0x7fb332dcb550>]",['7']
7,a,[24],"[[180, 312, 388, 340]]",7b,[25],"[[981, 1613, 1010, 1639]]","[UUID('9e365ea1-3342-3d67-b1e9-9f21344c1cf4'), UUID('ba39ded5-8453-39b0-b9e1-4d57519c5f3b'), UUID('9a81c17b-40b5-37b2-b1da-54632b999885'), UUID('a40bf735-7fa0-31e6-934f-b316e17ff2c1'), UUID('7cb80f98-71c4-384d-92b1-7155232d97f9')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb332dcb550>, <UAT_app.database.db_models.TableLogs object at 0x7fb332dcb520>, <UAT_app.database.db_models.TableLogs object at 0x7fb332deb970>, <UAT_app.database.db_models.TableLogs object at 0x7fb332debe20>, <UAT_app.database.db_models.TableLogs object at 0x7fb332deb580>]",['7a']
6,,[22],"[[180, 343, 336, 370]]",7,[23],"[[177, 743, 528, 771]]","[UUID('58738926-89aa-3652-9f1b-fd0e573d671b'), UUID('b90122de-f534-3b69-9082-6f71660c29e7'), UUID('81739efe-46f9-3a06-a9e4-2a4efd0d5d58')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb332d9dd90>, <UAT_app.database.db_models.TableLogs object at 0x7fb332d9df40>, <UAT_app.database.db_models.TableLogs object at 0x7fb332dcb7f0>]","['6', '6']"
20,,[31],"[[180, 527, 316, 554]]",21,[31],"[[177, 1323, 699, 1351]]",[UUID('26fdae7b-7d16-33e9-9818-54522d8bb4af')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb3330693d0>],['20']
8,,[24],"[[177, 1113, 336, 1138]]",9,[25],"[[181, 319, 501, 343]]","[UUID('ba39ded5-8453-39b0-b9e1-4d57519c5f3b'), UUID('7cb80f98-71c4-384d-92b1-7155232d97f9')]","[[0, 1, 2], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb332dcb520>, <UAT_app.database.db_models.TableLogs object at 0x7fb332deb580>]",['8']
9,,[25],"[[181, 319, 501, 343]]",10,[25],"[[180, 672, 415, 702]]",[UUID('a40bf735-7fa0-31e6-934f-b316e17ff2c1')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb332debe20>],['9']
19,,[31],"[[181, 317, 575, 345]]",20,[31],"[[180, 527, 316, 554]]",[UUID('64891a17-cffe-389a-be7d-9ade310772a3')],"[[2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb3138f0730>],['19']
11,,[25],"[[177, 1022, 541, 1049]]",12,[26],"[[180, 319, 376, 348]]","[UUID('9a81c17b-40b5-37b2-b1da-54632b999885'), UUID('62889518-c825-366d-8c87-f723a7a44301')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb332deb970>, <UAT_app.database.db_models.TableLogs object at 0x7fb3138f0df0>]","['11', '11']"
13,,[26],"[[180, 537, 478, 565]]",14,[27],"[[181, 289, 327, 317]]",[UUID('a0fe6d84-88a6-37ed-adf3-1388de9afba2')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb3138f0520>],"['13', '13']"
12,,[26],"[[180, 319, 376, 348]]",13,[26],"[[180, 537, 478, 565]]",[UUID('62889518-c825-366d-8c87-f723a7a44301')],"[[2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb3138f0df0>],['12']
