note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
5,,[16],"[[126, 250, 392, 274]]",6,[16],"[[126, 368, 405, 389]]",[UUID('75e91e8a-8cd1-3064-b963-984cfd3a6d7f')],"[[2, 3, 4]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc500670e20>],"['5', '5']"
6,,[16],"[[126, 368, 405, 389]]",7,[16],"[[125, 990, 146, 1011]]",[UUID('75e91e8a-8cd1-3064-b963-984cfd3a6d7f')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc500670e20>],['6']
17,,[21],"[[122, 803, 307, 824]]",18,[21],"[[123, 1166, 328, 1186]]",[UUID('ce253fc2-d5ce-3eab-858e-8f87965acd3b')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc4f667d610>],['17']
8,,[16],"[[125, 1112, 429, 1135]]",9,[17],"[[1097, 1563, 1119, 1584]]","[UUID('75e91e8a-8cd1-3064-b963-984cfd3a6d7f'), UUID('3d846c26-5132-3a45-84d4-6386f9ed08a9'), UUID('6a99a4eb-668b-3143-a2af-e721812bd7a7'), UUID('db81ba90-d8cd-3b47-935d-3ad32bf6982b')]","[[31, 32, 33, 34, 35, 36, 37, 38, 30], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1]]","[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc500670e20>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc4f667d580>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc570fadaf0>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc570fad0a0>]",['8']
15,,[20],"[[126, 1048, 355, 1074]]",16,[21],"[[122, 296, 330, 319]]","[UUID('721e73b5-5c01-3c4d-8ea3-142035f199ab'), UUID('22df6c37-82fd-3583-948c-de66b8807b28')]","[[0, 1, 2, 3, 4], [6, 7, 8, 9, 10]]","[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc4f3ae6970>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc4facc4f70>]",['15']
9,,[18],"[[126, 223, 391, 248]]",10,[18],"[[128, 389, 278, 411]]",[UUID('d884ec53-f90a-398a-bcd6-0724b515b557')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc561283250>],['9']
10,,[18],"[[128, 389, 278, 411]]",11,[18],"[[128, 926, 270, 946]]",[UUID('d884ec53-f90a-398a-bcd6-0724b515b557')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc561283250>],['10']
18,,[21],"[[123, 1166, 328, 1186]]",19,[22],"[[135, 343, 374, 370]]",[UUID('ce253fc2-d5ce-3eab-858e-8f87965acd3b')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc4f667d610>],['18']
11,,[18],"[[128, 926, 270, 946]]",12,[18],"[[181, 1189, 295, 1209]]",[UUID('b05fd390-3601-3b33-98e0-7efad69cb53a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc5005f46d0>],['11']
12,,[19],"[[118, 296, 977, 320]]",13,[19],"[[117, 931, 303, 952]]","[UUID('40a64723-3e69-3085-a79e-41471dbed563'), UUID('12b36fd8-6ef3-311c-a95a-70ab663d7984')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3]]","[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc561283ac0>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7fc561283790>]",['12']
3,,[14],"[[126, 640, 301, 663]]",4,[14],"[[126, 850, 273, 872]]",[],[],[],['3']
