note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[23],"[[130, 1025, 471, 1051]]",7,[24],"[[123, 124, 497, 149]]",[UUID('7e2f877b-4479-31f7-8ac7-e56b212b9b99')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1673a631c0>],['6']
7,,[24],"[[123, 124, 497, 149]]",8,[24],"[[117, 864, 491, 894]]","[UUID('aea6f0b5-822b-3393-891e-e581550dc555'), UUID('6ed0d541-2a3f-3617-96e1-903394d4c324'), UUID('613a0f04-8a14-36e7-a7bb-af0cb7d2b330')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1670e68490>, <UAT_app.database.db_models.TableLogs object at 0x7f1670e68a30>, <UAT_app.database.db_models.TableLogs object at 0x7f1670e68940>]","['7', '7', '7']"
8,,[24],"[[117, 864, 491, 894]]",9,[25],"[[132, 1097, 267, 1120]]","[UUID('0e062658-dda2-367f-b0fe-54bbfcc72123'), UUID('5f920e05-30b3-38cf-8d9f-224a4cf42a19')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1bbf626880>, <UAT_app.database.db_models.TableLogs object at 0x7f1bbf626df0>]","['8', '8']"
10,,[27],"[[120, 128, 351, 154]]",11,[27],"[[127, 936, 547, 964]]",[UUID('9d234cef-ca27-3312-81e7-e6fbdb8ae492')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166f94cee0>],['10']
11,,[27],"[[127, 936, 547, 964]]",12,[28],"[[124, 121, 443, 152]]",[UUID('eacb4ce2-fef6-3a11-afe9-fb9531d70571')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1673567040>],['11']
12,,[28],"[[124, 121, 443, 152]]",13,[28],"[[122, 517, 373, 544]]",[UUID('c929d166-24cd-3b3f-9809-40ff05158034')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1673a40910>],['12']
13,,[28],"[[122, 517, 373, 544]]",14,[28],"[[120, 785, 390, 811]]",[UUID('d4265aa2-8d4a-39fc-a6c4-bac53a56fc92')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1673565250>],['13']
14,,[28],"[[120, 785, 390, 811]]",15,[29],"[[122, 121, 756, 152]]",[UUID('c09988c2-03e4-3403-ad3b-b7035cf1821f')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1673a40a30>],"['14', '14']"
15,,[29],"[[122, 121, 756, 152]]",16,[29],"[[126, 614, 437, 640]]",[UUID('b178bf12-a170-3629-8525-48aef6dc0bf8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16320a7f70>],"['15', '15']"
16,,[29],"[[126, 614, 437, 640]]",17,[29],"[[131, 1033, 402, 1060]]",[UUID('0b133914-c6ed-32c6-bb62-43a91e5dc8e2')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1673a40fa0>],"['16', '16']"
4,,[22],"[[122, 465, 576, 489]]",5,[23],"[[119, 128, 379, 152]]",[UUID('cf230ef6-f7b8-3bd3-b491-e26a67cdee01')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1672b974f0>],['4']
