note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[21],"[[55, 952, 541, 978]]",10,[22],"[[55, 177, 559, 202]]",[UUID('2907c6e1-c5af-3a2c-9386-8e928a5b4856')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb689a30>],"['9', '9']"
10,,[22],"[[55, 177, 559, 202]]",11,[22],"[[55, 1276, 407, 1299]]","[UUID('337809a3-e747-3365-b7af-3e12761343fa'), UUID('2ecaa2bc-d99e-3faf-b49f-9361813860bf')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb5ffdc0>, <UAT_app.database.db_models.TableLogs object at 0x7f7bcb5ff7f0>]",['10']
11,,[22],"[[55, 1276, 407, 1299]]",12,[23],"[[55, 177, 352, 202]]",[UUID('e24b7a82-38f4-3ff3-b543-f3b4139dc216')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb6923a0>],['11']
12,,[23],"[[55, 177, 352, 202]]",13,[23],"[[54, 483, 601, 508]]",[UUID('3387dc3c-d5df-344a-9c7d-1139bed0f1fd')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb685220>],['12']
13,,[23],"[[54, 483, 601, 508]]",14,[23],"[[55, 744, 630, 771]]",[UUID('dc5f73c6-7457-3bd1-80b2-8a9296eb3fad')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb685fa0>],['13']
14,,[23],"[[55, 744, 630, 771]]",15,[24],"[[55, 646, 521, 670]]","[UUID('a5b71f98-b1e1-368e-a683-4d2530e07242'), UUID('246af9d8-17fb-38ca-8a55-9a9305ee9410')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb685280>, <UAT_app.database.db_models.TableLogs object at 0x7f7bcb692730>]","['14', '14']"
15,,[24],"[[55, 646, 521, 670]]",16,[25],"[[55, 179, 447, 203]]","[UUID('825c2d5e-c9a0-3ba0-b638-eb87f77ee600'), UUID('0b5acc8b-a47d-3895-a8fa-afbf54eac683')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7be8624310>, <UAT_app.database.db_models.TableLogs object at 0x7f7bcb692910>]",['15']
16,,[25],"[[55, 179, 447, 203]]",17,[26],"[[55, 177, 524, 202]]","[UUID('ea457c17-127a-34d7-b893-8c308f93b94b'), UUID('f442e2e6-be4b-39cc-aa76-98dc4afbee12')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb5cc760>, <UAT_app.database.db_models.TableLogs object at 0x7f7bcb5ff190>]","['16', '16']"
17,,[26],"[[55, 177, 524, 202]]",18,[26],"[[54, 789, 559, 815]]",[UUID('50050983-9b51-373b-8439-20304adcd2a5')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7be851fdc0>],['17']
18,,[26],"[[54, 789, 559, 815]]",19,[26],"[[55, 1098, 462, 1119]]",[UUID('987e9f24-b5e8-3af2-92d2-835e37df6cdc')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7bcb692850>],['18']
