note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[25],"[[129, 413, 421, 436]]",9,[25],"[[128, 776, 260, 799]]",[UUID('b5947cf0-f0d6-3af4-b9bf-70c5700e7251')],"[[4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff33df0c7f0>],['8']
9,,[25],"[[128, 776, 260, 799]]",10,[25],"[[129, 1043, 285, 1064]]",[UUID('5c125bea-0e83-385c-a94c-d28cda321b28')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff33df0c8e0>],['9']
10,,[25],"[[129, 1043, 285, 1064]]",11,[25],"[[129, 1174, 281, 1197]]",[],[],[],['10']
6,(b),[23],"[[128, 1007, 436, 1035]]",(c),[24],"[[130, 320, 281, 348]]",[UUID('f0970569-aa41-347b-980d-2084c7194d03')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff34fa3aca0>],"['6(b)', '6(b)']"
6,(c),[24],"[[130, 320, 281, 348]]",(d),[25],"[[1019, 1586, 1043, 1607]]","[UUID('7d183579-fa0e-3107-8834-e6868006a2fa'), UUID('b5947cf0-f0d6-3af4-b9bf-70c5700e7251'), UUID('5c125bea-0e83-385c-a94c-d28cda321b28'), UUID('f77b0aa8-b8b1-3b80-8c13-466fe9077478')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff3500bf550>, <UAT_app.database.db_models.TableLogs object at 0x7ff33df0c7f0>, <UAT_app.database.db_models.TableLogs object at 0x7ff33df0c8e0>, <UAT_app.database.db_models.TableLogs object at 0x7ff7d3b11040>]",['6(c)']
6,(a),"[23, 22]","[[129, 422, 433, 449], [128, 1160, 351, 1188]]",(b),[23],"[[128, 1007, 436, 1035]]",[UUID('a009d301-ae3e-3bd1-8f9a-c1e7cb98aefd')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff34e133f40>],['6(a)']
11,,[25],"[[129, 1174, 281, 1197]]",12,[26],"[[128, 381, 453, 408]]","[UUID('f77b0aa8-b8b1-3b80-8c13-466fe9077478'), UUID('24e69281-e035-334f-8103-05fcaea3f1e5')]","[[0, 1, 2, 3], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff7d3b11040>, <UAT_app.database.db_models.TableLogs object at 0x7ff34e133070>]",['11']
12,,[26],"[[128, 381, 453, 408]]",13,[27],"[[135, 279, 353, 304]]","[UUID('48efadc6-b6a4-3b2f-9ab3-df7f93cfccce'), UUID('24e69281-e035-334f-8103-05fcaea3f1e5')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff3500bfee0>, <UAT_app.database.db_models.TableLogs object at 0x7ff34e133070>]",['12']
13,,[27],"[[135, 279, 353, 304]]",14,[27],"[[131, 924, 407, 946]]","[UUID('29283296-e947-3aeb-9eda-37707672fc6a'), UUID('a66e5c22-4130-307c-afc8-f9d6246325a3')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff34fd1a250>, <UAT_app.database.db_models.TableLogs object at 0x7ff34fd1ab80>]",['13']
14,,[27],"[[131, 924, 407, 946]]",15,[28],"[[129, 440, 267, 464]]","[UUID('29283296-e947-3aeb-9eda-37707672fc6a'), UUID('4ca16704-3011-374a-85b1-f0766a23fd21')]","[[3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff34fd1a250>, <UAT_app.database.db_models.TableLogs object at 0x7ff7d3ce4880>]",['14']
