note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[18],"[[65, 1113, 379, 1139]]",10,[18],"[[65, 1304, 390, 1330]]",[UUID('95178f33-e2c8-3d0f-b1b0-d2718c88e07f')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf66dd1c0>],"['9', '9']"
10,,[18],"[[65, 1304, 390, 1330]]",11,[19],"[[65, 212, 232, 238]]",[UUID('95178f33-e2c8-3d0f-b1b0-d2718c88e07f')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf66dd1c0>],['10']
11,,[19],"[[65, 212, 232, 238]]",12,[19],"[[65, 638, 419, 664]]",[UUID('b50b722f-da43-31a2-bde2-110ed9f44203')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9e6820>],['11']
12,,[19],"[[65, 638, 419, 664]]",13,[20],"[[65, 212, 288, 238]]","[UUID('5ec4f419-c2a3-3ba0-bd53-824bcd1277b0'), UUID('80592b11-6a5a-33bb-b1de-7549ecd49171'), UUID('a1d71189-b207-358b-8b85-89ee1bc22905')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba784a550>, <UAT_app.database.db_models.TableLogs object at 0x7fdba784a580>, <UAT_app.database.db_models.TableLogs object at 0x7fde7467fa00>]","['12', '12']"
13,,[20],"[[65, 212, 288, 238]]",14,[20],"[[65, 726, 190, 753]]",[UUID('1e9f3d5a-517a-3d60-a5f3-81f6c78ef321')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d4f30a0>],"['13', '13']"
8,,[17],"[[65, 567, 316, 590]]",9,[18],"[[65, 1113, 379, 1139]]","[UUID('f2f63dfd-0369-3367-98e1-5f5534fcf40a'), UUID('f5c47fdc-2a7a-3269-bc1a-9b64a0cdbeba'), UUID('e8804ed1-b5ed-332d-a6b4-c5801ecb3381')]","[[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa2593a0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba99ba9d0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba99bad60>]","['8', '8']"
15,,[21],"[[65, 1111, 367, 1138]]",16,[22],"[[65, 212, 302, 238]]",[UUID('6aeafa58-be33-3327-ae4e-01ad2fc40a27')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa281040>],['15']
16,,[22],"[[65, 212, 302, 238]]",17,[22],"[[66, 536, 226, 559]]",[UUID('356acfb9-7bfe-3281-bcd3-757cd87cb472')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf66ddc40>],"['16', '16']"
17,,[22],"[[66, 536, 226, 559]]",18,[23],"[[65, 495, 251, 521]]","[UUID('fba88a7e-8a08-3f4e-8017-62eb35daa548'), UUID('356acfb9-7bfe-3281-bcd3-757cd87cb472')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba99bab20>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf66ddc40>]","['17', '17']"
18,,[23],"[[65, 495, 251, 521]]",19,[24],"[[65, 212, 309, 238]]","[UUID('cc0fe742-be63-39cd-b7c3-12541c0c847d'), UUID('b9e7f5a6-e643-3ba0-8395-c0e2b9d34482')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9e6280>, <UAT_app.database.db_models.TableLogs object at 0x7fdc50049a60>]",['18']
