note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[17],"[[78, 766, 541, 792]]",8,[17],"[[74, 1220, 544, 1243]]","[UUID('b60ee7df-41a3-3b12-a31e-937feb4a6497'), UUID('15e323de-a11b-3314-9395-1663dd578ff3')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9c035d460>, <UAT_app.database.db_models.TableLogs object at 0x7fd9c035d610>]","['7', '7', '7']"
8,,[17],"[[74, 1220, 544, 1243]]",9,[18],"[[83, 203, 511, 228]]",[UUID('f47c50d8-0ab6-3228-812c-d72c3d49d3f1')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9c0209c70>],['8']
9,,[18],"[[83, 203, 511, 228]]",10,[18],"[[82, 386, 454, 407]]",[UUID('4ef91a51-a4f5-3d83-8780-149a44895105')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9c0406f70>],['9']
10,,[18],"[[82, 386, 454, 407]]",11,[18],"[[80, 567, 551, 593]]",[UUID('116aa144-7e9d-3fb1-bbc0-bf99ff9d3a11')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda89071ca0>],['10']
11,,[18],"[[80, 567, 551, 593]]",12,[18],"[[78, 751, 495, 774]]",[UUID('72fe0a44-e17d-37df-9508-e944ef445c6f')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9c04061c0>],['11']
12,,[18],"[[78, 751, 495, 774]]",13,[19],"[[83, 203, 630, 230]]",[UUID('1920c13c-fc8c-3f5e-ad59-53e5850e952e')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda8917faf0>],['12']
13,,[19],"[[83, 203, 630, 230]]",14,[20],"[[83, 203, 527, 231]]","[UUID('b3096b67-4ae4-3ba3-80fc-1283c171f888'), UUID('a19e1954-d95b-33b7-a400-95559c5516e8')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda88040ca0>, <UAT_app.database.db_models.TableLogs object at 0x7fda88040070>]","['13', '13', '13']"
14,,[20],"[[83, 203, 527, 231]]",15,[20],"[[80, 564, 455, 590]]",[UUID('dd6c4cbe-291e-334d-8dc1-f81d1744334f')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda8917f6d0>],['14']
15,,[20],"[[80, 564, 455, 590]]",16,[20],"[[80, 746, 466, 772]]",[UUID('66610c1c-9874-33b8-acc2-3b567fbac299')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda89071520>],['15']
16,,[20],"[[80, 746, 466, 772]]",17,[21],"[[82, 202, 563, 230]]",[UUID('112bc884-c179-3394-be67-a1b3e16bdae6')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af736a60>],['16']
17,,[21],"[[82, 202, 563, 230]]",18,[21],"[[80, 564, 439, 588]]",[UUID('7c993c2e-9f19-3510-a963-02d2fe82e763')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda8922ddf0>],['17']
18,,[21],"[[80, 564, 439, 588]]",19,[21],"[[78, 746, 468, 767]]",[UUID('a7aeee24-ac4e-3ce6-9e47-4dcc55625dbf')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda891b0400>],['18']
19,,[21],"[[78, 746, 468, 767]]",20,[21],"[[76, 1017, 498, 1042]]",[],[],[],['19']
20,,[21],"[[76, 1017, 498, 1042]]",21,[21],"[[74, 1266, 491, 1287]]",[UUID('ff2f2337-b0a8-32bd-89ff-380b319d12a4')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda8917f850>],['20']
21,,[21],"[[74, 1266, 491, 1287]]",22,[22],"[[85, 200, 483, 225]]",[],[],[],['21']
22,,[22],"[[85, 200, 483, 225]]",23,[22],"[[83, 383, 511, 404]]",[UUID('97508e0f-c39c-3bde-8ce3-7cdcc1b03d88')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda8917f8b0>],['22']
23,,[22],"[[83, 383, 511, 404]]",24,[22],"[[79, 835, 540, 860]]",[UUID('660e0c35-32e1-3bc0-bb0a-0a03acac996a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda89054280>],['23']
24,,[22],"[[79, 835, 540, 860]]",25,[22],"[[78, 1019, 362, 1044]]",[],[],[],['24']
25,,[22],"[[78, 1019, 362, 1044]]",26,[23],"[[83, 203, 379, 230]]",[UUID('fefa94a6-9f06-3a44-a295-46e0e004fbbd')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda88fae640>],"['25', '25', '25']"
26,,[23],"[[83, 203, 379, 230]]",27,[23],"[[80, 450, 528, 481]]",[UUID('77f9a90f-5d0c-3be2-90b1-9656c9542698')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda88fae6a0>],"['26', '26']"
4,,[16],"[[82, 381, 234, 402]]",5,[16],"[[80, 629, 239, 652]]",[UUID('c09fe481-4d79-3baf-8c95-4dc73806a926')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda8917f4f0>],['4']
6,,[17],"[[82, 202, 322, 226]]",7,[17],"[[78, 766, 541, 792]]",[UUID('45029265-bfb6-3dfc-b05d-606380044047')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda89054d60>],['6']
,,[11],"[[86, 115, 669, 143]]",,[11],"[[86, 115, 669, 143]]",[],[],[],['Note']
