note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,(a),[12],"[[141, 635, 1082, 660]]",7(b),[12],"[[141, 668, 1082, 693]]",[UUID('41a8b9d0-463e-340d-9d0b-71639f5c01de')],"[[11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5fae5fd0>],['7(a)']
7,(b),[12],"[[141, 668, 1082, 693]]",7(c),[12],"[[141, 699, 1082, 725]]",[UUID('41a8b9d0-463e-340d-9d0b-71639f5c01de')],"[[12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5fae5fd0>],['7(b)']
7,(c),[12],"[[141, 699, 1082, 725]]",7(d),[12],"[[141, 731, 1082, 756]]",[UUID('41a8b9d0-463e-340d-9d0b-71639f5c01de')],"[[13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5fae5fd0>],['7(c)']
7,(d),[12],"[[141, 731, 1082, 756]]",7(e),[13],"[[1020, 1421, 1082, 1440]]","[UUID('41a8b9d0-463e-340d-9d0b-71639f5c01de'), UUID('7406bacd-2ff9-389e-b717-ffc0e350c6f5'), UUID('b81325f2-57bd-3264-8b0a-666b0296c31c'), UUID('03d34689-0f87-321f-b489-3fc6ea0f4431'), UUID('6740d1df-964b-364c-ab7e-0017685d039d')]","[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5], [0, 1, 2], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fce5fae5fd0>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95fac0>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95ff40>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95faf0>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95f820>]","['7(d)', '7(d)']"
5,,[16],"[[142, 266, 394, 289]]",6,[16],"[[142, 731, 506, 756]]",[UUID('a9d92158-ef91-3773-abca-f64d63cb16cc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9c43c5b80>],"['5', '5']"
6,,[16],"[[142, 731, 506, 756]]",7,[16],"[[141, 1070, 590, 1093]]",[UUID('b9cde0e2-c38d-3055-b261-8c20187006aa')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5f8dd760>],['6']
17,,[34],"[[141, 645, 720, 674]]",18,[35],"[[142, 266, 535, 293]]",[UUID('2051eec3-e3d0-3f58-8a46-46ba953a6a39')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9c43f1160>],['17']
8,(a),[12],"[[141, 793, 1081, 821]]",8(b),[12],"[[141, 827, 1084, 852]]",[UUID('41a8b9d0-463e-340d-9d0b-71639f5c01de')],"[[16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5fae5fd0>],['8(a)']
8,(d),[12],"[[142, 891, 1084, 917]]",8(e),[13],"[[1020, 1421, 1082, 1440]]","[UUID('41a8b9d0-463e-340d-9d0b-71639f5c01de'), UUID('7406bacd-2ff9-389e-b717-ffc0e350c6f5'), UUID('b81325f2-57bd-3264-8b0a-666b0296c31c'), UUID('03d34689-0f87-321f-b489-3fc6ea0f4431'), UUID('6740d1df-964b-364c-ab7e-0017685d039d')]","[[31, 32, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5], [0, 1, 2], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fce5fae5fd0>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95fac0>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95ff40>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95faf0>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f95f820>]","['8(d)', '8(d)', '8(d)']"
8,(d),[24],"[[141, 1019, 272, 1045]]",(e),[25],"[[1019, 1420, 1084, 1443]]","[UUID('09ea7546-b4b7-3775-99a2-350111b9923c'), UUID('b1478c24-43cb-3a79-bd16-acd98953528c'), UUID('0fa8276a-0136-3725-abe4-023c7d2c12ef')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fcb2c280f10>, <UAT_app.database.db_models.TableLogs object at 0x7fc9c9185040>, <UAT_app.database.db_models.TableLogs object at 0x7fcb2c25b310>]",[]
