note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[141, 315, 458, 342]]",7,[29],"[[140, 503, 467, 526]]",[UUID('fb29530a-c0e0-3001-a3e4-3a9ac60b378d')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f737a4e1a60>],"['6', '6']"
7,,[29],"[[140, 503, 467, 526]]",8,[29],"[[140, 698, 308, 721]]",[UUID('fb29530a-c0e0-3001-a3e4-3a9ac60b378d')],"[[5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f737a4e1a60>],['7']
8,,[29],"[[140, 698, 308, 721]]",9,[29],"[[140, 991, 357, 1014]]",[UUID('fb29530a-c0e0-3001-a3e4-3a9ac60b378d')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f737a4e1a60>],['8']
9,,[29],"[[140, 991, 357, 1014]]",10,[30],"[[140, 314, 323, 340]]",[UUID('5c7de04d-b7be-3721-84b5-7881cef127fc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73786f9730>],"['9', '9']"
11,,[30],"[[140, 624, 457, 652]]",12,[31],"[[141, 315, 491, 342]]","[UUID('41237a74-3997-379b-89da-7b6f1b6f0496'), UUID('1f613c0d-6ea4-3c98-bfd2-7e6a915d5e36'), UUID('1c878ae7-b4ec-3fe5-ba15-41ae133e8394')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7379612430>, <UAT_app.database.db_models.TableLogs object at 0x7f7379612f70>, <UAT_app.database.db_models.TableLogs object at 0x7f73795f0160>]","['11', '11']"
12,,[31],"[[141, 315, 491, 342]]",13,[31],"[[140, 1060, 269, 1087]]",[UUID('0f06e212-72a7-33a3-b36c-6c855482cddc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f737a4f6a90>],"['12', '12']"
5,,[27],"[[141, 999, 309, 1024]]",6,[28],"[[1029, 1522, 1050, 1544]]","[UUID('fdbcaf87-cbdf-3a89-ad39-8960b74e40f6'), UUID('3bc6442e-07f7-379c-8857-c93078cef887'), UUID('ede7c745-e8b1-354b-b90e-23ad2dca88a0'), UUID('1775099f-4f0e-302d-a038-05bcbccbe3d4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<UAT_app.database.db_models.TableLogs object at 0x7f737a4f6910>, <UAT_app.database.db_models.TableLogs object at 0x7f73786ea760>, <UAT_app.database.db_models.TableLogs object at 0x7f73786eafd0>, <UAT_app.database.db_models.TableLogs object at 0x7f73786ea460>]","['5', '5', '5']"
16,,[32],"[[140, 1221, 312, 1248]]",17,[33],"[[141, 693, 303, 717]]","[UUID('ba8fbf27-4a7a-322d-a4dc-afba5c202213'), UUID('a401f1a0-ddb4-370b-a9bb-7f786c9ea6cd')]","[[26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73795c7100>, <UAT_app.database.db_models.TableLogs object at 0x7f73795ab8e0>]",['16']
17,,[33],"[[141, 693, 303, 717]]",18,[33],"[[141, 1039, 381, 1068]]",[UUID('51ddf8f8-a2d2-3548-abd0-23e9876c4971')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73795ab5b0>],"['17', '17']"
15,,[32],"[[143, 919, 379, 940]]",16,[32],"[[140, 1221, 312, 1248]]",[UUID('ba8fbf27-4a7a-322d-a4dc-afba5c202213')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73795c7100>],['15']
