note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[21],"[[138, 810, 404, 835]]",8,[22],"[[186, 501, 1032, 526]]","[UUID('9d5936a0-e58d-3527-b19b-21bc643a7116'), UUID('3058aa99-6bb3-345f-8810-55e2173876b5'), UUID('31690638-a49b-361b-856e-2e1313b3443a')]","[[0, 1], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6e74d4f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf91c191f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdbaf320b80>]","['7', '7', '7', '7']"
8,,[22],"[[138, 1031, 419, 1054]]",9,[23],"[[138, 430, 277, 453]]",[UUID('97b9efef-ef04-3b79-914d-bdc1655ab748')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8155730>],['8']
9,,[23],"[[138, 430, 277, 453]]",10,[23],"[[139, 837, 282, 858]]",[UUID('2f3bcb43-a6e0-389f-b173-dc58dc16276a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8d6c160>],['9']
10,,[23],"[[139, 837, 282, 858]]",11,[24],"[[597, 1606, 622, 1628]]","[UUID('ddd8c977-888c-3fdb-a68a-040366183d6e'), UUID('2c37d6d3-89ce-366d-8b7b-dcf7ceed7c1c'), UUID('69009b9a-4abf-3b07-b726-789d2a9d1adb')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8c25ca0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8c25610>, <UAT_app.database.db_models.TableLogs object at 0x7fde18777130>]",['10']
5,,[20],"[[138, 198, 275, 222]]",6,[21],"[[138, 222, 429, 248]]","[UUID('69746dc3-0f62-3e78-84d0-8e353348e7a5'), UUID('88f8128e-ef5f-3f4e-9aeb-a6bc9bba5a1e'), UUID('97e55700-0ed5-3042-9270-42cc8ffca6e5')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf963dc4c0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf963dc1f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf963dcd30>]","['5', '5']"
11,,[25],"[[140, 198, 540, 225]]",12,[26],"[[597, 1606, 622, 1628]]","[UUID('9e82dc09-b145-3752-b9bc-bcc5ee25659d'), UUID('2e1db50b-4e83-3ea6-879c-06d2cdab5485')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8d98670>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf64f6100>]",['11']
4,a,"[30, 20, 20, 19, 18, 18, 18, 15, 15, 13, 10]","[[177, 1443, 1054, 1470], [159, 654, 1004, 680], [162, 679, 975, 703], [166, 557, 1061, 580], [160, 1156, 395, 1180], [166, 1294, 1061, 1318], [188, 1550, 1060, 1575], [179, 707, 1017, 733], [176, 1455, 1075, 1480], [176, 1190, 942, 1215], [179, 1305, 1060, 1332]]",b,[10],"[[177, 1052, 982, 1078]]",[],[],[],['4a']
4,b,"[19, 18, 16, 16]","[[187, 416, 340, 440], [160, 1353, 521, 1376], [177, 1017, 1075, 1045], [177, 1202, 875, 1228]]",c,[16],"[[177, 198, 1044, 225]]",[],[],[],['4b']
4,d,"[31, 19, 19, 11]","[[177, 751, 400, 777], [160, 365, 345, 389], [187, 416, 340, 440], [182, 1281, 710, 1307]]",e,[11],"[[143, 97, 666, 134]]",[],[],[],['4d']
4,c,"[27, 26, 26, 20, 20, 19, 18, 11, 11, 11]","[[167, 1230, 1043, 1256], [167, 598, 1011, 621], [167, 1021, 1014, 1044], [167, 562, 415, 583], [177, 851, 1050, 873], [188, 268, 1060, 292], [160, 1504, 316, 1529], [183, 615, 1068, 641], [182, 935, 1049, 962], [182, 1281, 710, 1307]]",d,[11],"[[183, 268, 1065, 294]]",[],[],[],['4c']
4,e,"[27, 26, 26, 23, 20, 19, 19, 18, 18, 16, 15, 14, 11, 11]","[[167, 1230, 1043, 1256], [167, 598, 1011, 621], [167, 1021, 1014, 1044], [179, 766, 1037, 794], [177, 851, 1050, 873], [160, 506, 325, 529], [189, 527, 1063, 554], [189, 1527, 1059, 1552], [188, 1550, 1060, 1575], [177, 1202, 875, 1228], [176, 1455, 1075, 1480], [179, 1253, 817, 1277], [183, 638, 1029, 664], [182, 1281, 710, 1307]]",f,[11],"[[138, 161, 440, 192]]",[],[],[],['4e']
