note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[34],"[[111, 906, 196, 930]]",8,[35],"[[110, 282, 438, 310]]",[UUID('a5c2c2f0-505b-36a2-a59a-b9ce6d3c1c06')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742c46c40>],"['7', '7']"
8,,[35],"[[110, 282, 438, 310]]",9,[35],"[[110, 838, 260, 866]]",[UUID('ebbb88b9-894c-3a82-9b83-112d2c5b3edc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef741839d90>],['8']
9,,[35],"[[110, 838, 260, 866]]",10,[36],"[[110, 285, 485, 313]]",[UUID('02aed6ac-4b1f-32c9-8198-5be0ab62618c')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740cecf70>],['9']
16,,[38],"[[111, 934, 504, 958]]",17,[39],"[[1048, 1560, 1079, 1586]]","[UUID('73995dcc-4083-3146-a024-3ec5dc95cfa8'), UUID('e26dc968-3d27-394b-a296-383094e5c574')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74577b670>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c4b2fc40>]","['16', '16']"
10,,[36],"[[110, 285, 485, 313]]",11,[37],"[[111, 284, 283, 310]]",[UUID('f3e95dbb-6e27-32bf-812b-d37cd7bfb737')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef741839400>],['10']
11,,[37],"[[111, 284, 283, 310]]",12,[37],"[[111, 496, 334, 522]]",[UUID('62f0b14c-042f-37b6-98eb-b8f1a4ed7f43')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740291d00>],['11']
12,,[37],"[[111, 496, 334, 522]]",13,[37],"[[111, 1070, 423, 1096]]",[UUID('7ba7dc99-3e79-33d7-8a25-40daf7247bd8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7402916d0>],['12']
6,,[33],"[[110, 282, 354, 312]]",7,[34],"[[111, 906, 196, 930]]","[UUID('e5474ae8-10bd-35a5-8fe7-86463f4336c0'), UUID('9b6fd6d9-908a-3924-b521-129cd3bdb1b4'), UUID('1f0a0b95-d728-3393-9274-dc904de3a16b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7407e6ee0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7439625b0>, <UAT_app.database.db_models.TableLogs object at 0x7ef740cd6cd0>]","['6', '6']"
13,,[37],"[[111, 1070, 423, 1096]]",14,[38],"[[111, 284, 441, 312]]",[UUID('737757eb-1477-3c33-9e3b-eadc5b0a9386')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7402919d0>],['13']
14,,[38],"[[111, 284, 441, 312]]",15,[38],"[[111, 690, 268, 715]]",[UUID('371f2abf-fcfb-3a4e-aaf1-9979d6237ee3')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706240310>],"['14', '14']"
15,,[38],"[[111, 690, 268, 715]]",16,[38],"[[111, 934, 504, 958]]",[UUID('f3801e18-a1c9-3979-a733-910de5d4ae1a')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744e8c0a0>],['15']
19,,[42],"[[111, 1042, 300, 1070]]",20,[43],"[[111, 284, 239, 309]]",[UUID('0d065c23-685f-3f9f-9900-dbdedfbe6c6e')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5862430>],['19']
20,,[43],"[[111, 284, 239, 309]]",21,[44],"[[111, 284, 426, 312]]","[UUID('1c582ae9-3711-31b8-8a42-42141c8f266a'), UUID('04ca065b-70d8-3bef-b531-f46f46d533aa')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7efbfd724760>, <UAT_app.database.db_models.TableLogs object at 0x7ef7fbb8ae20>]",['20']
