note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
18,,[25],"[[145, 493, 375, 516]]",19,[25],"[[141, 636, 314, 657]]",[UUID('c399e1c0-2d03-3932-900d-65bde2353b61')],"[[7, 8, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef72df8be80>],['18']
6,,[21],"[[132, 1042, 433, 1068]]",7,[21],"[[129, 1210, 273, 1233]]",[UUID('02a77af8-b164-3cb2-b90a-9f88134a3a41')],"[[21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef72df8bc40>],['6']
7,,[21],"[[129, 1210, 273, 1233]]",8,[21],"[[126, 1397, 290, 1420]]",[UUID('02a77af8-b164-3cb2-b90a-9f88134a3a41')],"[[27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef72df8bc40>],['7']
8,,[21],"[[126, 1397, 290, 1420]]",9,[22],"[[588, 1577, 604, 1593]]","[UUID('02a77af8-b164-3cb2-b90a-9f88134a3a41'), UUID('65a95360-e600-39b8-b6bc-e5643db7b681')]","[[31, 32, 33], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef72df8bc40>, <UAT_app.database.db_models.TableLogs object at 0x7ef7430dcd30>]",['8']
20,,[25],"[[134, 888, 339, 911]]",21,[25],"[[131, 1054, 366, 1080]]",[UUID('c399e1c0-2d03-3932-900d-65bde2353b61')],"[[16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef72df8be80>],['20']
10,,[23],"[[148, 245, 403, 271]]",11,[23],"[[144, 483, 276, 504]]",[UUID('459c2873-5475-302e-b71d-ce3cdbc5525a')],"[[1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ad31c0>],['10']
5,2,[20],"[[173, 892, 507, 917]]",5.3,[21],"[[189, 253, 423, 277]]",[UUID('277b4427-1bb0-3b0d-9c71-1fec6f098bcc')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ad3310>],['5.2']
5,1,[19],"[[174, 917, 1075, 948]]",5.2,[20],"[[173, 892, 507, 917]]","[UUID('e5b9c3b8-fedf-302a-a984-e9d3af14c62e'), UUID('3cbe66a7-eef0-3720-a590-02368c4b30ea')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744ad3280>, <UAT_app.database.db_models.TableLogs object at 0x7ef744ad3b80>]",['5.1']
11,,[23],"[[144, 483, 276, 504]]",12,[23],"[[138, 684, 301, 708]]",[UUID('459c2873-5475-302e-b71d-ce3cdbc5525a')],"[[7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ad31c0>],"['11', '11']"
19,,[25],"[[141, 636, 314, 657]]",20,[25],"[[134, 888, 339, 911]]",[UUID('c399e1c0-2d03-3932-900d-65bde2353b61')],"[[9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef72df8be80>],"['19', '19']"
12,,[23],"[[138, 684, 301, 708]]",13,[23],"[[133, 919, 260, 940]]",[UUID('459c2873-5475-302e-b71d-ce3cdbc5525a')],"[[12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ad31c0>],['12']
2,,[19],"[[150, 246, 270, 269]]",3,[19],"[[145, 434, 309, 458]]",[],[],[],['2']
3,,[19],"[[145, 434, 309, 458]]",4,[19],"[[140, 623, 343, 652]]",[UUID('c34c263a-e096-3dad-9f7e-07586916560a')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ad3370>],"['3', '3']"
