note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[28],"[[148, 960, 479, 986]]",7,[29],"[[147, 328, 461, 353]]",[UUID('da471ab6-c49b-376c-beb9-21a05f4e4188')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74245f220>],"['6', '6']"
7,,[29],"[[147, 328, 461, 353]]",8,[30],"[[148, 328, 309, 351]]","[UUID('bc4314a3-6ca0-3413-aab2-92dd5baa19dd'), UUID('a5acc754-90d4-3fc2-87fc-6fa8d619d68b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7411230d0>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1d0e4c0>]","['7', '7']"
8,,[30],"[[148, 328, 309, 351]]",9,[30],"[[148, 603, 323, 626]]",[UUID('cee48110-6cd6-3b99-9a94-c387cf09a4e0')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74245f700>],['8']
9,,[30],"[[148, 603, 323, 626]]",10,[31],"[[264, 1471, 339, 1501]]","[UUID('57ed6074-710d-30f8-ae00-a2867d51d032'), UUID('1f33adaf-a9ed-3ead-8263-5f721704576b')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7407c6e20>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1d0e1f0>]",['9']
11,,[32],"[[148, 330, 362, 355]]",12,[32],"[[150, 823, 439, 850]]",[UUID('65e18545-6c7f-3457-a4e2-abc0662e98be')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74318b370>],['11']
5,,[27],"[[146, 330, 308, 355]]",6,[28],"[[148, 960, 479, 986]]","[UUID('2ac33359-0cbc-3469-ac84-9b9d8db997e1'), UUID('96414783-70b3-35d3-ac15-e4f8012bfeec'), UUID('6c560289-723f-3e3e-85a2-cd0c9d792516')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7efadc5bc220>, <UAT_app.database.db_models.TableLogs object at 0x7efadc5bcf70>, <UAT_app.database.db_models.TableLogs object at 0x7ef7459e7760>]","['5', '5']"
12,,[32],"[[150, 823, 439, 850]]",13,[33],"[[148, 328, 308, 355]]",[UUID('65e18545-6c7f-3457-a4e2-abc0662e98be')],"[[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74318b370>],['12']
13,,[33],"[[148, 328, 308, 355]]",14,[33],"[[150, 797, 454, 823]]","[UUID('7d492eb2-e360-3169-83fa-47dee7ab89cf'), UUID('e33e7186-76bb-35a1-a887-73e283b8e659')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef6c51e6a00>, <UAT_app.database.db_models.TableLogs object at 0x7ef7406b54f0>]",['13']
14,,[33],"[[150, 797, 454, 823]]",15,[34],"[[146, 328, 554, 356]]",[UUID('288d74fe-e12d-38ad-b370-e42bc1312c82')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c51e6a60>],"['14', '14']"
15,,[34],"[[146, 328, 554, 356]]",16,[35],"[[145, 327, 269, 353]]","[UUID('424450b4-52d6-3676-9d11-09d7ac425510'), UUID('57e3dff2-f688-3721-a045-5336e8c0899e')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef741123730>, <UAT_app.database.db_models.TableLogs object at 0x7ef742409370>]","['15', '15']"
17,,[35],"[[147, 1195, 375, 1223]]",18,[36],"[[150, 491, 325, 516]]",[UUID('426eb20a-6dc8-39ad-a9ea-c22a4fab16ff')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7406ec310>],['17']
