note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
11,,[21],"[[127, 144, 374, 167]]",12,[21],"[[127, 415, 1015, 455]]",[UUID('5861082e-d3b6-3dff-a570-2d1ba4fd2e45')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0873d23c70>],"['11', '11']"
12,,[21],"[[127, 415, 1015, 455]]",13,[21],"[[129, 659, 1015, 696]]",[UUID('5861082e-d3b6-3dff-a570-2d1ba4fd2e45')],"[[3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0873d23c70>],['12']
9,,[19],"[[131, 923, 1013, 961]]",10,[20],"[[130, 177, 526, 198]]","[UUID('6e57718b-c875-3e79-ad24-e27cae1c513e'), UUID('2ffbe8f6-dca3-3119-a008-7098a8d12c3f')]","[[10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0873ccd250>, <UAT_app.database.db_models.TableLogs object at 0x7f0873ccd0a0>]","['9', '9']"
13,,[21],"[[129, 659, 1015, 696]]",14,[21],"[[130, 839, 1016, 877]]",[UUID('a31fe82e-5a8d-39bc-9db7-c4d3e08544db')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0873d3d610>],['13']
14,,[21],"[[130, 839, 1016, 877]]",15,[22],"[[129, 177, 401, 198]]",[UUID('0d6223c0-c86c-35c3-98d2-bd5f0589d7cb')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0873d3df10>],['14']
15,,[22],"[[129, 177, 401, 198]]",16,[23],"[[131, 149, 486, 174]]","[UUID('74edeae2-2656-34b6-9a0b-8447cae842e0'), UUID('6bbd993d-6d1f-3772-8485-e6ede2ab7293')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0873d3d2b0>, <UAT_app.database.db_models.TableLogs object at 0x7f0873d3d640>]","['15', '15']"
16,,[23],"[[131, 149, 486, 174]]",17,[23],"[[133, 994, 1007, 1030]]","[UUID('03eceb5c-93d5-30a3-a23b-ae70df8a7f8a'), UUID('fae8813b-25fa-3894-8089-0a324433aed7')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0873d2c2e0>, <UAT_app.database.db_models.TableLogs object at 0x7f0873d2c880>]",['16']
17,,[23],"[[133, 994, 1007, 1030]]",18,[23],"[[134, 1188, 443, 1209]]",[UUID('1bc20ba6-933f-3f47-b156-cf5594a89f83')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0873d2c6a0>],['17']
10,,[20],"[[133, 788, 419, 808]]",11,[21],"[[127, 144, 374, 167]]","[UUID('fc536583-9849-35e9-999e-4fb7ddea08ac'), UUID('4ba9a3e6-b2b2-3e13-b5cd-fb0201a7636a')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [19, 20, 21, 22, 23, 24]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0872db5370>, <UAT_app.database.db_models.TableLogs object at 0x7f0872db5160>]","['10', '10', '10']"
10,,[20],"[[130, 177, 526, 198]]",11,[21],"[[127, 144, 374, 167]]","[UUID('fc536583-9849-35e9-999e-4fb7ddea08ac'), UUID('4ba9a3e6-b2b2-3e13-b5cd-fb0201a7636a')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0872db5370>, <UAT_app.database.db_models.TableLogs object at 0x7f0872db5160>]",[]
