note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[22],"[[94, 218, 552, 245]]",10,[22],"[[93, 488, 568, 511]]",[UUID('9ab60905-057b-38e8-8307-e684e9c5f113')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d462101c0>],"['9', '9']"
10,,[22],"[[93, 488, 568, 511]]",11,[23],"[[82, 228, 410, 249]]","[UUID('ce4b5fb9-2ff8-355e-85e1-6883b84b8dfd'), UUID('9ab60905-057b-38e8-8307-e684e9c5f113')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46210eb0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d462101c0>]",['10']
11,,[23],"[[82, 228, 410, 249]]",12,[23],"[[84, 475, 360, 496]]",[UUID('04d27f4a-d17e-3fca-9823-4e7d02fa6490')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f21a6c7e9a0>],['11']
12,,[23],"[[84, 475, 360, 496]]",13,[23],"[[87, 763, 598, 786]]",[UUID('9ba16bb6-5382-39fa-ba74-f4dceb27ee62')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49b34070>],['12']
13,,[23],"[[87, 763, 598, 786]]",14,[24],"[[90, 218, 632, 245]]",[UUID('483c1019-7342-327e-a0b7-491c648cdaf0')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49815f10>],['13']
14,,[24],"[[90, 218, 632, 245]]",15,[24],"[[84, 1149, 525, 1175]]","[UUID('6acf5323-7ae3-30ac-8334-7f262ab9ed2b'), UUID('a069cbc1-41c0-3f53-947e-26cf80dca1b3')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d48b6a0a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d48b6a460>]","['14', '14']"
15,,[24],"[[84, 1149, 525, 1175]]",16,[25],"[[86, 690, 453, 713]]","[UUID('7993692a-47e4-35bb-af94-e9e093dcecf8'), UUID('5604372c-89e9-3f22-8c98-4f5f81a33996')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d48b6ae50>, <UAT_app.database.db_models.TableLogs object at 0x7f21a6c7e820>]",['15']
16,,[25],"[[86, 690, 453, 713]]",17,[26],"[[90, 654, 532, 677]]","[UUID('1e432f04-3d90-39f4-864f-d66e8d5d1d64'), UUID('31ca6d26-5a04-3e76-b000-b55d6a9b4689')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d49815880>, <UAT_app.database.db_models.TableLogs object at 0x7f21a6c7e670>]","['16', '16']"
17,,[26],"[[90, 654, 532, 677]]",18,[26],"[[84, 1254, 561, 1279]]",[UUID('ee26a409-8f03-3a10-867a-cfae7dc48f0a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4966f520>],['17']
18,,[26],"[[84, 1254, 561, 1279]]",19,[27],"[[80, 226, 433, 249]]",[UUID('7164668b-b4ca-3095-8c2d-62a8630727ab')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49672280>],['18']
