note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[23],"[[130, 1025, 471, 1051]]",7,[24],"[[123, 124, 497, 149]]",[UUID('1583e797-1b03-3130-a051-24630981d8bc')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8d94441f0>],['6']
7,,[24],"[[123, 124, 497, 149]]",8,[24],"[[117, 864, 491, 894]]","[UUID('a532a274-04e9-3c04-8eb1-2d4fb48212b6'), UUID('b4c48058-84b8-391c-8ec6-0d1e710b6f57'), UUID('2427c974-bc0f-381c-aaf1-763cb94382e9')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8b4221400>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8b4221a90>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8b42219d0>]","['7', '7', '7']"
8,,[24],"[[117, 864, 491, 894]]",9,[25],"[[132, 1097, 267, 1120]]","[UUID('1aba6469-43a7-360c-87da-24604c014f24'), UUID('af6542a3-48ac-39d0-bdf8-11a80c7fdc15')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff843b40e50>, <CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8d61ad670>]","['8', '8']"
10,,[27],"[[120, 128, 351, 154]]",11,[27],"[[127, 936, 547, 964]]",[UUID('46ad6821-e16e-3435-8e1e-ab0c9a59bb8b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff863f08640>],['10']
11,,[27],"[[127, 936, 547, 964]]",12,[28],"[[124, 121, 443, 152]]",[UUID('f66bd3f8-d522-37db-bec5-aa6f95d89383')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8d61c4e50>],['11']
12,,[28],"[[124, 121, 443, 152]]",13,[28],"[[122, 517, 373, 544]]",[UUID('5c29bd69-e58f-3ef7-be99-8b47b11a57ac')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff83ce1b0d0>],['12']
13,,[28],"[[122, 517, 373, 544]]",14,[28],"[[120, 785, 390, 811]]",[UUID('6896a7e4-4c83-3cf3-b9a5-65774fd44915')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff843bfaaf0>],['13']
14,,[28],"[[120, 785, 390, 811]]",15,[29],"[[122, 121, 756, 152]]",[UUID('18fc721a-0372-3e6a-90f7-443f356567ee')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8b4221970>],"['14', '14']"
15,,[29],"[[122, 121, 756, 152]]",16,[29],"[[126, 614, 437, 640]]",[UUID('131f9402-60c4-3fa8-bd53-a50d11f8c2b7')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff861462d60>],"['15', '15']"
16,,[29],"[[126, 614, 437, 640]]",17,[29],"[[131, 1033, 402, 1060]]",[UUID('3e5efbc8-f1c5-3f36-88b2-e5b5f564c2a8')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff8d61c43a0>],"['16', '16']"
4,,[22],"[[122, 465, 576, 489]]",5,[23],"[[119, 128, 379, 152]]",[UUID('2c47cf0d-cc30-3fe3-9267-f66ac6851341')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app.database.db_models.TableLogs object at 0x7ff863f0dee0>],['4']
