note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[25],"[[96, 322, 1028, 348]]",10,[25],"[[97, 483, 1028, 508]]",[UUID('ac496d16-a848-38d3-9c09-242d681a9c64')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0396af0>],['9']
10,,[25],"[[97, 483, 1028, 508]]",11,[25],"[[97, 777, 1027, 800]]",[UUID('ac496d16-a848-38d3-9c09-242d681a9c64')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0396af0>],['10']
11,,[25],"[[97, 777, 1027, 800]]",12,[26],"[[190, 216, 539, 240]]",[UUID('ac496d16-a848-38d3-9c09-242d681a9c64')],"[[12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0396af0>],['11']
12,,[26],"[[190, 216, 539, 240]]",13,[27],"[[98, 322, 1028, 348]]",[UUID('b5a1174c-a6ee-3d96-8289-676b5c82e98c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0399580>],['12']
13,,[27],"[[98, 322, 1028, 348]]",14,[27],"[[97, 549, 1027, 573]]",[UUID('2fd41bf3-92ad-3a75-b4cf-75bf434f3cb4')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf03a9e20>],['13']
14,,[27],"[[97, 549, 1027, 573]]",15,[27],"[[98, 848, 1028, 871]]",[UUID('2fd41bf3-92ad-3a75-b4cf-75bf434f3cb4')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf03a9e20>],"['14', '14']"
15,,[27],"[[98, 848, 1028, 871]]",16,[28],"[[97, 320, 205, 345]]",[UUID('2fd41bf3-92ad-3a75-b4cf-75bf434f3cb4')],"[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf03a9e20>],"['15', '15']"
4,,[22],"[[96, 292, 1027, 317]]",5,[22],"[[96, 460, 1028, 485]]",[UUID('d856b550-08fd-3444-be71-25b422148498')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0399be0>],['4']
5,,[22],"[[96, 460, 1028, 485]]",6,[22],"[[96, 710, 1027, 736]]",[UUID('d856b550-08fd-3444-be71-25b422148498')],"[[4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0399be0>],['5']
6,,[22],"[[96, 710, 1027, 736]]",7,[22],"[[96, 894, 1050, 917]]",[UUID('d856b550-08fd-3444-be71-25b422148498')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0399be0>],['6']
7,,[22],"[[96, 894, 1050, 917]]",8,[23],"[[96, 319, 1027, 343]]",[UUID('d856b550-08fd-3444-be71-25b422148498')],"[[16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf0399be0>],['7']
