note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[20],"[[57, 437, 380, 462]]",10,[20],"[[62, 804, 226, 827]]",[UUID('f39c3280-05df-354b-b432-e778ee64afb4')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf9640aaf0>],['9']
10,,[20],"[[62, 804, 226, 827]]",11,[20],"[[68, 1299, 246, 1322]]",[UUID('b6657a38-e6a9-32f9-9e0f-2fa9ee1be9c1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf9640a970>],['10']
11,,[20],"[[68, 1299, 246, 1322]]",12,[21],"[[53, 210, 406, 238]]",[UUID('22a5e0f0-d580-3e5d-b987-2992718c08fa')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba84f36a0>],['11']
12,,[21],"[[53, 210, 406, 238]]",13,[21],"[[61, 850, 185, 877]]",[UUID('90cc7c55-ec99-356e-bfa4-f5c072eb9eac')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8bf1550>],['12']
14,,[23],"[[53, 212, 274, 238]]",15,[23],"[[62, 1051, 365, 1076]]",[UUID('f861d93d-5ddb-3b52-935e-be44e6ff005a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9e6bc70>],['14']
7,,[19],"[[53, 212, 242, 240]]",8,[20],"[[54, 210, 365, 235]]","[UUID('d8b42fe2-ac3e-31cc-ba24-dbd0e148d1ac'), UUID('199b71ed-15c0-3815-bdb1-0b56dc7d3a42'), UUID('a74c2226-975f-35e5-8f54-41c27c4216a1'), UUID('71d1ee11-db01-3d1e-a0dc-470e2c8bdba2')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5cdcac0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5cdc460>, <UAT_app.database.db_models.TableLogs object at 0x7fdc50212c70>, <UAT_app.database.db_models.TableLogs object at 0x7fdbaf3ca220>]","['7', '7']"
15,,[23],"[[62, 1051, 365, 1076]]",16,[24],"[[53, 204, 327, 230]]",[UUID('95219694-ba07-3986-ad98-9957fd793383')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf46140820>],['15']
16,,[24],"[[53, 204, 327, 230]]",17,[24],"[[59, 878, 217, 905]]","[UUID('89d18e75-7b52-3e59-bdc6-dbc18bbc311d'), UUID('499c27d2-967b-33fe-ac74-f42fcd675804')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6e7ab1f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf461774c0>]",['16']
17,,[24],"[[59, 878, 217, 905]]",18,[25],"[[57, 215, 293, 241]]","[UUID('543307d4-9d51-3df0-a9b2-da8d8ef19f42'), UUID('eafd4474-d3a2-3033-8d95-9a6716ed3edf'), UUID('6d7dfb16-29e3-3340-a719-3f2460a8515e')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc50028fd0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba84f3b80>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf66e3a90>]","['17', '17']"
18,,[25],"[[57, 215, 293, 241]]",19,[25],"[[59, 574, 311, 602]]",[UUID('03830786-4920-357b-868a-4b94c73e1036')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf66e3bb0>],"['18', '18']"
4,,[18],"[[54, 205, 195, 227]]",5,[18],"[[58, 610, 306, 635]]",[UUID('0fc02d8f-2b06-3a29-822a-d07094f53f85')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7648e80>],['4']
6,,[18],"[[61, 875, 284, 900]]",7,[19],"[[53, 212, 242, 240]]",[UUID('0fc02d8f-2b06-3a29-822a-d07094f53f85')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7648e80>],['6']
8,,[20],"[[54, 210, 365, 235]]",9,[20],"[[57, 437, 380, 462]]",[UUID('1ea40a89-d070-3fb3-89f6-0865b78857fa')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6624be0>],['8']
