note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
19,,[38],"[[111, 1159, 395, 1182]]",20,[39],"[[110, 187, 487, 212]]",[UUID('d0cd9e8e-6dac-3a5b-8635-08b9e60f02f6')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7409b55b0>],"['19', '19']"
10,,[32],"[[112, 698, 485, 721]]",11,[33],"[[108, 214, 675, 233]]",[UUID('31e7269f-bf1d-390a-a045-5b05af825b30')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7437f1970>],['10']
9,,[32],"[[110, 450, 319, 471]]",10,[32],"[[112, 698, 485, 721]]",[UUID('8063a8be-9612-3242-b89b-fbf8bf887d70')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7409b58b0>],['9']
11,,[33],"[[108, 214, 675, 233]]",12,[34],"[[110, 200, 297, 220]]",[UUID('c47cf091-38e5-3142-828a-f2cefc87c84e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706bf2dc0>],['11']
12,,[34],"[[110, 200, 297, 220]]",13,[35],"[[111, 212, 989, 231]]",[UUID('bc89f668-7716-3990-9e03-82ba1ae9f50a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742d39d60>],['12']
16,,[36],"[[111, 208, 989, 230]]",17,[36],"[[111, 572, 990, 593]]",[UUID('fcbdf75c-64b4-399d-b4ee-9675b3c17856')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fb227310>],"['16', '16']"
15,,[35],"[[111, 761, 989, 781]]",16,[36],"[[111, 208, 989, 230]]",[UUID('2ed23de6-1454-35ee-9913-cc7ddcc4c045')],"[[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbfd724760>],"['15', '15', '15', '15']"
14,,[35],"[[111, 518, 989, 542]]",15,[35],"[[154, 672, 1024, 692]]",[UUID('2ed23de6-1454-35ee-9913-cc7ddcc4c045')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbfd724760>],"['14', '14']"
22,,[40],"[[110, 471, 296, 491]]",23,[40],"[[111, 646, 452, 667]]",[UUID('247c14ca-9052-3934-8f9a-1f38303b93d5')],"[[5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740d89a90>],"['22', '22']"
13,,[35],"[[111, 212, 989, 231]]",14,[35],"[[111, 518, 989, 542]]",[UUID('a74908b1-8c04-38bb-9649-23d39ebb168d')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef741091160>],['13']
4,,[29],"[[110, 218, 1011, 240]]",5,[29],"[[111, 564, 1011, 588]]",[UUID('89c3b703-7c39-380c-8bec-0ae4e0ec03f4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef70637b550>],['4']
6,,[29],"[[110, 861, 1011, 883]]",7,[29],"[[111, 1078, 1010, 1100]]",[UUID('89c3b703-7c39-380c-8bec-0ae4e0ec03f4')],"[[31, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef70637b550>],['6']
