note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[28],"[[161, 346, 493, 373]]",7,[28],"[[160, 639, 475, 662]]",[UUID('875f362d-796c-3c99-90d7-dfac0bfa538c')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16717a63a0>],"['6', '6']"
7,,[28],"[[160, 639, 475, 662]]",8,[29],"[[161, 735, 323, 758]]","[UUID('f79a946a-e975-30a6-9572-971eefc8bf75'), UUID('54ebd4cd-cb45-37d1-b829-7437d43f499c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f16717a6e20>, <UAT_app.database.db_models.TableLogs object at 0x7f16325e64f0>]","['7', '7']"
8,,[29],"[[161, 735, 323, 758]]",9,[29],"[[161, 1009, 337, 1032]]",[UUID('0599e4e2-572a-3650-bf46-af45fa41b7bd')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16714a62e0>],['8']
9,,[29],"[[161, 1009, 337, 1032]]",10,[30],"[[164, 329, 503, 353]]",[UUID('c5d0e2a0-acc6-342b-9c14-bfa25120105a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16714a6cd0>],['9']
10,,[30],"[[164, 329, 503, 353]]",11,[31],"[[162, 345, 376, 370]]",[UUID('95f9b8ae-74f0-39b4-8662-a87735c42891')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f167294f0a0>],['10']
11,,[31],"[[162, 345, 376, 370]]",12,[31],"[[161, 876, 453, 904]]",[UUID('82918193-03d8-3215-a063-5148767154fb')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16703c2190>],['11']
5,,[26],"[[162, 744, 324, 769]]",6,[27],"[[166, 858, 1027, 879]]","[UUID('2a45b246-c854-3456-b041-2e57601ef22f'), UUID('831543b7-9928-3900-84c2-145474ce1a21'), UUID('ae61cb66-44e9-3b37-a5cc-d92d7ee67cb7')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1673b6c100>, <UAT_app.database.db_models.TableLogs object at 0x7f166ea80580>, <UAT_app.database.db_models.TableLogs object at 0x7f166ea807f0>]","['5', '5']"
12,,[31],"[[161, 876, 453, 904]]",13,[32],"[[161, 343, 318, 370]]",[UUID('82918193-03d8-3215-a063-5148767154fb')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16703c2190>],['12']
13,,[32],"[[161, 343, 318, 370]]",14,[32],"[[163, 718, 466, 743]]",[UUID('1165b356-1eee-314e-9fca-a6ec968d85e1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1672a8b1f0>],['13']
14,,[32],"[[163, 718, 466, 743]]",15,[32],"[[163, 953, 571, 980]]",[UUID('221329df-5b17-3a9e-816c-c2900a0fd43d')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1672a8be20>],"['14', '14']"
15,,[32],"[[163, 953, 571, 980]]",16,[33],"[[162, 976, 284, 998]]","[UUID('221329df-5b17-3a9e-816c-c2900a0fd43d'), UUID('da0b0654-ad4a-3220-8a25-d34d12f143a6')]","[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1672a8be20>, <UAT_app.database.db_models.TableLogs object at 0x7f16713d6f70>]","['15', '15']"
17,,[34],"[[160, 1253, 390, 1281]]",18,[35],"[[160, 501, 338, 529]]",[UUID('75b58881-fc8f-30dd-b467-8280ffe77913')],"[[16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670cfe5e0>],['17']
4,1,[25],"[[161, 383, 373, 404]]",4.2,[25],"[[161, 666, 350, 692]]",[UUID('2857b540-8893-376b-8d94-c00dd477947b')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166ec11670>],['4.1']
4,2,[25],"[[161, 666, 350, 692]]",4.3,[25],"[[161, 814, 344, 837]]",[UUID('2857b540-8893-376b-8d94-c00dd477947b')],"[[11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166ec11670>],['4.2']
4,3,[25],"[[161, 814, 344, 837]]",4.4,[25],"[[162, 1031, 472, 1054]]",[UUID('2857b540-8893-376b-8d94-c00dd477947b')],"[[15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166ec11670>],['4.3']
