note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[25],"[[88, 259, 1055, 296]]",9,[25],"[[87, 1134, 1131, 1177]]","[UUID('22a35968-e6b1-3d76-b84f-b0be66b09422'), UUID('057f28c6-4130-3a4e-98d9-c05f9951100d')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0f0837e880>, <UAT_app.database.db_models.TableLogs object at 0x7f0f0837e7f0>]",['8']
9,,[25],"[[87, 1134, 1131, 1177]]",10,[26],"[[91, 240, 482, 276]]",[UUID('22a35968-e6b1-3d76-b84f-b0be66b09422')],"[[1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f0837e880>],['9']
10,,[26],"[[91, 240, 482, 276]]",11,[27],"[[90, 314, 483, 348]]",[UUID('91b4cf27-3921-3d5a-af90-cbb04c8f31c4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f03506310>],['10']
11,,[27],"[[90, 314, 483, 348]]",12,[28],"[[90, 243, 276, 276]]",[UUID('015e8dba-4350-3257-8f62-f2f422f30b2b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f090b4c10>],['11']
13,,[30],"[[90, 226, 419, 263]]",14,[31],"[[91, 291, 564, 327]]",[UUID('6689ba41-dfa1-3fad-960a-0ddf21cca2c8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f035077c0>],['13']
5,,[23],"[[87, 269, 332, 304]]",6,[24],"[[87, 276, 431, 314]]","[UUID('310b9a16-3cab-37a3-b131-3dd3cea3625d'), UUID('2b307934-a737-346f-bc40-660f3ae64d91')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0f08382430>, <UAT_app.database.db_models.TableLogs object at 0x7f0f08382100>]","['5', '5']"
14,,[31],"[[91, 291, 564, 327]]",15,[31],"[[90, 842, 339, 873]]",[UUID('425a95c3-d5a9-32e5-924f-cd1b8c84a1c9')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f08408bb0>],['14']
15,,[31],"[[90, 842, 339, 873]]",16,[32],"[[91, 264, 389, 299]]",[UUID('82592ec2-a3fd-30c9-825c-85d4cb3593db')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f0353e1f0>],"['15', '15']"
16,,[32],"[[91, 264, 389, 299]]",17,[32],"[[90, 835, 448, 871]]",[UUID('3ab12eef-1a53-39fc-b790-24753052d711')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f0a363fd0>],['16']
17,,[32],"[[90, 835, 448, 871]]",18,[32],"[[89, 1152, 323, 1184]]",[UUID('62c6693c-7475-3c18-9710-0a2997648d48')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f03522bb0>],['17']
