note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[32],"[[138, 149, 422, 175]]",8,[32],"[[139, 1095, 432, 1118]]","[UUID('943639bf-bacb-3de8-9fcb-de683b7438ce'), UUID('cce57202-280f-3c87-a2ca-8242a8798905')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1672a8b0a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1672917bb0>]","['7', '7']"
8,,[32],"[[139, 1095, 432, 1118]]",9,[33],"[[139, 151, 270, 174]]",[UUID('c3aeec95-7a29-36fa-8a94-66bb521a592e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1672223dc0>],['8']
9,,[33],"[[139, 151, 270, 174]]",10,[33],"[[140, 476, 372, 498]]",[UUID('85f64295-f2bf-32d6-b25f-e7e172f4f479')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166cdc9c10>],['9']
10,,[33],"[[140, 476, 372, 498]]",11,[33],"[[139, 708, 466, 736]]",[UUID('eea30102-1e37-33cd-8492-dfe5741c5715')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670fecee0>],['10']
11,,[33],"[[139, 708, 466, 736]]",12,[34],"[[140, 151, 338, 175]]",[UUID('3e3fd11f-ef4e-356d-bec9-62bc2980551b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f167007dc40>],['11']
12,,[34],"[[140, 151, 338, 175]]",13,[35],"[[140, 151, 244, 172]]",[UUID('aa46b50e-a8b2-368b-814b-e325cdc0ec70')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f167007d040>],['12']
14,,[36],"[[139, 695, 457, 721]]",15,[37],"[[140, 151, 353, 172]]",[UUID('9d9c836c-71f7-3272-b666-56fde4d2aebb')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166e168100>],['14']
6,,[31],"[[139, 149, 272, 174]]",7,[32],"[[138, 149, 422, 175]]","[UUID('ea2926fb-2db6-378f-9a18-b0e988b3c4cb'), UUID('9f93a17e-e845-3400-a73a-74b8d9b63033'), UUID('5454191e-822f-327a-93dc-5c1afd6f7e04'), UUID('9d6d8886-f857-39a2-ae67-850154ff6e51')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1670fecaf0>, <UAT_app.database.db_models.TableLogs object at 0x7f1670fec1c0>, <UAT_app.database.db_models.TableLogs object at 0x7f1670fecc40>, <UAT_app.database.db_models.TableLogs object at 0x7f1670fecd00>]","['6', '6', '6', '6']"
16,,[38],"[[140, 151, 277, 174]]",17,[39],"[[140, 151, 238, 175]]",[UUID('ef52f4d5-a55d-3c8a-8763-8750f561b598')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1672032250>],"['16', '16']"
17,,[39],"[[140, 151, 238, 175]]",18,[39],"[[139, 746, 490, 772]]",[UUID('b407dde9-8883-3d0d-92ed-58118b30ef04')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166f68c730>],['17']
4,,[30],"[[138, 151, 248, 172]]",5,[30],"[[139, 777, 298, 800]]",[UUID('bee2495f-e938-3960-889c-8799f4a16f4e')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166e168550>],['4']
5,,[30],"[[139, 777, 298, 800]]",6,[31],"[[139, 149, 272, 174]]",[UUID('2ef26eae-88a6-38d3-8adf-d4bc3a212397')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166e168e20>],['5']
