note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[141, 315, 459, 342]]",7,[24],"[[140, 468, 426, 491]]",[],[],[],"['6', '6']"
7,,[24],"[[140, 468, 426, 491]]",8,[24],"[[140, 619, 466, 644]]",[UUID('0726f3a8-3b67-3409-bcbd-d4d338dd38a5')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e276c100>],['7']
8,,[24],"[[140, 619, 466, 644]]",9,[24],"[[140, 914, 309, 937]]",[UUID('fe7979d3-2058-305a-8405-aa397039b501')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e274b610>],['8']
9,,[24],"[[140, 914, 309, 937]]",10,[25],"[[140, 314, 323, 340]]",[UUID('792cab87-9e13-34c9-8b55-77f6a9ad0c83')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e274bc40>],['9']
10,,[25],"[[140, 314, 323, 340]]",11,[25],"[[140, 689, 491, 717]]",[UUID('b74614de-817c-3245-a1e8-d90cea712579')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e2752dc0>],"['10', '10']"
11,,[25],"[[140, 689, 491, 717]]",12,[26],"[[141, 317, 364, 342]]",[UUID('5c8fbdd3-85c3-3dee-8044-5d4b01d822aa')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e2756a90>],['11']
12,,[26],"[[141, 317, 364, 342]]",13,[26],"[[143, 786, 269, 807]]",[UUID('bff1ac30-d12c-3522-a200-8c8b37a0ac12')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e274edf0>],['12']
14,,[27],"[[140, 680, 443, 707]]",15,[27],"[[140, 939, 374, 965]]",[UUID('76cc457e-c664-30b3-8512-6deb7f10cb0e')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e2752430>],['14']
15,,[27],"[[140, 939, 374, 965]]",16,[28],"[[140, 314, 304, 340]]",[UUID('0519103c-f8c9-3e99-8321-a7b3cd8686ac')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e2752880>],['15']
16,,[28],"[[140, 314, 304, 340]]",17,[28],"[[140, 966, 523, 993]]","[UUID('014b0a97-76d3-31e9-8056-1f3ed4e62efd'), UUID('d8638b73-f0e9-3cd8-9607-df183fb5ec9b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff0cd7432b0>, <UAT_app.database.db_models.TableLogs object at 0x7ff0e2769fa0>]","['16', '16']"
17,,[28],"[[140, 966, 523, 993]]",18,[29],"[[140, 314, 314, 340]]",[UUID('f20d184e-2000-339a-8bfc-65e4d26c41e9')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e27698e0>],"['17', '17']"
18,,[29],"[[140, 314, 314, 340]]",19,[29],"[[140, 486, 469, 514]]",[UUID('b1b58bf2-bdf1-3df5-ba8d-81acc474bdd0')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e2756df0>],['18']
19,,[29],"[[140, 486, 469, 514]]",20,[29],"[[141, 869, 445, 897]]",[UUID('b1b58bf2-bdf1-3df5-ba8d-81acc474bdd0')],"[[3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff0e2756df0>],['19']
