note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
12,,[24],"[[164, 185, 371, 205]]",13,[24],"[[164, 303, 378, 321]]",[UUID('41989db7-0da1-353f-a9a2-9227047ce208')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8b804f0>],"['12', '12']"
13,,[24],"[[164, 303, 378, 321]]",14,[24],"[[164, 590, 268, 609]]",[UUID('41989db7-0da1-353f-a9a2-9227047ce208')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8b804f0>],['13']
14,,[24],"[[164, 590, 268, 609]]",15,[24],"[[164, 710, 279, 728]]",[UUID('41989db7-0da1-353f-a9a2-9227047ce208')],"[[21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8b804f0>],['14']
15,,[24],"[[164, 710, 279, 728]]",16,[24],"[[164, 929, 398, 949]]",[UUID('41989db7-0da1-353f-a9a2-9227047ce208')],"[[31, 32, 33, 34, 35, 36, 37, 38, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8b804f0>],"['15', '15']"
11,,[23],"[[164, 182, 283, 202]]",12,[24],"[[164, 185, 371, 205]]",[UUID('35b49251-259c-3c24-9518-089a8ac2c6d4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf279f0a0>],"['11', '11', '11', '11']"
16,,[24],"[[164, 929, 398, 949]]",17,[25],"[[164, 199, 309, 219]]",[UUID('41989db7-0da1-353f-a9a2-9227047ce208')],"[[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8b804f0>],['16']
17,,[25],"[[164, 199, 309, 219]]",18,[25],"[[164, 552, 370, 570]]",[UUID('3a26e5eb-6328-3ce2-99bb-8fda63bc8df8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba811c1f0>],['17']
18,,[25],"[[164, 552, 370, 570]]",19,[25],"[[164, 631, 909, 666]]",[UUID('3a26e5eb-6328-3ce2-99bb-8fda63bc8df8')],"[[18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba811c1f0>],['18']
19,,[25],"[[164, 631, 909, 666]]",20,[25],"[[164, 733, 242, 751]]",[UUID('3a26e5eb-6328-3ce2-99bb-8fda63bc8df8')],"[[22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba811c1f0>],['19']
21,,[26],"[[164, 210, 316, 230]]",22,[26],"[[164, 498, 265, 516]]",[UUID('9a867042-bf08-3906-abd1-6662b46e3232')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf444b8b0>],"['21', '21']"
22,,[26],"[[164, 498, 265, 516]]",23,[27],"[[164, 211, 331, 233]]",[UUID('c9fc6b83-4d45-3092-8092-1eefea3fe172')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf444bee0>],"['22', '22']"
7,,[22],"[[169, 611, 909, 645]]",8,[23],"[[191, 1198, 963, 1266]]","[UUID('f1da1127-851f-37db-bdac-9ead18ae6153'), UUID('71d141d5-3d4d-33c3-bf90-3351a250f02a'), UUID('35b49251-259c-3c24-9518-089a8ac2c6d4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba811ca00>, <UAT_app.database.db_models.TableLogs object at 0x7fdba811cbb0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf279f0a0>]",['7']
10,,[22],"[[164, 1143, 321, 1161]]",11,[23],"[[164, 182, 283, 202]]",[UUID('71d141d5-3d4d-33c3-bf90-3351a250f02a')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba811cbb0>],['10']
