note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[83, 555, 615, 580]]",8,[18],"[[83, 758, 498, 781]]",[UUID('83c839a7-8dbd-381c-a50c-fea9ef0be357')],"[[10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09880>],"['7', '7']"
9,,[18],"[[83, 958, 446, 981]]",10,[18],"[[84, 1073, 653, 1095]]",[UUID('83c839a7-8dbd-381c-a50c-fea9ef0be357')],"[[20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09880>],['9']
10,,[18],"[[84, 1073, 653, 1095]]",11,[18],"[[84, 1276, 511, 1297]]",[UUID('83c839a7-8dbd-381c-a50c-fea9ef0be357')],"[[22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09880>],['10']
11,,[18],"[[84, 1276, 511, 1297]]",12,[19],"[[84, 233, 709, 256]]","[UUID('83c839a7-8dbd-381c-a50c-fea9ef0be357'), UUID('01562303-3c16-36d4-b810-3ab527ecea15')]","[[27, 28], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09880>, <UAT_app.database.db_models.TableLogs object at 0x7f166e13d340>]",['11']
12,,[19],"[[84, 233, 709, 256]]",13,[20],"[[84, 233, 494, 254]]","[UUID('01562303-3c16-36d4-b810-3ab527ecea15'), UUID('d4031d12-97d6-3794-bdc0-a9932346f5a6'), UUID('f4390d16-74d7-326e-82da-04791943fa7e')]","[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f166e13d340>, <UAT_app.database.db_models.TableLogs object at 0x7f1670e09730>, <UAT_app.database.db_models.TableLogs object at 0x7f1670b79c70>]",['12']
13,,[20],"[[84, 233, 494, 254]]",14,[20],"[[84, 1169, 653, 1190]]","[UUID('d42da87a-c156-30e9-8636-2af76b6b461d'), UUID('0866ed69-60ca-3a4a-9136-55df08767298')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f16712672b0>, <UAT_app.database.db_models.TableLogs object at 0x7f18c45905b0>]",['13']
14,,[20],"[[84, 1169, 653, 1190]]",15,[20],"[[84, 1363, 544, 1384]]",[],[],[],['14']
15,,[20],"[[84, 1363, 544, 1384]]",16,[21],"[[84, 233, 622, 254]]",[UUID('c076d1ee-9c84-3fce-8224-1d75b59086eb')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09820>],['15']
16,,[21],"[[84, 233, 622, 254]]",17,[21],"[[84, 384, 567, 406]]",[UUID('c076d1ee-9c84-3fce-8224-1d75b59086eb')],"[[2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09820>],['16']
17,,[21],"[[84, 384, 567, 406]]",18,[21],"[[84, 486, 590, 509]]",[UUID('c076d1ee-9c84-3fce-8224-1d75b59086eb')],"[[7, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09820>],['17']
18,,[21],"[[84, 486, 590, 509]]",19,[21],"[[84, 657, 593, 677]]",[UUID('c076d1ee-9c84-3fce-8224-1d75b59086eb')],"[[7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09820>],['18']
19,,[21],"[[84, 657, 593, 677]]",20,[21],"[[84, 759, 616, 781]]",[UUID('c076d1ee-9c84-3fce-8224-1d75b59086eb')],"[[11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1670e09820>],['19']
