note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
12,,[24],"[[183, 258, 892, 369]]",13,[24],"[[187, 379, 893, 530]]",[UUID('394902ff-560a-3fff-98dc-aa11d78cd8ff')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7327c68370>],"['12', '12']"
11,,[23],"[[177, 266, 885, 392]]",12,[24],"[[183, 258, 892, 369]]","[UUID('b95f2c53-1ad0-3749-bcda-4c94f7fca488'), UUID('394902ff-560a-3fff-98dc-aa11d78cd8ff')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b730b250>, <UAT_app.database.db_models.TableLogs object at 0x7f7327c68370>]","['11', '11', '11', '11', '11']"
14,,[24],"[[188, 622, 277, 640]]",15,[24],"[[186, 810, 892, 961]]","[UUID('394902ff-560a-3fff-98dc-aa11d78cd8ff'), UUID('bef73c87-20b3-35f6-8c35-0c53c48ece02')]","[[19, 20, 21, 22, 23, 24, 25, 26, 27, 28], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7327c68370>, <UAT_app.database.db_models.TableLogs object at 0x7f73b20741c0>]",['14']
15,,[24],"[[186, 810, 892, 961]]",16,[24],"[[184, 1042, 893, 1109]]",[UUID('bef73c87-20b3-35f6-8c35-0c53c48ece02')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b20741c0>],"['15', '15']"
16,,[24],"[[184, 1042, 893, 1109]]",17,[25],"[[177, 276, 883, 461]]","[UUID('bef73c87-20b3-35f6-8c35-0c53c48ece02'), UUID('9679b70f-ca88-3532-af4e-9d363e984103')]","[[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b20741c0>, <UAT_app.database.db_models.TableLogs object at 0x7f73b23230d0>]",['16']
17,,[25],"[[177, 276, 883, 461]]",18,[25],"[[181, 640, 283, 659]]",[UUID('9679b70f-ca88-3532-af4e-9d363e984103')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b23230d0>],['17']
18,,[25],"[[181, 640, 283, 659]]",19,[26],"[[207, 895, 892, 1017]]","[UUID('97e7b13e-1f12-308d-824f-fa941ab09b22'), UUID('6c4c676f-2535-37a0-97b0-e1052acf9905'), UUID('60a69a06-8dec-39b1-89da-76a68bb70d05'), UUID('8ee95891-9f56-36f9-ace9-b92f9ff90bf1'), UUID('33aeb92a-c0a2-35d0-8f24-46ea10b7dce1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b2323880>, <UAT_app.database.db_models.TableLogs object at 0x7f73b2323220>, <UAT_app.database.db_models.TableLogs object at 0x7f73b3b4b250>, <UAT_app.database.db_models.TableLogs object at 0x7f73b3b4bc40>, <UAT_app.database.db_models.TableLogs object at 0x7f73b3b4beb0>]",['18']
21,,[26],"[[184, 274, 478, 313]]",22,[26],"[[187, 481, 321, 501]]",[UUID('8ee95891-9f56-36f9-ace9-b92f9ff90bf1')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3b4bc40>],['21']
22,,[26],"[[187, 481, 321, 501]]",23,[26],"[[186, 728, 276, 747]]",[UUID('33aeb92a-c0a2-35d0-8f24-46ea10b7dce1')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3b4beb0>],"['22', '22']"
23,,[26],"[[186, 728, 276, 747]]",24,[27],"[[181, 312, 325, 331]]",[UUID('60a69a06-8dec-39b1-89da-76a68bb70d05')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3b4b250>],"['23', '23']"
10,,[22],"[[177, 1204, 319, 1226]]",11,[23],"[[177, 266, 885, 392]]","[UUID('2059781a-49cf-30e0-ad01-ee1045270b17'), UUID('b95f2c53-1ad0-3749-bcda-4c94f7fca488')]","[[32, 33, 34, 35, 36], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b2056130>, <UAT_app.database.db_models.TableLogs object at 0x7f73b730b250>]",['10']
,,[22],"[[204, 719, 288, 737]]",,[22],"[[180, 216, 936, 254]]",[],[],[],['(285)']
