note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
3,,[15],"[[141, 809, 461, 835]]",4,[15],"[[141, 1119, 296, 1141]]",[UUID('9c59d59c-1899-30a7-ac58-27ded9a1c294')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7efadc5dbca0>],"['3', '3']"
7,(a),"[17, 16]","[[141, 303, 521, 329], [141, 1109, 418, 1133]]",(b),[17],"[[141, 594, 326, 618]]",[UUID('288dfccd-be57-3864-91bb-12f755aa13cd')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe6563400>],['7(a)']
7,(b),"[19, 18, 17]","[[141, 304, 427, 329], [141, 304, 429, 329], [141, 594, 326, 618]]",(c),[20],"[[141, 303, 395, 329]]",[],[],[],['7(b)']
7,(c),[20],"[[141, 303, 395, 329]]",(d),[20],"[[141, 618, 279, 645]]",[UUID('5b0695d6-70d9-3c9e-b78d-8831914539a5')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c4b3c160>],['7(c)']
7,(d),"[21, 20]","[[141, 303, 382, 329], [141, 618, 279, 645]]",(e),[22],"[[1378, 1061, 1444, 1080]]",[UUID('63133118-9955-3955-b1f4-642fa4eed801')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7402b2bb0>],"['7(d)', '7(d)']"
7,(d),[20],"[[141, 618, 279, 645]]",(e),[21],"[[1019, 1420, 1084, 1443]]",[UUID('d80905bf-5650-337d-880c-6840249c80ec')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7435cf250>],[]
4,,[15],"[[141, 1119, 296, 1141]]",5,[16],"[[142, 266, 394, 289]]",[UUID('d2654376-9a51-310e-b606-cbc0fc618d33')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706211700>],['4']
5,,[16],"[[142, 266, 394, 289]]",6,[16],"[[142, 731, 506, 756]]",[UUID('a9d92158-ef91-3773-abca-f64d63cb16cc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744cc83a0>],"['5', '5']"
6,,[16],"[[142, 731, 506, 756]]",7,[16],"[[141, 1070, 590, 1093]]",[UUID('b9cde0e2-c38d-3055-b261-8c20187006aa')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7410c34f0>],['6']
17,,[34],"[[141, 645, 720, 674]]",18,[35],"[[142, 266, 535, 293]]",[UUID('2051eec3-e3d0-3f58-8a46-46ba953a6a39')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fb1df700>],['17']
