note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[14],"[[111, 1014, 421, 1039]]",11,[14],"[[111, 1236, 429, 1261]]",[UUID('5071c6b0-501f-3065-8791-d38f430f269e')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550bf8790>],"['10', '10']"
11,,[14],"[[111, 1236, 429, 1261]]",12,[15],"[[111, 213, 286, 235]]",[UUID('de67e660-354b-3bee-b56c-4562032bb9cb')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc548b2acd0>],['11']
12,,[15],"[[111, 213, 286, 235]]",13,[15],"[[111, 516, 451, 544]]",[UUID('0de8588e-d1e8-3460-b3c0-ce2d185a7d9a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c4e2b0>],['12']
13,,[15],"[[111, 516, 451, 544]]",14,[16],"[[111, 213, 251, 235]]",[UUID('8be1c04b-0507-3a6a-b7cc-a0802c5dca57')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc548b2aac0>],['13']
15,,[17],"[[110, 212, 336, 238]]",16,[17],"[[111, 1029, 476, 1054]]",[UUID('b37b31eb-70f4-31b0-b7c5-28e1cb29b9d5')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc558bad040>],['15']
17,,[18],"[[110, 350, 378, 374]]",18,[18],"[[111, 1032, 409, 1059]]",[UUID('277223aa-8b19-3247-a0a1-6c7578a91797')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc558d109a0>],['17']
18,,[18],"[[111, 1032, 409, 1059]]",19,[19],"[[110, 212, 382, 238]]",[UUID('7f61efff-9484-38f3-9150-f9ba93de5917')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc558d10f10>],['18']
19,,[19],"[[110, 212, 382, 238]]",20,[19],"[[111, 1016, 348, 1044]]","[UUID('16b726b4-223f-359e-96ee-9376b1ca4bec'), UUID('da9baddc-fdf0-30b2-8271-8d392279f961'), UUID('1e25e145-7534-3c2b-9f99-424157aa34f7')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c58940>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c58040>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c58730>]","['19', '19']"
20,,[19],"[[111, 1016, 348, 1044]]",21,[20],"[[110, 212, 281, 236]]",[UUID('9dc09f28-77dd-394b-9daf-bf4b5bcc2c56')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc558b88cd0>],"['20', '20']"
21,,[20],"[[110, 212, 281, 236]]",22,[20],"[[111, 564, 303, 592]]",[UUID('90e67921-9adc-34ff-babe-14bd05030445')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c58df0>],['21']
22,,[20],"[[111, 564, 303, 592]]",23,[20],"[[111, 807, 270, 828]]",[UUID('605578ff-24d9-38c2-be2a-1713e7b80262')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c5b3d0>],['22']
23,,[20],"[[111, 807, 270, 828]]",24,[20],"[[111, 981, 739, 1006]]",[],[],[],"['23', '23']"
7,,[14],"[[110, 212, 330, 236]]",8,[14],"[[111, 435, 351, 458]]",[UUID('4795868f-b7fc-3907-9b22-6b62bc053155')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c5bf70>],['7']
8,,[14],"[[111, 435, 351, 458]]",9,[14],"[[111, 952, 266, 973]]",[UUID('4795868f-b7fc-3907-9b22-6b62bc053155')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fc550c5bf70>],['8']
,,[29],"[[110, 1417, 165, 1437]]",,[29],"[[123, 90, 794, 116]]",[],[],[],"['(422,328)']"
