note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
14,,[25],"[[118, 177, 400, 203]]",15,[25],"[[117, 381, 414, 409]]",[UUID('751f7e90-197a-3c8e-8a57-c466fc07d52a')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda891a8970>],"['14', '14', '14']"
15,,[25],"[[117, 381, 414, 409]]",16,[25],"[[117, 813, 273, 834]]",[UUID('751f7e90-197a-3c8e-8a57-c466fc07d52a')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda891a8970>],['15']
16,,[25],"[[117, 813, 273, 834]]",17,[25],"[[117, 1038, 417, 1065]]",[UUID('751f7e90-197a-3c8e-8a57-c466fc07d52a')],"[[16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda891a8970>],['16']
17,,[25],"[[117, 1038, 417, 1065]]",18,[26],"[[97, 187, 439, 213]]",[],[],[],"['17', '17']"
18,,[26],"[[97, 187, 439, 213]]",19,[27],"[[122, 189, 480, 215]]",[UUID('acc67bc2-d4c5-3ccb-880d-3a0093a30ddd')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9afc47730>],['18']
20,,[28],"[[109, 397, 441, 419]]",21,[28],"[[109, 596, 382, 621]]",[UUID('16787f05-ba09-324f-9fb1-2bcaf9f3334b')],"[[6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda5e3fa220>],['20']
19,,[27],"[[122, 189, 480, 215]]",20,[28],"[[109, 397, 441, 419]]","[UUID('99be7f71-bd17-3338-9576-27f41c43c855'), UUID('16787f05-ba09-324f-9fb1-2bcaf9f3334b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda5e3d9ac0>, <UAT_app.database.db_models.TableLogs object at 0x7fda5e3fa220>]","['19', '19']"
21,,[28],"[[109, 596, 382, 621]]",22,[28],"[[109, 869, 264, 894]]",[UUID('16787f05-ba09-324f-9fb1-2bcaf9f3334b')],"[[12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda5e3fa220>],['21']
22,,[28],"[[109, 869, 264, 894]]",23,[29],"[[110, 765, 340, 788]]","[UUID('11f0b598-bee9-3263-94a5-b6a0f7130914'), UUID('237f1050-8666-37bb-8d1a-f727416aef62')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9c05d9340>, <UAT_app.database.db_models.TableLogs object at 0x7fda891a8040>]","['22', '22']"
23,,[29],"[[110, 765, 340, 788]]",24,[30],"[[101, 231, 261, 253]]",[UUID('ac961699-3fd8-3e48-bbe0-d2bce9d31bb1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda891a8dc0>],"['23', '23']"
