note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[33],"[[141, 1126, 461, 1152]]",7,[34],"[[140, 266, 365, 291]]",[UUID('ae98c2a1-2e0e-3f6f-8d2b-c5670eb300a8')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d0860ddf0>],"['6', '6']"
7,,[34],"[[140, 266, 365, 291]]",8,[34],"[[141, 468, 296, 490]]",[UUID('7aa3190d-b051-3048-94d3-82acd7ceca1b')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d499fdf70>],['7']
8,,[34],"[[141, 468, 296, 490]]",9,[34],"[[141, 815, 539, 840]]",[UUID('a15ccdc7-e60b-3cc0-a887-e16a4e134d77')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd69d69d0>],['8']
9,,[34],"[[141, 815, 539, 840]]",10,[34],"[[141, 1016, 312, 1042]]",[UUID('52f1450c-0027-3532-832f-a1ec1b984271')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d428fb280>],['9']
11,,[35],"[[141, 266, 525, 292]]",12,[35],"[[141, 608, 497, 636]]",[UUID('d5a7240b-cb89-3113-a16a-dd7b9b553f52')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d428fbbe0>],['11']
12,,[35],"[[141, 608, 497, 636]]",13,[36],"[[141, 266, 253, 292]]",[UUID('d5a7240b-cb89-3113-a16a-dd7b9b553f52')],"[[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d428fbbe0>],"['12', '12']"
14,,[38],"[[141, 266, 357, 292]]",15,[38],"[[141, 744, 382, 772]]",[UUID('a1b0ec72-e701-317a-a98d-d5d5aa4790ab')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4723fca0>],['14']
15,,[38],"[[141, 744, 382, 772]]",16,[39],"[[141, 266, 445, 292]]",[UUID('a1b0ec72-e701-317a-a98d-d5d5aa4790ab')],"[[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4723fca0>],"['15, 18']"
18,,[40],"[[141, 621, 408, 647]]",19,[40],"[[141, 1129, 571, 1156]]",[UUID('32b3b6f6-f2bf-3357-aab8-aadeaf25308b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd69d6ca0>],[]
19,,[40],"[[141, 1129, 571, 1156]]",20,[41],"[[582, 1519, 608, 1540]]","[UUID('9a2e6c10-8b35-311b-b4a1-1971bfba8dca'), UUID('8154d8fc-d26b-387f-ad43-698bd0e7546b'), UUID('a320aaf1-6700-3fc4-9281-9f9e5b6e2d3b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d499fdaf0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d499fd130>, <UAT_app.database.db_models.TableLogs object at 0x7f1d499fde20>]","['19', '19']"
