note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[25],"[[133, 836, 340, 860]]",10,[25],"[[133, 1099, 509, 1124]]",[UUID('15dec667-7bcb-3a0a-8f2b-59e29b4a4114')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a90880>],"['9, 12.2', '9']"
12,4,[27],"[[133, 914, 484, 938]]",12.5,[28],"[[548, 1478, 574, 1502]]","[UUID('32f12805-1377-3288-bdff-908974128a7d'), UUID('4e2a0836-6c41-313a-985d-3e56df39e0fc')]","[[0, 1, 2, 3], [0, 1, 2, 3]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a99eb0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a99100>]",[]
12,3,[27],"[[133, 465, 700, 491]]",12.4,[27],"[[133, 914, 484, 938]]",[UUID('e82467e4-d506-33c2-9d5e-35bf54eec865')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a2ca00>],"['12.3', '12.3']"
10,,[25],"[[133, 1099, 509, 1124]]",11,[26],"[[133, 258, 334, 281]]",[UUID('15dec667-7bcb-3a0a-8f2b-59e29b4a4114')],"[[9, 10, 11, 12, 13, 14]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a90880>],['10']
11,,[26],"[[133, 258, 334, 281]]",12,[26],"[[133, 782, 610, 807]]",[UUID('b07a4dd1-eaaa-3d31-887b-6c34cc1db6d9')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b3963b50>],['11']
13,,[29],"[[133, 136, 524, 165]]",14,[30],"[[133, 136, 528, 160]]",[UUID('a6b790ec-f74d-3492-b651-2a5138182e7c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b388ef40>],['13']
14,,[30],"[[133, 136, 528, 160]]",15,[31],"[[133, 136, 294, 160]]",[UUID('acad9fb2-1cc8-39e9-8715-7ea351b9acbc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a97460>],['14']
16,,[31],"[[133, 1050, 715, 1076]]",17,[32],"[[133, 1090, 474, 1116]]","[UUID('57567ee8-4b97-3ade-9a4c-d43f4562bd93'), UUID('f23be0aa-fbd2-3dd5-9b40-fe27a4481337'), UUID('f7581c16-3e85-3eac-96f9-468bc2d673ae'), UUID('b0c5404f-4b7d-3cb4-b44f-732e79475e12')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b3add100>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a9b3a0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a9b820>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a9baf0>]",['16']
17,,[32],"[[133, 1090, 474, 1116]]",18,[33],"[[133, 136, 331, 160]]",[UUID('f7581c16-3e85-3eac-96f9-468bc2d673ae')],"[[10, 11, 12, 13, 14, 15, 16]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a9b820>],['17']
18,,[33],"[[133, 136, 331, 160]]",19,[33],"[[133, 1051, 377, 1076]]",[UUID('cb2186ed-bd2b-32ed-b4fd-a82a9eac7ad2')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fa8b2a6ffa0>],"['18', '18']"
