note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[17],"[[118, 1062, 917, 1087]]",9,[18],"[[120, 269, 917, 289]]",[UUID('13fe8f07-7ba5-35da-9ad2-220e7438f107')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf4b4b070>],['8']
9,,[18],"[[120, 269, 917, 289]]",10,[18],"[[115, 480, 917, 506]]",[UUID('54e35c1c-af68-308a-812b-06e0ecaeb692')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf4b6bb80>],['9']
7,(b),[17],"[[111, 315, 918, 337]]",(c),[17],"[[111, 792, 917, 818]]",[UUID('36eda2a5-000f-34d5-bed2-d6842fb75539')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4ba820>],['7(b)']
7,(c),[17],"[[111, 792, 917, 818]]",(d),[17],"[[110, 929, 407, 955]]",[UUID('143a451c-b03e-39f0-bd57-29ccc2e1d365')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4ba790>],['7(c)']
10,,[18],"[[115, 480, 917, 506]]",11,[18],"[[116, 983, 205, 1004]]",[UUID('8ca20e0f-7d75-3704-97fa-2ddd71f04f01')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4ae1f0>],['10']
11,(a),[18],"[[112, 1026, 302, 1052]]",(b),[18],"[[112, 1221, 276, 1248]]",[UUID('8ca20e0f-7d75-3704-97fa-2ddd71f04f01')],"[[20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4ae1f0>],['11(a)']
11,(b),[18],"[[112, 1221, 276, 1248]]",(c),[19],"[[586, 1583, 607, 1605]]","[UUID('8ca20e0f-7d75-3704-97fa-2ddd71f04f01'), UUID('b30c7344-97bd-3b1c-855e-b99f9413d87f'), UUID('fd7ad875-193e-39d5-9c26-728a2ba898f8'), UUID('53d1d86e-acb2-3502-8a79-6137809837de')]","[[31, 32, 33, 34, 35, 36, 27, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7feafc4ae1f0>, <UAT_app.database.db_models.TableLogs object at 0x7feafc485bb0>, <UAT_app.database.db_models.TableLogs object at 0x7feafc485ee0>, <UAT_app.database.db_models.TableLogs object at 0x7feaf4f69f10>]","['11(b)', '11(b)']"
12,,[19],"[[116, 266, 917, 287]]",13,[19],"[[116, 439, 917, 460]]",[UUID('fd7ad875-193e-39d5-9c26-728a2ba898f8')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc485ee0>],['12']
13,,[19],"[[116, 439, 917, 460]]",14,[19],"[[115, 1042, 913, 1067]]","[UUID('fd7ad875-193e-39d5-9c26-728a2ba898f8'), UUID('53d1d86e-acb2-3502-8a79-6137809837de')]","[[7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7feafc485ee0>, <UAT_app.database.db_models.TableLogs object at 0x7feaf4f69f10>]","['13', '13']"
14,,[19],"[[115, 1042, 913, 1067]]",15,[20],"[[115, 268, 917, 289]]",[UUID('b30c7344-97bd-3b1c-855e-b99f9413d87f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc485bb0>],"['14', '14']"
15,,[20],"[[115, 268, 917, 289]]",16,[21],"[[115, 573, 267, 598]]","[UUID('f19ea0ea-bedb-3ec5-876c-19360769e57b'), UUID('5a50ef74-a6dc-34ff-957f-3ff327f1667c'), UUID('e397dea3-35a6-3dc3-90be-c680ad296041'), UUID('d8886ea0-94a1-3411-8df5-cefab1ee0a14')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7feaf28be400>, <UAT_app.database.db_models.TableLogs object at 0x7feaf28bedc0>, <UAT_app.database.db_models.TableLogs object at 0x7feaf28be370>, <UAT_app.database.db_models.TableLogs object at 0x7feaf28be580>]","['15', '15']"
16,,[21],"[[115, 573, 267, 598]]",17,[21],"[[115, 1118, 236, 1141]]",[UUID('27a5dedc-d859-3ba4-b0a4-c2d30c82f14a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4a39a0>],"['16', '16']"
2,,[15],"[[120, 284, 973, 309]]",3,[15],"[[120, 508, 286, 532]]",[UUID('2ff58562-ac41-3520-a861-38a3b6f2bec6')],"[[1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4a3190>],['2']
3,,[15],"[[120, 508, 286, 532]]",4,[15],"[[120, 684, 307, 710]]",[UUID('2ff58562-ac41-3520-a861-38a3b6f2bec6')],"[[6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4a3190>],['3']
4,,[15],"[[120, 684, 307, 710]]",5,[15],"[[120, 833, 350, 860]]",[UUID('2ff58562-ac41-3520-a861-38a3b6f2bec6')],"[[10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7feafc4a3190>],['4']
