note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[19],"[[55, 1052, 387, 1078]]",7,[20],"[[55, 386, 396, 409]]","[UUID('86722ef3-7c1f-3a74-a344-f2990690f028'), UUID('cf0b725c-1aaf-3b7a-bb02-35d1246cc113')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef740e06b50>, <UAT_app.database.db_models.TableLogs object at 0x7ef740e064c0>]","['6', '6']"
7,,[20],"[[55, 386, 396, 409]]",8,[20],"[[55, 991, 236, 1014]]",[UUID('9e6a6ff2-1a03-34c2-83f1-af233d1b82e6')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74263da30>],['7']
8,,[20],"[[55, 991, 236, 1014]]",9,[21],"[[55, 294, 432, 317]]",[UUID('a54bfec0-e357-36dc-8a41-3f634d2753c4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d4c3a0>],['8']
9,,[21],"[[55, 294, 432, 317]]",10,[22],"[[596, 1611, 617, 1631]]","[UUID('5104ffee-9583-3ffd-8361-c80d47031515'), UUID('962e8fbb-92a3-388a-bd06-d7d20fc1900f'), UUID('13d53a5d-bed6-39e2-9897-88377726265e')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74313a370>, <UAT_app.database.db_models.TableLogs object at 0x7ef745ae7c10>, <UAT_app.database.db_models.TableLogs object at 0x7ef74262c940>]","['9', '9']"
10,,[23],"[[55, 177, 262, 202]]",11,[23],"[[55, 460, 430, 486]]",[UUID('26fa52ef-a1e9-3726-a09f-66ec8d2369f0')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74263dd30>],['10']
11,,[23],"[[55, 460, 430, 486]]",12,[24],"[[54, 823, 326, 848]]","[UUID('8abcbac5-21e1-3f28-b64a-338a5546a6eb'), UUID('26fa52ef-a1e9-3726-a09f-66ec8d2369f0'), UUID('13e4fcd1-aed0-3b11-84ef-ce635dbc6ee2')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744d4c9a0>, <UAT_app.database.db_models.TableLogs object at 0x7ef74263dd30>, <UAT_app.database.db_models.TableLogs object at 0x7ef74263d5b0>]","['11', '11']"
12,,[24],"[[54, 823, 326, 848]]",13,[25],"[[54, 776, 246, 802]]",[UUID('ad698c06-5a13-3d2f-bd40-4c8241b1ad80')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74263d9d0>],['12']
13,,[25],"[[54, 776, 246, 802]]",14,[26],"[[596, 1611, 617, 1631]]","[UUID('c715dafe-2ed5-3c6a-8a14-6c0b83d6ce42'), UUID('b25b1c35-dc34-3a78-ae28-e62afbd843bb')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744055760>, <UAT_app.database.db_models.TableLogs object at 0x7ef742ea7af0>]","['13', '13']"
5,,[17],"[[55, 386, 237, 411]]",6,[18],"[[598, 1613, 617, 1631]]","[UUID('178bd862-7f45-3d70-a404-e9df486cfd35'), UUID('75dbf7ac-8471-39d5-9cfd-f00e613f3569')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74262c5b0>, <UAT_app.database.db_models.TableLogs object at 0x7ef744d161c0>]","['5', '5', '5', '5']"
5,,[18],"[[55, 177, 348, 203]]",6,[19],"[[55, 1052, 387, 1078]]",[UUID('75dbf7ac-8471-39d5-9cfd-f00e613f3569')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d161c0>],[]
