note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[31],"[[162, 302, 402, 323]]",8,[31],"[[160, 845, 375, 866]]",[UUID('30c0f44d-c69c-39da-8aaa-f5474ca98a67')],"[[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743f7c250>],"['7', '7']"
8,,[31],"[[160, 845, 375, 866]]",9,[32],"[[146, 529, 268, 550]]","[UUID('c1610811-f475-3638-b25d-45fd431e8465'), UUID('1e008873-7a8f-3f94-b116-7e4d6538f18d')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef743f7cac0>, <UAT_app.database.db_models.TableLogs object at 0x7ef743f7c430>]","['8', '8']"
9,,[32],"[[146, 529, 268, 550]]",10,[32],"[[147, 840, 341, 861]]",[UUID('a8b51d48-a183-33ca-97d4-cd8b4d7f301b')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743f7ca00>],['9']
10,,[32],"[[147, 840, 341, 861]]",11,[33],"[[162, 217, 293, 236]]",[UUID('a83242d1-09ee-3ae2-b215-295e042a71e3')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7401011f0>],"['10', '10']"
11,,[33],"[[162, 217, 293, 236]]",12,[33],"[[161, 411, 423, 435]]",[UUID('a0b571cf-324e-30b7-8a85-1fc3fe26efa6')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fb1f6e50>],['11']
12,,[33],"[[161, 411, 423, 435]]",13,[34],"[[146, 213, 387, 235]]",[UUID('c0dfea77-08d4-39ec-896b-d20d7177c76f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7418a09d0>],['12']
13,,[34],"[[146, 213, 387, 235]]",14,[34],"[[145, 550, 318, 573]]",[UUID('331c99b0-5740-306b-8c02-6b550b186f5c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740101340>],['13']
14,,[34],"[[145, 550, 318, 573]]",15,[34],"[[146, 1062, 248, 1082]]",[UUID('81a67e65-32c0-3e7b-ab63-719f1ca54ddc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fb1f6820>],['14']
6,(b),[30],"[[159, 256, 528, 282]]",(c),[31],"[[1011, 1529, 1033, 1550]]","[UUID('e3e7c9d5-fdd6-37cb-9c33-c5a0f255dce1'), UUID('63d5d45d-087e-30fc-9ee2-86b12105c431'), UUID('30c0f44d-c69c-39da-8aaa-f5474ca98a67'), UUID('c1610811-f475-3638-b25d-45fd431e8465')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7fb1f6d90>, <UAT_app.database.db_models.TableLogs object at 0x7ef7fb1f6d30>, <UAT_app.database.db_models.TableLogs object at 0x7ef743f7c250>, <UAT_app.database.db_models.TableLogs object at 0x7ef743f7cac0>]",['6(b)']
6,(a),[29],"[[173, 346, 522, 371]]",(b),[30],"[[159, 256, 528, 282]]","[UUID('c27f6bda-92c3-3456-830b-0b32cbd218c9'), UUID('40bf784f-b026-3656-be0a-d7bef2e38859')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7efa285e0e20>, <UAT_app.database.db_models.TableLogs object at 0x7efa285e0850>]",['6(a)']
